candidate_id,group_key
1032694,s1|p1
1032752,s1|p1
1036235,s1|d1
1036400,s2
1042474,s1|p1|d1
1042652,p1|d1
1042773,s1|p1
1042806,p1|d1
1043125,s1|p1|d1
1043484,s1|p1
1043996,s1|d1|f1
1044277,s1|p1|d1
1044300,s2
1044381,s1|d1
1044531,s1|f1
1044544,s2
1045744,p1|d1
1045984,s1|p2
1046302,s1
1046905,s1|p1|d1
1048385,p2|d1
1048447,s1|p1|d1
1048457,s1|p2
1048458,s1|p1
1048461,s1|p1
1048549,s2|p1
1048574,s1|p1|d1
1048631,s2|p1
1048672,s2|p1
1049231,d2|f1
1049271,s1|d1|f1
1075988,s2|d1
1076214,s2|d1
1076487,s2|d1
1076543,s2|d1
1076592,s2|d1
1077691,s2|d1
1078286,p1|f1
1101152,s1|d1
1103771,s2|d1
1103922,s1|p1
1104505,s1|d1
1105735,p2
1105934,s1|p1
1106150,d1|f1
1120814,s1|p1
1173263,s1|p2
1173545,s1|p1|d1
1173587,s1|p1|d2
1173820,s1|p1|d2
1173896,s1|d1
1176460,p1|d2
1176503,d2
1177025,s1|p1|d1
1177150,s1|p1|d1
1177389,s1|p2|d1
1177395,s1|p1|d2
1177907,s1|d2
1180142,p1
1180198,s1|p1
1180441,p2|d1
1181758,p1
1182186,s1|d1
1182615,s1|p1
1182654,s2|p3
1182674,s1|p1
1182751,s2|p1
1189676,p3
1189894,d2
1190924,p1
1191373,s1|p2
1192277,p2
1192289,s1|p1
1192441,s2
1193229,s1|p3
1193263,s1|p1|d1
1193463,p3
1193478,s1|p1
1193494,p1|d1
1193774,p2
1193890,p3
1194144,p1|f1
1194554,s1|p1
1194593,s2|d1
1194603,p1
1194843,s2|d1
1194882,s1|p3
1195006,s1|p1|d1
1195414,s1|p1|d1
1195426,s1|p2
1195634,s2|p2
1195724,s1|p1|d1
1195729,s1|p4
1195778,s1|p1
1196033,s1|d1
1196077,s1|p1
1196143,s2|p1|f1
1196709,p2|d1
1196770,s3|p2
1197034,s2|p3
1197208,s1|d1
1197360,s2|p2
1197574,s2|p2
1197780,s2|p2
1197899,s1|p3
1198149,p3
1199926,s1|p2
1199960,s1|p2
1200010,p2
1200379,s3|p1|d1
1200431,s1|f1
1200531,s1|p3
1200751,s1|p2
1200911,s1|p4
1201453,s1|p3|d1
1201658,s1|p3
1201808,s2|p1
1201950,s1|p1|f1
1202031,s2|p1
1202299,s2|p2
1202382,p1|d1
1203019,s1|p3
1203335,p1
1203724,s1|p1|f1
1203956,s1|p3
1204173,p2
1204184,s1|p1
1204197,s1|p1
1204233,p1|d1
1204234,s1|p3
1204299,s1|p1|f1
1204710,p2
1204766,s2|p1|d1
1205048,s2
1208646,p1|d1
1208762,s1|p1
1210177,s1|p1|d1
1210269,s2|p1
1210502,s1|p1|d1
1210812,s1|p1|d1
1210873,p2
1210889,s1|p1|d1
1210930,d2
1211169,s1|p2
1211470,p2
1211939,s1|p1|d1
1212109,p2
1212163,s1|p2
1212184,p2|d1
1212305,s1|p1|d1
1212395,p1|d1
1212984,d1|f1
1213032,d1|f1
1213628,s1|p1
1214074,s1|p1
1214191,s1|d1
1214341,s2|p1
1214390,s1|d1
1214549,s1
1214612,s2|p1|d1
1214895,s2|d1
1215056,s1|p1
1215061,s3|p2|d2
1215068,s1|p1
1217765,s1|p1|d1
1218143,s1|d1|f1
1218209,s1|p1|d1
1218247,s1|p1
1218266,s1|d1|f1
1218309,s1|d1|f2
1218544,s2|d1
1218651,s1|p1
1218672,s1|f1
1218675,s1|f1
1218747,s1|p1|d1
1218788,s1|p1
1218815,s1|d1|f1
1218911,s1|d1
1219299,p1|d1
1221189,s2|p2|d2
1221227,s1|d2
1221274,s3|p1
1221366,p1|d1
1221663,p1|d1
1221712,d2
1221788,p1|d1
1221792,p1|d1
1221830,p3
1221913,s3|p2
1221941,p1|d1
1221942,p2
1222018,d2
1222044,p2|d1
1222064,d1
1222244,p1|d1
1222245,p1|d1
1222510,s1|d2
1222576,s1|p2|d1
1222893,p1|f1
1223013,p1|d1|f1
1223238,d1|f1
1223358,p2
1223644,d1|f1
1224833,d1|f1
1225171,p2|d1
1226407,d1|f1
1226446,s1|p1|d1
1226784,p1|f1
1227160,s1|f1
1227173,s1|d1|f1
1227180,s1|d1
1227209,s1|p1|d1
1227223,s1|d2
1227234,s1|d2
1227302,s1|f1
1227378,s1|p1|d1
1227467,s1|f2
1227517,s1|d1|f1
1227519,s1|d1
1227572,s1|p1|f1
1227575,s1|d1
1227616,s1|d1|f1
1227712,s2
1227724,s1|p1
1227749,s1|p1|d1
1227754,s1|f1
1227761,s1|f1
1227783,s2
1227840,s1|d1|f1
1227846,s1|d1|f1
1227855,s1|d1|f1
1227874,s1|d1|f1
1227877,s1|p2
1227919,s1|f2
1227926,s1|d1
1227930,s1|f2
1227954,s1|p2|d1
1228000,s2|p1
1228074,s1|d1
1228080,s1|f1
1228163,s2|p1|d1
1228205,s2|d1
1228289,s1|d2|f1
1228293,s1|p1|d1
1228330,s1|p1|d1
1228475,s1|d1
1228499,s1|d1
1228618,s1|d1
1228678,s1|d1
1228733,s1|p2
1228743,s1|p1|d1
1228797,s1|p1|d1
1233081,s2|p1
1233090,s1|d1
1233094,s2|p1
1233273,s2|p1
1233368,s1|d1
1233415,s2|p1
1233420,s1|p1
1233500,s3|p1
1233854,s2|p1
1233975,s2|p1
1234332,s1|p1
1234487,s2|p1|d1
1234758,s3|p1
1234827,s1|p1|d2
1234849,s2
1235162,s2
1235597,s1|d1
1236005,s2|p1
1236297,s2|p1
1237102,p1|d1|f1
1247579,s2|d1
1247590,s2
1247595,s2|d1
1247602,s2|d1
1247615,s1|d1
1247622,s1|d1
1247627,s2
1247679,s2|p1
1247686,s1|p1
1247706,s1
1250945,s1|p1
1254079,p1|d1
1262567,s1|p1|d1
1268194,s1|d1
1272796,s1|d1|f1
1274377,s1|d2
1274811,s1|d1
1275931,s1|f1
1278519,s1|d1
1286205,d1|f1
1290713,s1|d1
1297726,s1|d1|f1
1302395,s1|d1
1309882,s1|d1
1311459,s1
1329093,s1|d1
1343780,s2|p1
1345521,s1|d1
1346226,s1|p1
1355282,s1|d1
1367209,s1|d1|f1
1368992,p1
1374903,s1|p1
1382589,s2|p1
1385844,d1
1399724,p1
1516248,s2|f1
1516338,p1|d1|f1
1516447,s1|f1
1516574,s1|p1|d1
1516683,s2|f1
1516824,d1|f1
1516942,s1|d1|f1
1517145,s3
1517187,s1|f1
1517356,s3
1517363,s3
1517402,s2|p1
1517613,s1|d1|f1
1517646,s2|f1
1517679,s2|f1
1517693,s1|f1
1517699,s3
1517753,s1|f2
1517761,s2|f1
1517829,s2|f1
1518034,s1|p1|d1
1518192,s2|f1
1518490,s2|p1
1518514,s2|f1
1518593,s1|f2
1518782,s2|p1
1518813,s2|f1
1518884,s2|p1
1519441,s2|d1
1519543,s2|f1
1519764,s1|p1|f1
1520083,s2|d1
1520156,s1|p1
1520158,p1|d1|f1
1520426,s1|f2
1520467,s1|p1|d1
1520623,s1|p1|f1
1520978,s3
1521256,s1|p1|f1
1521356,s1|p1|f1
1521466,s1|f1
1521485,s1|p1|f1
1521496,s1|p1|d1
1521595,s1|f1
1521618,s1|d1|f1
1521849,s1|f1
1522001,s2|f1
1522145,s1|f2
1522193,s2|f1
1522194,s1|d1|f1
1522301,s1|p1|d1
1522553,s2|f1
1522554,s1|p1|d1
1522791,s2|d1
1522792,s3
1522815,s2|f1
1522829,s2|f1
1522851,s2|f1
1523111,s1|p1|d1
1523324,s1|p1
15282,s1|p1
1638973,p1|d1
