candidate_id,group_key
1032694,G13|G2
1032752,G14|G2
1036235,G2|G9
1036400,G2
1042474,G11|G13|G2
1042652,G12|G15
1042773,G15|G2
1042806,G12|G15
1043125,G10|G15|G2
1043484,G14|G2
1043996,G2|G8|Ln
1044277,G15|G2|G4
1044300,G2
1044381,G12|G2
1044531,G2|Ln
1044544,G2
1045744,G11|G13
1045984,G13|G2
1046302,G2
1046905,G13|G2|G3
1048385,G16|G17|G3
1048447,G13|G2|G3
1048457,G13|G2
1048458,G13|G2
1048461,G13|G2
1048549,G13|G2
1048574,G12|G13|G2
1048631,G16|G2
1048672,G16|G2
1049231,G12|G6|Ln
1049271,G2|G6|Ln
1075988,G2|G4
1076214,G2|G8
1076487,G2|G8
1076543,G2|G4
1076592,G2|G8
1077691,G2|G8
1078286,G15|Ln
1101152,G1|G6
1103771,G1|G2|G5
1103922,G1|G17
1104505,G1|G6
1105735,G15
1105934,G1|G15
1106150,G11|Ln
1120814,G1|G15
1173263,G14|G15|G2
1173545,G1|G17|G5
1173587,G1|G11|G15|G8
1173820,G1|G12|G15|G8
1173896,G1|G9
1176460,G15|G5|G9
1176503,G8|G9
1177025,G1|G15|G9
1177150,G1|G11|G15
1177389,G1|G14|G15|G6
1177395,G1|G11|G15|G9
1177907,G1|G5|G9
1180142,G14
1180198,G1|G14
1180441,G11|G14|G15
1181758,G13
1182186,G2|G3
1182615,G16|G2
1182654,G1|G13|G14|G15|G2
1182674,G13|G2
1182751,G14|G2
1189676,G14|G15|G16
1189894,G3|G9
1190924,G17
1191373,G14|G15|G2
1192277,G14|G17
1192289,G1|G17
1192441,G1|G2
1193229,G1|G14|G15|G16
1193263,G14|G2|G8
1193463,G14|G16|G17
1193478,G1|G17
1193494,G11|G15
1193774,G14|G15
1193890,G14|G16|G17
1194144,An|G15
1194554,G1|G17
1194593,G1|G2|G5
1194603,G15
1194843,G1|G2|G5
1194882,G15|G17|G2
1195006,G1|G14|G5
1195414,G15|G2|G8
1195426,G14|G16|G2
1195634,G1|G15|G17
1195724,G12|G14|G2
1195729,G1|G13|G15|G17
1195778,G1|G15
1196033,G2|G5
1196077,G1|G13
1196143,An|G1|G14
1196709,G14|G15|G5
1196770,G1|G14|G15
1197034,G1|G14|G15|G16
1197208,G2|G9
1197360,G1|G14|G15
1197574,G1|G14|G17|G2
1197780,G1|G13|G15
1197899,G1|G14|G15|G17
1198149,G14|G15
1199926,G1|G16|G17
1199960,G1|G14|G15
1200010,G14|G17
1200379,G1|G14|G2|G4
1200431,G2|Ln
1200531,G1|G14|G15|G17
1200751,G1|G13|G15
1200911,G1|G14|G15|G17
1201453,G1|G12|G14|G15|G17
1201658,G1|G13|G15|G17
1201808,G1|G15|G2
1201950,G1|G15|Ln
1202031,G1|G17
1202299,G1|G14|G15|G2
1202382,G14|G8
1203019,G14|G16|G2
1203335,G15
1203724,G1|G15|Ln
1203956,G1|G14|G16
1204173,G15|G17
1204184,G1|G15
1204197,G17|G2
1204233,G12|G17
1204234,G1|G14|G15
1204299,G1|G15|Ln
1204710,G13|G14
1204766,G15|G2|G8
1205048,G1|G2
1208646,G15|G3
1208762,G16|G2
1210177,G1|G11|G15
1210269,G1|G14
1210502,G1|G12|G15
1210812,G1|G12|G14
1210873,G13|G15
1210889,G1|G15|G9
1210930,G11|G5
1211169,G1|G13|G15
1211470,G13|G14
1211939,G1|G14|G8
1212109,G13|G15
1212163,G1|G14|G15
1212184,G12|G14|G15
1212305,G1|G11|G15
1212395,G12|G14
1212984,G8|Ln
1213032,G8|Ln
1213628,G1|G17
1214074,G14|G2
1214191,G11|G2
1214341,G1|G16|G2
1214390,G1|G6
1214549,G2
1214612,G17|G2|G5
1214895,G1|G2|G5
1215056,G16|G2
1215061,G1|G14|G17|G2|G4|G7
1215068,G14|G2
1217765,G15|G2|G4
1218143,G2|G9|Ln
1218209,G15|G2|G8
1218247,G15|G2
1218266,G2|G6|Ln
1218309,G2|G6|Ln
1218544,G2|G8
1218651,G13|G2
1218672,G2|Ln
1218675,G2|Ln
1218747,G11|G15|G2
1218788,G13|G2
1218815,G2|G6|Ln
1218911,G2|G8
1219299,G15|G3
1221189,G1|G14|G17|G2|G4
1221227,G1|G10|G9
1221274,G1|G14|G2
1221366,G10|G13
1221663,G12|G13
1221712,G11
1221788,G13|G9
1221792,G12|G16
1221830,G13|G14
1221913,G1|G14|G2
1221941,G14|G7
1221942,G15
1222018,G6|G8
1222044,G15|G17|G6
1222064,G5
1222244,G11|G14
1222245,G15|G8
1222510,G1|G10|G9
1222576,G1|G13|G15|G8
1222893,G15|Ln
1223013,G15|G8|Ln
1223238,G11|Ln
1223358,G14|G15
1223644,G12|Ln
1224833,G9|Ln
1225171,G13|G15|G8
1226407,G9|Ln
1226446,G1|G12|G15
1226784,G16|Ln
1227160,G2|Ln
1227173,G2|G5|Ln
1227180,G2|Ln
1227209,G15|G2|G8
1227223,G11|G2|G5
1227234,G11|G2|G8
1227302,G2|Ln
1227378,G15|G2|G4
1227467,G2|Ln
1227517,G10|G2|Ln
1227519,G2|G5
1227572,G15|G2|Ln
1227575,G2|G8
1227616,G10|G2|Ln
1227712,G2
1227724,G15|G2
1227749,G14|G2|G8
1227754,G2|Ln
1227761,G2|Ln
1227783,G2
1227840,G2|G9|Ln
1227846,G2|G9|Ln
1227855,G2|G8|Ln
1227874,G2|G9|Ln
1227877,G13|G14|G2
1227919,G2|Ln
1227926,G2|G3
1227930,G2|Ln
1227954,G14|G15|G2|G8
1228000,G1|G14|G2
1228074,G2|G9
1228080,G2|Ln
1228163,G1|G12|G15|G2
1228205,G2|G6
1228289,G11|G2|G4|Ln
1228293,G11|G15|G2
1228330,G17|G2|G9
1228475,G2|G9
1228499,G2|G8
1228618,G10|G2
1228678,G2|G8
1228733,G14|G17|G2
1228743,G11|G15|G2
1228797,G17|G2|G8
1233081,G15|G2
1233090,G11|G2
1233094,G13|G2
1233273,G17|G2
1233368,G12|G2
1233415,G17|G2
1233420,G17|G2
1233500,G1|G15|G2
1233854,G15|G2
1233975,G13|G2
1234332,G17|G2
1234487,G11|G16|G2
1234758,G1|G17|G2
1234827,G15|G2|G5|G6
1234849,G2
1235162,G1|G2
1235597,G1|G12
1236005,G1|G15|G2
1236297,G1|G13|G2
1237102,G15|G8|Ln
1247579,G2|G6
1247590,G2
1247595,G2|G6
1247602,G2|G4
1247615,G2|G6
1247622,G2|G6
1247627,G2
1247679,G13|G2
1247686,G13|G2
1247706,G2
1250945,G14|G2
1254079,G13|G6
1262567,G11|G13|G2
1268194,G2|G4
1272796,G2|G8|Ln
1274377,G2|G3|G9
1274811,G2|G5
1275931,G2|Ln
1278519,G2|G5
1286205,G12|Ln
1290713,G2|G6
1297726,G2|G9|Ln
1302395,G1|G4
1309882,G2|G5
1311459,G2
1329093,G10|G2
1343780,G15|G2
1345521,G2|G5
1346226,G15|G2
1355282,G2|G8
1367209,G2|G4|Ln
1368992,G13
1374903,G15|G2
1382589,G1|G17
1385844,G3
1399724,G13
1516248,G1|G2|Ln
1516338,G14|G5|Ln
1516447,G2|Ln
1516574,G14|G2|G6
1516683,G1|G2|Ln
1516824,G9|Ln
1516942,G1|G6|Ln
1517145,G1|G2
1517187,G2|Ln
1517356,G2
1517363,G1|G2
1517402,G1|G15|G2
1517613,G1|G6|Ln
1517646,G1|G2|Ln
1517679,G2|Ln
1517693,G2|Ln
1517699,G1|G2
1517753,G2|Ln
1517761,G1|G2|Ln
1517829,G1|G2|Ln
1518034,G14|G2|G6
1518192,G2|Ln
1518490,G1|G15|G2
1518514,G2|Ln
1518593,G2|Ln
1518782,G1|G15|G2
1518813,G1|G2|Ln
1518884,G14|G2
1519441,G2|G6
1519543,G1|G2|Ln
1519764,G14|G2|Ln
1520083,G2|G6
1520156,G14|G2
1520158,G15|G5|Ln
1520426,G1|Ln
1520467,G1|G15|G6
1520623,G1|G15|Ln
1520978,G1|G2
1521256,G14|G2|Ln
1521356,G14|G2|Ln
1521466,G2|Ln
1521485,G1|G15|Ln
1521496,G1|G15|G4
1521595,G2|Ln
1521618,G2|G4|Ln
1521849,G2|Ln
1522001,G2|Ln
1522145,G2|Ln
1522193,G1|G2|Ln
1522194,G2|G9|Ln
1522301,G1|G15|G6
1522553,G2|Ln
1522554,G15|G2|G5
1522791,G2|G5
1522792,G1|G2
1522815,G1|G2|Ln
1522829,G1|G2|Ln
1522851,G2|Ln
1523111,G13|G2|G6
1523324,G14|G2
15282,G1|G15
1638973,G11|G15
1649939,G1|G14
1650384,G2|Ln
1666963,G6|Ln
17341,G15|G2
17445,G1|G2
17876,G1|G15
18320,G14|G16|G2
18554,G14|G16|G2
18870,G12
18990,G13|G2
18992,G16|G2
19045,G12|G15|G2
19054,G14|G17|G2
19060,G15|G2
19122,G14|G2
19174,G11|G2|G5
19213,G15|G2
19224,G12|G2
19304,G1|G16|G17
19314,G14|G16|G2
19485,G2|Ln
19487,G15|G2
19488,G1|G16|G17
19502,G2|G4
19507,G2|G5
19823,G15|Ln
19882,G13|G14
20813,G2|G7
21535,G14|G16|G2
21616,G14|G16|G2
21635,G14|Ln
2210750,G11|G2
2217598,G2|Ln
2217716,G2|Ln
2217896,G13|G2
2217950,G15|G2
2220589,G15|G2|G6
