candidate_id,group_key
1032694,B-Mg-Mn-O
1032752,C-Mg-Mn-O
1036235,Co-Mg-Mn-O
1036400,Ca-Mg-Mn-O
1042474,Al-Ba-Cu-Mn-O
1042652,Bi-Mn-O-Zn
1042773,As-Mg-Mn-O
1042806,As-Mn-O-Zn
1043125,Ca-Mn-Ni-O-P
1043484,Ca-Ge-Mn-O
1043996,Fe-La-Mg-Mn-O
1044277,Ca-Mn-O-P-Ti
1044300,Ba-Mg-Mn-O
1044381,Ba-Mn-O-Zn
1044531,Mg-Mn-O-Pr
1044544,Ba-Ca-Mn-O
1045744,Al-Cu-Mn-O
1045984,Al-Mn-O-Sr-Tl
1046302,Ca-Mn-O
1046905,Al-Mn-O-Sr-Y
1048385,Cl-Mn-O-Se-Y
1048447,Ba-Mn-O-Tl-Y
1048457,Al-Ba-Mn-O-Tl
1048458,Al-Ba-Mn-O
1048461,Ba-Mn-O-Tl
1048549,Ba-Ca-Mn-O-Tl
1048574,Ba-Mn-O-Tl-Zn
1048631,Ca-Mn-O-S-Sr
1048672,Ca-Mn-O-S-Sr
1049231,Cr-La-Mn-O-Zn
1049271,Ca-Cr-La-Mn-O
1075988,Ba-Mn-O-Sr-Ti
1076214,Ca-Fe-Mg-Mn-O
1076487,Ca-Fe-Mn-O-Sr
1076543,Ca-Mg-Mn-O-Ti
1076592,Ba-Fe-Mn-O-Sr
1077691,Ca-Fe-Mn-O-Sr
1078286,As-Ce-Mn-O
1101152,Cr-Li-Mn-O
1103771,Ba-Li-Mn-O-V
1103922,Cl-K-Mn-O
1104505,Cr-K-Mn-O
1105735,As-Mn-N-O
1105934,As-Li-Mn-O
1106150,Ce-Cu-Mn-O
1120814,Bi-Mn-Na-O
1173263,Bi-Mn-O-Pb-Sr
1173545,Cl-Mn-O-Rb-V
1173587,Ag-Fe-Mn-Na-O-P
1173820,Cd-Fe-Mn-Na-O-P
1173896,Co-Li-Mn-O
1176460,Co-Mn-O-P-V
1176503,Co-Fe-Mn-O
1177025,Co-Li-Mn-O-P
1177150,Cu-Li-Mn-O-P
1177389,Cr-Li-Mn-O-P-Sn
1177395,Co-Cu-Li-Mn-O-P
1177907,Co-Li-Mn-O-V
1180142,C-Mn-O
1180198,C-H-Mn-O
1180441,Au-C-Mn-N-O
1181758,B-Mn-O
1182186,Ba-Mn-O-Y
1182615,Ca-Mn-O-S
1182654,Al-Ca-H-Mn-O-P-Si
1182674,B-Ca-Mn-O
1182751,Be-Ca-Mn-O-Si
1189676,C-Mn-N-O-S
1189894,Co-Mn-O-Y
1190924,Br-Mn-O
1191373,As-Mg-Mn-O-Pb
1192277,C-I-Mn-O
1192289,Cl-H-Mn-O
1192441,Ba-K-Mn-O
1193229,C-H-Mn-N-O-S
1193263,Ba-Fe-Mn-O-Si
1193463,Br-Mn-O-Si-Te
1193478,Cl-Mn-O-Rb
1193494,Ag-Mn-O-P
1193774,C-Mn-O-P
1193890,Cl-Mn-O-Si-Te
1194144,As-Mn-O-U
1194554,Cl-Cs-Mn-O
1194593,Mn-Na-O-Sr-V
1194603,Bi-Mn-O
1194843,Ba-H-Mn-O-V
1194882,Ba-Cl-F-Mn-O-P
1195006,C-K-Mn-O-V
1195414,Be-Fe-Mn-O-P
1195426,C-Ca-Mn-O-S
1195634,Cl-Cs-Mn-Na-O-P
1195724,Ca-Mn-O-Si-Zn
1195729,B-Cl-H-Mn-N-O-P
1195778,As-K-Mn-O
1196033,Ba-Mn-O-V
1196077,B-H-Mn-O
1196143,C-H-Mn-Na-O-U
1196709,C-Mn-N-Nb-O
1196770,C-H-Mn-N-Na-O-Rb
1197034,C-H-Mn-N-Na-O-S
1197208,Co-Mn-O-Sr
1197360,C-H-Mn-Na-O-P
1197574,Ba-F-Mn-Na-O-Si
1197780,B-H-K-Mn-O-P
1197899,Br-C-H-Mn-N-O
1198149,C-Mn-N-O-P
1199926,Cs-F-Mn-O-S
1199960,C-H-Mn-O-P
1200010,Cl-Mn-O-Si
1200379,Ba-K-Mn-Na-O-Si-Ti
1200431,Ba-Mn-O-Tb
1200531,C-Cl-H-Mn-N-O
1200751,B-H-Mn-O-P
1200911,C-Cl-H-Mn-N-O-P
1201453,C-Cl-H-Mn-N-O-Zn
1201658,Al-F-H-Mn-O-P
1201808,Ba-H-Mn-O-P
1201950,As-Mn-Na-O-Sm
1202031,Cl-Cs-H-Mn-O
1202299,As-Mg-Mn-Na-O-Si
1202382,C-Fe-Mn-O
1203019,Ca-Mn-O-Pb-S-Si
