seed,candidate_id,energy_stratum,initial_set_sha256
101,job_174_Ti_fe_-1.427_n4_generated_crystals_cif__gen_0,0,a063ad4a82f2c68f4cf1553baac144eccb47dd45b75ab2bb18523717942b9347
101,job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_2,1,a063ad4a82f2c68f4cf1553baac144eccb47dd45b75ab2bb18523717942b9347
101,job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_0,2,a063ad4a82f2c68f4cf1553baac144eccb47dd45b75ab2bb18523717942b9347
101,job_077_Ni_fe_-1.238_n4_generated_crystals_cif__gen_1,3,a063ad4a82f2c68f4cf1553baac144eccb47dd45b75ab2bb18523717942b9347
102,job_242_Ti_fe_-1.214_n4_generated_crystals_cif__gen_2,0,8e329c657463c7d57c620ddee36075179add9e41eec8172023dbe169d2fae704
102,job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_1,1,8e329c657463c7d57c620ddee36075179add9e41eec8172023dbe169d2fae704
102,job_003_Mn_fe_-1.026_n4_generated_crystals_cif__gen_0,2,8e329c657463c7d57c620ddee36075179add9e41eec8172023dbe169d2fae704
102,job_099_Ni_fe_-1.343_n4_generated_crystals_cif__gen_0,3,8e329c657463c7d57c620ddee36075179add9e41eec8172023dbe169d2fae704
103,job_109_Ti_fe_-0.845_n4_generated_crystals_cif__gen_0,0,f0b0e5120730a0cdfaf3e4628130733c1a8a74df8fd7fcdcfd7ccede7766ea23
103,job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_0,1,f0b0e5120730a0cdfaf3e4628130733c1a8a74df8fd7fcdcfd7ccede7766ea23
103,job_225_Co_fe_-1.375_n4_generated_crystals_cif__gen_1,2,f0b0e5120730a0cdfaf3e4628130733c1a8a74df8fd7fcdcfd7ccede7766ea23
103,job_161_Co_fe_-0.850_n4_generated_crystals_cif__gen_0,3,f0b0e5120730a0cdfaf3e4628130733c1a8a74df8fd7fcdcfd7ccede7766ea23
104,job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_0,0,19a0ce66abb980e116cb156430ef278a476578460911a882eefc65390a4192d4
104,job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_3,1,19a0ce66abb980e116cb156430ef278a476578460911a882eefc65390a4192d4
104,job_225_Co_fe_-1.375_n4_generated_crystals_cif__gen_1,2,19a0ce66abb980e116cb156430ef278a476578460911a882eefc65390a4192d4
104,job_165_Ni_fe_-1.146_n4_generated_crystals_cif__gen_2,3,19a0ce66abb980e116cb156430ef278a476578460911a882eefc65390a4192d4
105,job_090_Al_fe_-0.837_n4_generated_crystals_cif__gen_2,0,71ed4a4e74f3345abca0636541564dfc69e51a29c2017674dac1b095ba09227b
105,job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_1,1,71ed4a4e74f3345abca0636541564dfc69e51a29c2017674dac1b095ba09227b
105,job_039_Co_fe_-0.807_n4_generated_crystals_cif__gen_0,2,71ed4a4e74f3345abca0636541564dfc69e51a29c2017674dac1b095ba09227b
105,job_165_Ni_fe_-1.146_n4_generated_crystals_cif__gen_3,3,71ed4a4e74f3345abca0636541564dfc69e51a29c2017674dac1b095ba09227b
106,job_114_Al_fe_-1.252_n4_generated_crystals_cif__gen_2,0,26145a7e51ae41c7457c4e19c8782174aca236c52791aee5be2950982f689923
106,job_240_Cr_fe_-1.413_n4_generated_crystals_cif__gen_1,1,26145a7e51ae41c7457c4e19c8782174aca236c52791aee5be2950982f689923
106,job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_3,2,26145a7e51ae41c7457c4e19c8782174aca236c52791aee5be2950982f689923
106,job_093_Ni_fe_-0.850_n4_generated_crystals_cif__gen_2,3,26145a7e51ae41c7457c4e19c8782174aca236c52791aee5be2950982f689923
107,job_027_Ti_fe_-1.340_n4_generated_crystals_cif__gen_3,0,de4298455d425758cfc87700766bf1a8766433dd3ae5387625a048e7383e9b8c
107,job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,1,de4298455d425758cfc87700766bf1a8766433dd3ae5387625a048e7383e9b8c
107,job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_3,2,de4298455d425758cfc87700766bf1a8766433dd3ae5387625a048e7383e9b8c
107,job_072_Co_fe_-0.820_n4_generated_crystals_cif__gen_0,3,de4298455d425758cfc87700766bf1a8766433dd3ae5387625a048e7383e9b8c
108,job_040_Ti_fe_-1.018_n4_generated_crystals_cif__gen_1,0,ed66b73935419fb167b908370a4d5a2d96a36b5952a01b9fe071a126c06db35b
108,job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_0,1,ed66b73935419fb167b908370a4d5a2d96a36b5952a01b9fe071a126c06db35b
108,job_224_Mn_fe_-1.419_n4_generated_crystals_cif__gen_2,2,ed66b73935419fb167b908370a4d5a2d96a36b5952a01b9fe071a126c06db35b
108,job_198_Ni_fe_-1.023_n4_generated_crystals_cif__gen_0,3,ed66b73935419fb167b908370a4d5a2d96a36b5952a01b9fe071a126c06db35b
109,job_228_Ti_fe_-0.950_n4_generated_crystals_cif__gen_1,0,a13288b8d634ade09f7625379421ea5fddf5289f5aea2ac44df59b8424a29c99
109,job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,1,a13288b8d634ade09f7625379421ea5fddf5289f5aea2ac44df59b8424a29c99
109,job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_3,2,a13288b8d634ade09f7625379421ea5fddf5289f5aea2ac44df59b8424a29c99
109,job_219_Co_fe_-0.895_n4_generated_crystals_cif__gen_0,3,a13288b8d634ade09f7625379421ea5fddf5289f5aea2ac44df59b8424a29c99
110,job_151_Al_fe_-1.416_n4_generated_crystals_cif__gen_0,0,2d68b461dfac0d190625c36ea4de64a6eacdfd3821b40b02649c2574b313badf
110,job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_2,1,2d68b461dfac0d190625c36ea4de64a6eacdfd3821b40b02649c2574b313badf
110,job_197_Mn_fe_-0.871_n4_generated_crystals_cif__gen_1,2,2d68b461dfac0d190625c36ea4de64a6eacdfd3821b40b02649c2574b313badf
110,job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_1,3,2d68b461dfac0d190625c36ea4de64a6eacdfd3821b40b02649c2574b313badf
