seed,candidate_id,selection_rank,initial_set_sha256
111,job_034_Co_fe_-1.009_n4_generated_crystals_cif__gen_0,0,7343915ac5553c2817a90878bfb332208d672292c093020a58778e42cf639dab
111,job_091_Ni_fe_-1.314_n4_generated_crystals_cif__gen_0,1,7343915ac5553c2817a90878bfb332208d672292c093020a58778e42cf639dab
111,job_053_Co_fe_-0.977_n4_generated_crystals_cif__gen_1,2,7343915ac5553c2817a90878bfb332208d672292c093020a58778e42cf639dab
111,job_114_Al_fe_-1.252_n4_generated_crystals_cif__gen_0,3,7343915ac5553c2817a90878bfb332208d672292c093020a58778e42cf639dab
112,job_235_Ti_fe_-0.842_n4_generated_crystals_cif__gen_2,0,b79093419018ba5f4b00fcdf7ead0c866f8b1ca76eba2b94cde939d4fc4d3946
112,job_060_Ti_fe_-1.204_n4_generated_crystals_cif__gen_0,1,b79093419018ba5f4b00fcdf7ead0c866f8b1ca76eba2b94cde939d4fc4d3946
112,job_108_Ni_fe_-1.123_n4_generated_crystals_cif__gen_0,2,b79093419018ba5f4b00fcdf7ead0c866f8b1ca76eba2b94cde939d4fc4d3946
112,job_218_Ni_fe_-1.221_n4_generated_crystals_cif__gen_3,3,b79093419018ba5f4b00fcdf7ead0c866f8b1ca76eba2b94cde939d4fc4d3946
113,job_015_Ni_fe_-1.349_n4_generated_crystals_cif__gen_2,0,4ea1efdb7c07d4e0fc0fac40a31bd1839e3791102f3c6398c45149b407f80556
113,job_124_Ni_fe_-0.888_n4_generated_crystals_cif__gen_0,1,4ea1efdb7c07d4e0fc0fac40a31bd1839e3791102f3c6398c45149b407f80556
113,job_051_Co_fe_-1.402_n4_generated_crystals_cif__gen_0,2,4ea1efdb7c07d4e0fc0fac40a31bd1839e3791102f3c6398c45149b407f80556
113,job_076_Mg_fe_-1.074_n4_generated_crystals_cif__gen_0,3,4ea1efdb7c07d4e0fc0fac40a31bd1839e3791102f3c6398c45149b407f80556
114,job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_1,0,829577a83b9660c0ad309890648e4c84ac0530114ccea55fae825af8afc1395e
114,job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_1,1,829577a83b9660c0ad309890648e4c84ac0530114ccea55fae825af8afc1395e
114,job_032_Co_fe_-1.386_n4_generated_crystals_cif__gen_1,2,829577a83b9660c0ad309890648e4c84ac0530114ccea55fae825af8afc1395e
114,job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_0,3,829577a83b9660c0ad309890648e4c84ac0530114ccea55fae825af8afc1395e
115,job_180_Ti_fe_-0.903_n4_generated_crystals_cif__gen_0,0,b6d138bebd3f9bfb8c9fd2586ed7d4e35651e74e9f5dcf299ed6702d39da4a36
115,job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_1,1,b6d138bebd3f9bfb8c9fd2586ed7d4e35651e74e9f5dcf299ed6702d39da4a36
115,job_103_Ti_fe_-1.058_n4_generated_crystals_cif__gen_1,2,b6d138bebd3f9bfb8c9fd2586ed7d4e35651e74e9f5dcf299ed6702d39da4a36
115,job_089_Ni_fe_-1.410_n4_generated_crystals_cif__gen_2,3,b6d138bebd3f9bfb8c9fd2586ed7d4e35651e74e9f5dcf299ed6702d39da4a36
