job_id,task,dataset,method,seed,gpu_id,config_hash,status,start_time,end_time,exit_code,log_path,output_path,sha256,command_json,cwd,attempt,pid,failure_reason,env_json
mn__predicted_target_greedy__seed_111,mn,limo,predicted_target_greedy,111,0,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__predicted_target_greedy__seed_111.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_111,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""predicted_target_greedy"",""--seed"",""111"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_111"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__predicted_target_greedy__seed_112,mn,limo,predicted_target_greedy,112,1,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__predicted_target_greedy__seed_112.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_112,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""predicted_target_greedy"",""--seed"",""112"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_112"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__predicted_target_greedy__seed_113,mn,limo,predicted_target_greedy,113,0,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__predicted_target_greedy__seed_113.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_113,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""predicted_target_greedy"",""--seed"",""113"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_113"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__predicted_target_greedy__seed_114,mn,limo,predicted_target_greedy,114,1,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__predicted_target_greedy__seed_114.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_114,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""predicted_target_greedy"",""--seed"",""114"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_114"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__predicted_target_greedy__seed_115,mn,limo,predicted_target_greedy,115,0,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__predicted_target_greedy__seed_115.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_115,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""predicted_target_greedy"",""--seed"",""115"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/predicted_target_greedy/seed_115"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__energy_gated_da_tpp__seed_111,mn,limo,energy_gated_da_tpp,111,1,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__energy_gated_da_tpp__seed_111.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_111,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""energy_gated_da_tpp"",""--seed"",""111"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_111"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__energy_gated_da_tpp__seed_112,mn,limo,energy_gated_da_tpp,112,0,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__energy_gated_da_tpp__seed_112.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_112,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""energy_gated_da_tpp"",""--seed"",""112"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_112"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__energy_gated_da_tpp__seed_113,mn,limo,energy_gated_da_tpp,113,1,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__energy_gated_da_tpp__seed_113.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_113,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""energy_gated_da_tpp"",""--seed"",""113"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_113"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__energy_gated_da_tpp__seed_114,mn,limo,energy_gated_da_tpp,114,0,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__energy_gated_da_tpp__seed_114.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_114,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""energy_gated_da_tpp"",""--seed"",""114"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_114"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
mn__energy_gated_da_tpp__seed_115,mn,limo,energy_gated_da_tpp,115,1,5fc53e21a33aadd7d6cf062ae1c3c95defa91c8ea45a9b02dc8cdb27a9e7c3f8,PENDING,,,,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/logs/structural_group_feasibility_v1/mn__energy_gated_da_tpp__seed_115.controller.log,/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_115,,"[""/root/autodl-tmp/egdatpp_mn_mg_gpu_20260803/.venv/bin/python"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/experiments/reproducibility/run_paired_dataset_job.py"",""--project-root"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning"",""--dataset"",""limo"",""--method"",""energy_gated_da_tpp"",""--seed"",""115"",""--run-dir"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/results/structural_group_feasibility_v1/mn/energy_gated_da_tpp/seed_115"",""--protocol-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/legacy_protocol.json"",""--task-config"",""/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning/configs/structural_group_feasibility/mn_task.json""]",/root/autodl-tmp/egdatpp_structural_gate_feas_20260804_v2/staging/gpu_mn_mg_cgcnn_20260803/experiments/active_learning,0,,,{}
