candidate_id,group_key
job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_0,SM_Ti_001
job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_3,SM_Ti_002
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_0,SM_Ti_003
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_1,SM_Ti_003
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_2,SM_Ti_002
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_3,SM_Ti_004
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_0,SM_Ni_001
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_3,SM_Ni_002
job_003_Mn_fe_-1.026_n4_generated_crystals_cif__gen_0,SM_Mn_001
job_004_Mg_fe_-1.439_n4_generated_crystals_cif__gen_1,SM_Mg_001
job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_0,SM_Al_001
job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_2,SM_Al_002
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_0,SM_Mn_002
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,SM_Mn_003
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_2,SM_Mn_003
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_3,SM_Mn_004
job_007_Mg_fe_-1.079_n4_generated_crystals_cif__gen_0,SM_Mg_002
job_008_Mg_fe_-1.361_n4_generated_crystals_cif__gen_1,SM_Mg_003
job_009_Ti_fe_-1.009_n4_generated_crystals_cif__gen_1,SM_Ti_005
job_009_Ti_fe_-1.009_n4_generated_crystals_cif__gen_3,SM_Ti_006
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_0,SM_Al_003
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_2,SM_Al_004
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_3,SM_Al_004
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,SM_Mg_004
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_2,SM_Mg_004
job_012_Cr_fe_-1.495_n4_generated_crystals_cif__gen_0,SM_Cr_001
job_012_Cr_fe_-1.495_n4_generated_crystals_cif__gen_3,SM_Cr_002
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_0,SM_Cr_003
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_1,SM_Cr_004
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_2,SM_Cr_005
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_3,SM_Cr_003
job_014_Al_fe_-1.262_n4_generated_crystals_cif__gen_1,SM_Al_003
job_015_Ni_fe_-1.349_n4_generated_crystals_cif__gen_0,SM_Ni_001
job_015_Ni_fe_-1.349_n4_generated_crystals_cif__gen_1,SM_Ni_002
job_015_Ni_fe_-1.349_n4_generated_crystals_cif__gen_2,SM_Ni_003
job_015_Ni_fe_-1.349_n4_generated_crystals_cif__gen_3,SM_Ni_003
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_1,SM_Cr_003
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_2,SM_Cr_002
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_3,SM_Cr_006
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,SM_Mn_004
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_1,SM_Mn_005
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_2,SM_Mn_006
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_3,SM_Mn_007
job_018_Co_fe_-0.907_n4_generated_crystals_cif__gen_0,SM_Co_001
job_018_Co_fe_-0.907_n4_generated_crystals_cif__gen_3,SM_Co_002
job_019_Mg_fe_-1.315_n4_generated_crystals_cif__gen_0,SM_Mg_005
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_0,SM_Mn_004
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_1,SM_Mn_004
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_3,SM_Mn_008
job_021_Mg_fe_-1.413_n4_generated_crystals_cif__gen_0,SM_Mg_002
job_021_Mg_fe_-1.413_n4_generated_crystals_cif__gen_3,SM_Mg_003
job_022_Al_fe_-1.445_n4_generated_crystals_cif__gen_2,SM_Al_005
job_023_Co_fe_-0.919_n4_generated_crystals_cif__gen_0,SM_Co_003
job_023_Co_fe_-0.919_n4_generated_crystals_cif__gen_1,SM_Co_001
job_023_Co_fe_-0.919_n4_generated_crystals_cif__gen_2,SM_Co_001
job_023_Co_fe_-0.919_n4_generated_crystals_cif__gen_3,SM_Co_001
job_024_Mg_fe_-0.880_n4_generated_crystals_cif__gen_0,SM_Mg_004
job_024_Mg_fe_-0.880_n4_generated_crystals_cif__gen_3,SM_Mg_006
job_025_Co_fe_-1.096_n4_generated_crystals_cif__gen_0,SM_Co_001
job_025_Co_fe_-1.096_n4_generated_crystals_cif__gen_1,SM_Co_001
