candidate_id,cif_path,formation_energy,target_label,fail_low,fail_high,formula,reduced_formula,m_element,space_group_number,space_group_symbol,min_interatomic_distance,volume_per_atom,min_li_o_neighbors,min_m_o_neighbors
job_219_Co_fe_-0.895_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_219_Co_fe_-0.895_n4_generated_crystals_cif__gen_0.cif,-1.35151207447052,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,8,Cm,1.830446,9.706107,6,6
job_100_Co_fe_-1.485_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_100_Co_fe_-1.485_n4_generated_crystals_cif__gen_3.cif,-1.4826509952545166,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,10,P2/m,1.904569,9.886276,6,6
job_109_Ti_fe_-0.845_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_109_Ti_fe_-0.845_n4_generated_crystals_cif__gen_0.cif,-3.209760427474976,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,44,Imm2,2.010726,10.210895,6,6
job_233_Mn_fe_-1.136_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_233_Mn_fe_-1.136_n4_generated_crystals_cif__gen_1.cif,-1.9076969623565676,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,1,P1,1.859697,10.261261,6,5
job_070_Ni_fe_-1.182_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_070_Ni_fe_-1.182_n4_generated_crystals_cif__gen_2.cif,-1.0612940788269043,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,6,Pm,1.87228,10.011172,6,6
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_2.cif,-2.166190385818481,1,0,0,Li1 Cr2 O4,LiCr2O4,Cr,1,P1,1.94698,10.308404,6,6
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_0.cif,-2.004470109939575,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,2,P-1,1.890137,10.417294,6,6
job_028_Co_fe_-0.810_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_028_Co_fe_-0.810_n4_generated_crystals_cif__gen_1.cif,-1.433193922042847,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,8,Cm,1.917058,9.587018,6,6
job_014_Al_fe_-1.262_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_014_Al_fe_-1.262_n4_generated_crystals_cif__gen_1.cif,-3.148024797439575,0,1,0,Li1 Al2 O4,LiAl2O4,Al,1,P1,1.847897,8.769211,6,6
job_104_Ni_fe_-1.453_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_104_Ni_fe_-1.453_n4_generated_crystals_cif__gen_0.cif,-1.0721954107284546,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,2,P-1,1.883072,10.233723,6,6
job_159_Al_fe_-1.408_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_159_Al_fe_-1.408_n4_generated_crystals_cif__gen_1.cif,-3.067146062850952,0,1,0,Li1 Al2 O4,LiAl2O4,Al,8,Cm,1.879434,9.672306,6,6
job_089_Ni_fe_-1.410_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_089_Ni_fe_-1.410_n4_generated_crystals_cif__gen_3.cif,-0.9813941717147828,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,1,P1,1.866033,9.556464,6,6
job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_0.cif,-2.930741548538208,0,1,0,Li1 Al2 O4,LiAl2O4,Al,12,C2/m,1.810528,11.205703,6,5
job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_0.cif,-2.14246129989624,1,0,0,Li1 Cr2 O4,LiCr2O4,Cr,8,Cm,1.856931,9.799333,4,6
job_035_Ti_fe_-1.046_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_035_Ti_fe_-1.046_n4_generated_crystals_cif__gen_1.cif,-3.198765516281128,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,1,P1,1.937734,10.242721,5,6
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_0.cif,-1.996690034866333,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,1,P1,1.885861,11.337895,4,6
job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_3.cif,-2.197359800338745,0,1,0,Li1 Cr2 O4,LiCr2O4,Cr,12,C2/m,1.972863,10.598152,6,6
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_2.cif,-2.208385467529297,0,1,0,Li1 Cr2 O4,LiCr2O4,Cr,1,P1,1.940192,10.683228,6,6
job_099_Ni_fe_-1.343_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_099_Ni_fe_-1.343_n4_generated_crystals_cif__gen_3.cif,-1.0807764530181885,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,1,P1,1.856116,10.005769,6,6
job_163_Mg_fe_-0.801_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_163_Mg_fe_-0.801_n4_generated_crystals_cif__gen_3.cif,-2.216045379638672,0,1,0,Li1 Mg2 O4,LiMg2O4,Mg,1,P1,2.017676,10.921808,6,6
job_091_Ni_fe_-1.314_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_091_Ni_fe_-1.314_n4_generated_crystals_cif__gen_3.cif,-1.0587022304534912,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,6,Pm,1.880706,10.173765,6,6
job_166_Ni_fe_-0.847_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_166_Ni_fe_-0.847_n4_generated_crystals_cif__gen_2.cif,-1.0386276245117188,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,12,C2/m,1.87788,10.055895,6,6
job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_3.cif,-1.899943828582764,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,1,P1,1.847173,10.240434,6,5
job_233_Mn_fe_-1.136_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_233_Mn_fe_-1.136_n4_generated_crystals_cif__gen_2.cif,-2.0037527084350586,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,6,Pm,1.923331,10.711757,6,6
job_071_Ti_fe_-0.887_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_071_Ti_fe_-0.887_n4_generated_crystals_cif__gen_2.cif,-3.1473639011383057,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,8,Cm,1.74445,11.103147,3,4
job_219_Co_fe_-0.895_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_219_Co_fe_-0.895_n4_generated_crystals_cif__gen_3.cif,-1.511105179786682,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,10,P2/m,1.907736,9.810568,6,6
job_165_Ni_fe_-1.146_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_165_Ni_fe_-1.146_n4_generated_crystals_cif__gen_3.cif,-1.009853720664978,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,1,P1,1.863087,9.457808,6,6
job_218_Ni_fe_-1.221_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_218_Ni_fe_-1.221_n4_generated_crystals_cif__gen_3.cif,-0.9321960210800172,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,44,Imm2,1.892092,9.322632,6,6
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_2.cif,-1.0694735050201416,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,1,P1,1.867345,10.013699,6,6
job_193_Co_fe_-1.092_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_193_Co_fe_-1.092_n4_generated_crystals_cif__gen_1.cif,-1.4423552751541138,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,8,Cm,1.912708,9.480639,6,6
job_197_Mn_fe_-0.871_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_197_Mn_fe_-0.871_n4_generated_crystals_cif__gen_1.cif,-1.8706523180007932,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,156,P3m1,1.801561,10.927151,4,5
job_247_Ni_fe_-1.069_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_247_Ni_fe_-1.069_n4_generated_crystals_cif__gen_2.cif,-0.9956089854240416,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,8,Cm,1.873745,9.8295,6,6
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_2.cif,-2.017267227172852,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,1,P1,1.913244,10.61104,6,6
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1.cif,-2.023045063018799,1,0,0,Li1 Mn2 O4,LiMn2O4,Mn,10,P2/m,1.927294,10.718393,6,6
job_026_Ti_fe_-1.451_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_026_Ti_fe_-1.451_n4_generated_crystals_cif__gen_2.cif,-3.208275079727173,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,8,Cm,1.9578,10.255705,5,6
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_1.cif,-1.9467482566833496,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,8,Cm,1.930403,10.839429,6,6
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_0.cif,-2.011162757873535,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,5,C2,1.923382,10.943449,6,6
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2.cif,-2.115389823913574,1,0,0,Li1 Cr2 O4,LiCr2O4,Cr,1,P1,1.895328,10.186228,6,6
