candidate_id,cif_path,cif_exists,cif_sha256,formula,reduced_formula,m_element,chemical_group,alignn_formation_energy_eV_atom,alignn_uncertainty_eV_atom,uncertainty_eV_atom,uncertainty_source,second_model_energy_eV_atom,second_model_uncertainty_eV_atom,absolute_model_disagreement_eV_atom,second_model_interval_hit_score,second_model_rank,target_label,alignn_u,alignn_position_class,alignn_is_edge,alignn_is_core_middle,gate_rank,gate_round,greedy_rank,greedy_round,structure_fingerprint_sha256,structure_fingerprint_definition,structure_matcher_cluster,structure_matcher_cluster_size,fingerprint_cluster,fingerprint_cluster_size,fingerprint_cluster_kind,nearest_pool_candidate_id,nearest_pool_fingerprint_distance,nearest_historical_dft_candidate_id,nearest_historical_dft_fingerprint_distance,previous_dft_nearby_status,generator_source,generator_outer_member,generator_inner_member,generator_source_verified,historical_dft_candidate,correction_available,correction_sample_n,correction_median_delta_eV_atom,corrected_score_eV_atom,distance_to_target_eV_atom,corrected_center_distance_eV_atom,corrected_in_target_interval,corrected_u,corrected_position_class,corrected_is_edge,corrected_is_core_middle,corrected_rank,space_group_number,space_group_symbol,min_interatomic_distance,volume_per_atom
job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_0,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_0.cif,True,d9f40b78bac7d3d7163aff03dab9102ca96d64b3406044ad2346b15a62016c4c,Li1 Ti2 O4,LiTi2O4,Ti,LiTi2O4,-3.17072558403,,0.464319139462,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-3.27649116516,0.464319139462,0.105765581131,0.00569651554706,591,0,-6.19203490019,A,True,False,528,33,555,35,9a30044eab913eb5e3f031781fc33475270f557ef23489b4b2ea22675fef21fc,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Ti_001,1,FP_001,3,recurring_density_cluster,job_190_Mn_fe_-0.838_n4_generated_crystals_cif__gen_2,0.287002431471,job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,0.98493119883,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_000_Ti_fe_-1.422_n4/generated_crystals_cif.zip::gen_0.cif,raw_generations/job_000_Ti_fe_-1.422_n4/generated_crystals_cif.zip,gen_0.cif,True,False,False,0,0,-3.17072558403,0.99072558403,1.07072558403,False,-6.19203490019,A,True,False,516,160,R3m,1.851881,11.214574
job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_3,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_3.cif,True,a02bb55643a2983251c09c4b66d7afbea51cd5c1d30b5fb99d7207a05f4e7ac6,Li1 Ti2 O4,LiTi2O4,Ti,LiTi2O4,-3.2070338726,,0.434112696842,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-3.36204767227,0.434112696842,0.155013799667,0.00223970171712,621,0,-6.41896170378,A,True,False,438,28,614,39,5be5e37ce9535154ad97ba06aafe64bee3f1847a4a8e86d00daa35d9a1e3e830,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Ti_002,41,FP_002,3,recurring_density_cluster,job_242_Ti_fe_-1.214_n4_generated_crystals_cif__gen_2,0.42325389652,job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,1.11325342895,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_000_Ti_fe_-1.422_n4/generated_crystals_cif.zip::gen_3.cif,raw_generations/job_000_Ti_fe_-1.422_n4/generated_crystals_cif.zip,gen_3.cif,True,False,False,0,0,-3.2070338726,1.0270338726,1.1070338726,False,-6.41896170378,A,True,False,570,1,P1,1.932281,10.166494
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_0,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_0.cif,True,16174fef7ac1ae5d764d5929817b9df90b9e4b5d68f8ef924083640f2a8632ec,Li1 Ti2 O4,LiTi2O4,Ti,LiTi2O4,-3.18779706955,,0.549254756373,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-3.25891160965,0.549254756373,0.0711145401001,0.0126994202086,534,0,-6.29873168468,A,True,False,285,18,636,40,eecc0f3495bf0d283510db318677dc2fcfc10ccaea18af1dc0ff26123557b4f4,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Ti_003,9,FP_003,8,recurring_density_cluster,job_109_Ti_fe_-0.845_n4_generated_crystals_cif__gen_3,0.151397720258,job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,0.60458607668,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_001_Ti_fe_-1.307_n4/generated_crystals_cif.zip::gen_0.cif,raw_generations/job_001_Ti_fe_-1.307_n4/generated_crystals_cif.zip,gen_0.cif,True,False,False,0,0,-3.18779706955,1.00779706955,1.08779706955,False,-6.29873168468,A,True,False,544,12,C2/m,1.943563,10.841303
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_1,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_1.cif,True,e8489d4902fbf4167ed8414a337c7662ea91df588943f6f91d90d19bc32d5011,Li1 Ti2 O4,LiTi2O4,Ti,LiTi2O4,-3.18682813644,,0.46364118372,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-3.2599029541,0.46364118372,0.0730748176575,0.00618023630139,579,0,-6.29267585278,A,True,False,346,22,637,40,2f43f487833610e66e21e88707a270f7b999038c60c1b83da4edaf21e531e51e,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Ti_003,9,FP_003,8,recurring_density_cluster,job_052_Ti_fe_-1.107_n4_generated_crystals_cif__gen_3,0.115720897359,job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,0.593609263999,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_001_Ti_fe_-1.307_n4/generated_crystals_cif.zip::gen_1.cif,raw_generations/job_001_Ti_fe_-1.307_n4/generated_crystals_cif.zip,gen_1.cif,True,False,False,0,0,-3.18682813644,1.00682813644,1.08682813644,False,-6.29267585278,A,True,False,543,12,C2/m,1.951087,10.834495
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_2,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_2.cif,True,f19820c51814ad4abe43fe2867ace09ca119d349dfc60fa41a28cdf86ca945d3,Li1 Ti2 O4,LiTi2O4,Ti,LiTi2O4,-3.21606421471,,0.509131621667,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-3.36611962318,0.509131621667,0.150055408478,0.00581401794063,587,0,-6.47540134192,A,True,False,564,36,583,37,34c924bb04c9e5d42a0b217ee1ddb6f308c1eea96daf98e99b7593da6845a572,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Ti_002,41,FP_004,5,recurring_density_cluster,job_238_Ti_fe_-0.855_n4_generated_crystals_cif__gen_0,0.180897874613,job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,0.795874972774,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_001_Ti_fe_-1.307_n4/generated_crystals_cif.zip::gen_2.cif,raw_generations/job_001_Ti_fe_-1.307_n4/generated_crystals_cif.zip,gen_2.cif,True,False,False,0,0,-3.21606421471,1.03606421471,1.11606421471,False,-6.47540134192,A,True,False,585,119,I-4m2,2.003666,10.101427
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_3,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_3.cif,True,f4349ad2fd87e7b3ebc918208784033a8c6aa8bd8f12855fcefad53a6f10807c,Li1 Ti2 O4,LiTi2O4,Ti,LiTi2O4,-3.07910108566,,0.584986800621,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-3.39909672737,0.584986800621,0.319995641708,0.00938167275194,554,0,-5.61938178539,A,True,False,466,30,603,38,d89d62b2b29de1ed0751ba7cf217a7cd643968d1b6d93d7b879d33b54ec532df,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Ti_004,1,FP_005,3,recurring_density_cluster,job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_3,0.358927119653,job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,1.07265146235,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_001_Ti_fe_-1.307_n4/generated_crystals_cif.zip::gen_3.cif,raw_generations/job_001_Ti_fe_-1.307_n4/generated_crystals_cif.zip,gen_3.cif,True,False,False,0,0,-3.07910108566,0.899101085663,0.979101085663,False,-5.61938178539,A,True,False,396,6,Pm,1.874863,9.811989
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_0,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_0.cif,True,99763fb587d2c20407d37bca484a36342b01e1141b2fb1b1d183ff57730ff6d7,Li1 Ni2 O4,Li(NiO2)2,Ni,Li(NiO2)2,-1.04072916508,,0.517492886745,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-1.4597645998,0.517492886745,0.419035434723,0.0574992701932,412,0,7.12044271827,F,True,False,359,23,487,31,2239cca6920d902c056b906466bc8b072e50e3f041a16219c64b24d13c827d8d,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Ni_001,14,FP_006,4,recurring_density_cluster,job_041_Ni_fe_-1.021_n4_generated_crystals_cif__gen_3,0.227296904164,job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,0.962054052406,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_002_Ni_fe_-1.402_n4/generated_crystals_cif.zip::gen_0.cif,raw_generations/job_002_Ni_fe_-1.402_n4/generated_crystals_cif.zip,gen_0.cif,True,False,False,0,0,-1.04072916508,0.979270834923,1.05927083492,False,7.12044271827,F,True,False,482,2,P-1,1.895213,9.88503
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_3,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_3.cif,True,90dcbe8ef1488734ce92033b52e7fe3c9e98ff27f2590040026f0b1a57414021,Li1 Ni2 O4,Li(NiO2)2,Ni,Li(NiO2)2,-1.06251597404,,0.527800385363,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-1.39165055752,0.527800385363,0.329134583473,0.0492903540748,478,0,6.98427516222,F,True,False,520,33,479,30,196fbff726f5d08ccf2cb784aa933d7cdecce9ad236d82f8c6b5816aeabf9880,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Ni_002,22,FP_007,4,recurring_density_cluster,job_247_Ni_fe_-1.069_n4_generated_crystals_cif__gen_0,0.204199207188,job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,0.59491025497,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_002_Ni_fe_-1.402_n4/generated_crystals_cif.zip::gen_3.cif,raw_generations/job_002_Ni_fe_-1.402_n4/generated_crystals_cif.zip,gen_3.cif,True,False,False,0,0,-1.06251597404,0.957484025955,1.03748402596,False,6.98427516222,F,True,False,438,6,Pm,1.879415,9.851792
job_003_Mn_fe_-1.026_n4_generated_crystals_cif__gen_0,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_003_Mn_fe_-1.026_n4_generated_crystals_cif__gen_0.cif,True,ced48d13944bae706a40dacb1c6474a4240bd421323c1b98700fe04e51642029,Li1 Mn2 O4,LiMn2O4,Mn,LiMn2O4,-1.91920244694,,0.370398659195,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-2.26731538773,0.370398659195,0.348112940788,0.154657340356,55,0,1.62998470664,F,True,False,216,14,234,15,90725b40a8c52f035990737c69ecd9ed0b878901acd1d4982b9cef607f1ef48e,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Mn_001,1,FP_008,8,recurring_density_cluster,job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,0.366886720577,job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,0.366886720577,same_fingerprint_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_003_Mn_fe_-1.026_n4/generated_crystals_cif.zip::gen_0.cif,raw_generations/job_003_Mn_fe_-1.026_n4/generated_crystals_cif.zip,gen_0.cif,True,False,True,3,0.176542943114,-1.74265950382,0.277340496177,0.357340496177,False,2.7333781011,F,True,False,225,156,P3m1,1.913752,11.064599
job_004_Mg_fe_-1.439_n4_generated_crystals_cif__gen_1,D:\CGCNN_Formation_Energy_AL_Archive\experiments\reproducibility\staging\paired_confirmation_server_20260712\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_FLAT_20260617\job_004_Mg_fe_-1.439_n4_generated_crystals_cif__gen_1.cif,True,d30ef35cef96557bccac29af3e61948c95076454400f903119c0678324a0de28,Li1 Mg2 O4,LiMg2O4,Mg,LiMg2O4,-2.10062098503,,0.388396888124,saved CGCNN MC-dropout sigma; candidate-level ALIGNN uncertainty not available,-2.91997313499,0.388396888124,0.819352149963,0.0181293110577,516,1,0.496118843555,C,False,True,232,15,304,19,1413f8312002cfde8c6d128f44a1bbc2319715d059ed0aa3b5682f8b3080aec6,"Li/M/O role-RDF: six unordered pairs, 0-6 A in 0.2-A bins; scale-free sorted lattice lengths, angles, and normalized volume",SM_Mg_001,1,FP_SINGLETON_001,1,hdbscan_noise_singleton,job_024_Mg_fe_-0.880_n4_generated_crystals_cif__gen_3,1.31711958528,job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,1.66554560378,no_shared_cluster,D:\User\leoluis0705\Documents\xwechat_files\wxid_bbzc35ridmlc22_e97b\msg\file\2026-04\initial_1000_raw_generations.zip::raw_generations/job_004_Mg_fe_-1.439_n4/generated_crystals_cif.zip::gen_1.cif,raw_generations/job_004_Mg_fe_-1.439_n4/generated_crystals_cif.zip,gen_1.cif,True,False,True,2,0.651052398728,-1.4495685863,0.570431413697,0.650431413697,False,4.56519633561,F,True,False,319,1,P1,1.910206,10.632533
