candidate_id,cohort,calculation_id,stage_role,functional,outcar_available,vasp_completed,electronic_converged,ionic_convergence_status,final_total_energy_eV,Fmax_eV_A,final_total_magnetic_moment,failure_reason,outcar_path,outcar_sha256,vasprun_path,output_provenance
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,new,01_pbe_relax,relax,PBE,True,True,True,converged,-52.39324416,0.07668205100282595,5.0,,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OUTCAR,743b023bcb141c76b10740749b85966a68b24bdbdeea1f62220c3f3fc67b68bb,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/vasprun.xml,stage-specific original output
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,new,02_pbe_static,static,PBE,True,True,True,not_applicable_static,-52.37266022,0.08553489697778328,5.0,,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OUTCAR,133f27961cbedf27a7f7774ad3218a5abe7345802466f3f66392685b5be99e83,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/vasprun.xml,stage-specific original output
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,new,03_gga_u_relax,relax,GGA+U,True,True,True,converged,-47.64130583,0.0645509140059225,7.0,,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/OUTCAR,c127860d8dc4ea70494f5e87592226fd5056531a66946a096057e2de6acd0906,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/vasprun.xml,stage-specific original output
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,new,04_gga_u_static,static,GGA+U,True,True,True,not_applicable_static,-47.66013221,0.061179775825022445,7.0001,,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/OUTCAR,dbbb84b59492448ed972488bf79dbdfc0888992116eee5c72bcaf13126b27f5f,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/vasprun.xml,stage-specific original output
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,new,01_pbe_relax,relax,PBE,True,True,True,converged,-35.25934363,0.06452581047921832,3.0,,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/OUTCAR,8f672eae572b03cdfaab46ccc0014ebb9408bfdfdde99fa3f908e3ced87d6464,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/vasprun.xml,stage-specific original output
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,new,02_pbe_static,static,PBE,True,True,True,not_applicable_static,-35.25879476,0.06326346125529334,3.0001,,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/OUTCAR,bacea7bcd7dc1a478d30750746d7747143c3087a768a6532890e3e3c121a1663,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/vasprun.xml,stage-specific original output
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new,01_pbe_relax,relax,PBE,True,True,True,converged,-52.21471664,0.0636298574177249,7.0,,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OUTCAR,1886cf646e7fb26fffb327a90de9ebff8ec427b6d3f0028570a2594974cf6147,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/vasprun.xml,stage-specific original output
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new,02_pbe_static,static,PBE,True,True,True,not_applicable_static,-52.2109572,0.06552151884686434,7.0002,,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OUTCAR,d0d490d5f5c5d57b9462d15bafabddad05f467cf1bc2d77a7aba084870728dba,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/vasprun.xml,stage-specific original output
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new,03_gga_u_relax,relax,GGA+U,True,True,True,converged,-47.85022366,0.0608344225829423,7.0,,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/OUTCAR,ae4fe0c3a4eeb1a9099f73d05d3d1ae890f97bae1e49146e82cf846619112455,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/vasprun.xml,stage-specific original output
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new,04_gga_u_static,static,GGA+U,True,True,True,not_applicable_static,-47.8500035,0.0612164973352772,7.0,,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/OUTCAR,dea3956fa241cc9de94f5bf8ec8922ad501506c857b11f6e4f259c7c20a7c160,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/vasprun.xml,stage-specific original output
