candidate_id,formula,cohort,configuration_source,relaxation_calculation_id,static_calculation_id,initial_volume_A3,final_volume_A3,relative_volume_change_percent,minimum_interatomic_distance_A,minimum_M_O_distance_A,Fmax_eV_A,Fmax_source,electronic_converged,ionic_convergence_status,final_total_energy_eV,final_total_magnetic_moment,initial_space_group,final_space_group,initial_structure_path,final_structure_path,final_static_outcar_path,metric_definition
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,LiMn2O4,new,GGA+U configuration,03_gga_u_relax,04_gga_u_static,68.78014098515087,74.621639711321,8.493001966121685,1.8997503085094236,1.8997503085094236,0.061179775825022445,final static OUTCAR on relaxed geometry,True,converged,-47.66013221,7.0001,C2/m (12),P1 (1),new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_010_Mn_job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,LiMg2O4,new,PBE configuration,01_pbe_relax,02_pbe_static,76.21996764978414,77.09375967586969,1.1464082877868131,2.0539698571835308,2.0539698571835308,0.06326346125529334,final static OUTCAR on relaxed geometry,True,converged,-35.25879476,3.0001,I-4m2 (119),I-4m2 (119),new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_011_Mg_job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,LiMn2O4,new,lower-energy configuration among the two tested initializations,tight_state_fm_01_tight_relax,tight_state_fm_02_static,75.65656421711157,75.6448468375787,-0.015487591399528624,1.9247503215370323,1.9247503215370323,0.0437004140369402,final static OUTCAR on relaxed geometry,True,converged,-47.85069284,7.0,P2/m (10),P2/m (10),new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,LiCr2O4,new,GGA+U configuration,03_gga_u_relax,04_gga_u_static,71.19545739181527,73.64481439647162,3.4403276478394123,1.9256548747966615,1.9256548747966615,0.033201772512924665,final static OUTCAR on relaxed geometry,True,converged,-49.24208766,4.9997,R-3m (166),R-3m (166),new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,LiMn2O4,new,lower-energy configuration among the two tested initializations,tight_state_fm_01_tight_relax,tight_state_fm_02_static,74.66967175569795,75.21543667026249,0.7309057368701996,1.8967166046097987,1.8967166046097987,0.04712470806275621,final static OUTCAR on relaxed geometry,True,converged,-47.6690802,7.0001,P1 (1),P1 (1),new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_fm/01_tight_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_fm/01_tight_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_fm/02_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,LiMg2O4,new,PBE configuration,01_pbe_relax,02_pbe_static,71.71772290593377,72.95789366592551,1.7292388962465686,2.0712033542938646,2.0869925585876667,0.027193100926521784,final static OUTCAR on relaxed geometry,True,converged,-35.50340314,3.0001,I4/mmm (139),I4/mmm (139),new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,LiCr2O4,new,lower-energy configuration among the two tested initializations,tight_state_fm_01_tight_relax,tight_state_fm_02_static,69.83123205275149,70.04491031547376,0.3059923997343382,1.8001867783606271,1.8001867783606271,0.05181176520829994,final static OUTCAR on relaxed geometry,True,converged,-49.10916607,5.0,Cm (8),P1 (1),new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,LiCr2O4,new,GGA+U configuration,03_gga_u_relax,04_gga_u_static,71.98861789317888,73.8907913661365,2.642325312843449,1.9409609354556892,1.9409609354556892,0.07222927870330702,final static OUTCAR on relaxed geometry,True,converged,-49.40710803,5.0,P2/m (10),P2/m (10),new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/03_gga_u_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/04_gga_u_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,LiMn2O4,new,retained failed-candidate PBE configuration,01_pbe_relax,02_pbe_static,78.23012655016957,77.192332453843,-1.3265913556474096,1.890188839267203,1.890188839267203,0.4570215286887479,final static OUTCAR on relaxed geometry,False,converged,-51.41138483,4.8681,Cm (8),Cm (8),new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_007_Mn_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2/stages/02_pbe_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,LiMn2O4,new,retained failed-candidate PBE configuration,01_pbe_relax,02_pbe_static,75.29957792777675,73.53237339667443,-2.346898322321712,1.9015660455196362,1.9015660455196362,1.1929786643159215,final static OUTCAR on relaxed geometry,False,converged,-50.82793519,1.2527,P-1 (2),P-1 (2),new12_dft_final/candidate_outputs/candidate_008_Mn_job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3/stages/01_pbe_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_008_Mn_job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3/stages/01_pbe_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_008_Mn_job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3/stages/02_pbe_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
