candidate_id,m_element,formula,cif_sha256,structure_matcher_cluster,structure_matcher_cluster_size,atom_count,space_group_number,min_interatomic_distance,volume_per_atom,chgnet_initial_energy_eV_atom,chgnet_final_energy_eV_atom,chgnet_max_force_eV_A,chgnet_stress_GPa,chgnet_volume_change_fraction,chgnet_min_interatomic_distance_A,chgnet_rms_displacement_A,chgnet_final_space_group_number,mace_initial_energy_eV_atom,mace_final_energy_eV_atom,mace_max_force_eV_A,mace_stress_GPa,mace_volume_change_fraction,mace_min_interatomic_distance_A,mace_rms_displacement_A,mace_final_space_group_number,mlip_energy_disagreement_eV_atom,mlip_rms_displacement_disagreement_A,mlip_volume_change_disagreement_fraction,p_dft_evaluable,evaluability_uncertainty,composition_only_probability,predicted_dft_energy_mean,predicted_dft_energy_std,p_interval_hit,energy_calibration_model_id,p_interval_alignn,p_interval_mlip,dft_evaluability_model,evidence_tier
job_003_Mn_fe_-1.026_n4_generated_crystals_cif__gen_0,Mn,Li1 Mn2 O4,ced48d13944bae706a40dacb1c6474a4240bd421323c1b98700fe04e51642029,SM_Mn_001,1,7.0,156,1.913752,11.064599,-7.655138833182199,-7.660219464983259,0.0810059913502605,0.7226169263319755,0.0022286541387974,1.912791422100322,0.0257293689890011,156,-6.785576101377571,-6.787393679227384,0.0955290439235413,0.7166468901482099,0.000483439073456,1.9315791006724128,0.0138718389568048,156,0.8728257857558743,0.0118575300321963,0.0017452150653413999,0.22690818691533685,0.18984008790524204,0.5,-1.7914585861857883,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_004_Mg_fe_-1.439_n4_generated_crystals_cif__gen_1,Mg,Li1 Mg2 O4,d30ef35cef96557bccac29af3e61948c95076454400f903119c0678324a0de28,SM_Mg_001,1,7.0,1,1.910206,10.632533,-5.467862810407366,-5.487454005650112,0.0696684062961011,0.4981729904521277,-0.021424844531141,1.9497703348239228,0.1244859218521423,160,-5.031718620459976,-5.059717571944721,0.0781612760955761,0.7781719645997096,-0.0001326476120664,1.90374431853118,0.1240983279534188,160,0.42773643370539105,0.0003875938987235039,0.0212921969190746,0.25523496492164927,0.21546164442955748,0.75,-1.5129173743045925,0.02,0.740817809092909,MACE-MP::composition_offset,0.020817968018351517,0.740817809092909,shallow_gradient_boosting,ML_estimate_only
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_0,Mn,Li1 Mn2 O4,0ccbbbd01ba179ab8fa37ffc9c24fa2e878b7923f688336a14bf0095264629a9,SM_Mn_002,1,7.0,8,1.960566,11.151853,-7.658291952950614,-7.663602556501116,0.0950995207834888,1.2325083146266285,-0.0086274356017409,1.9503212636873648,0.0188034737814262,166,-6.791212810427411,-6.7983807642443255,0.048972917905119,1.356893180432218,-0.0190944539572828,1.9444826297101183,0.0176092359472448,166,0.8652217922567909,0.0011942378341813983,0.0104670183555419,0.45660684236868165,0.2613837342998984,0.5,-1.8024456712027295,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_2,Mn,Li1 Mn2 O4,bcae1467b5eb770bb19c274ad2da64824b36534bdd4c62acef5c57b7045fe4de,SM_Mn_003,16,7.0,1,1.926167,11.006818,-7.710212707519531,-7.711910247802734,0.0863337548130783,0.4643202141650909,-0.0022348926745203,1.9062412806713904,0.014327116668865,1,-6.843728026021168,-6.845644682494971,0.0846086331683214,0.5950243564326586,-0.002530882980879,1.9104671953797807,0.0146744946540783,1,0.8662655653077636,0.00034737798521329924,0.0002959903063587,0.4313555720987794,0.2529003536738178,0.5,-1.8497095894533748,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_3,Mn,Li1 Mn2 O4,b9f766150de5e238ead0aabdeadf6ec2615ede110838c691d9f5662b88280473,SM_Mn_004,35,7.0,1,1.918828,10.71052,-7.721979413713727,-7.722194671630859,0.0856612661987302,0.9039734351381572,0.0005219067675601,1.920279852914614,0.0023732353014986,2,-6.852961812729812,-6.8537927266444205,0.0503935761538976,1.1551638030914122,0.003450790208159,1.9178649918233777,0.0103053203952101,2,0.8684019449864389,0.0079320850937115,0.0029288834405989,0.7216515945882569,0.20921477775380098,0.5,-1.8578576336028245,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_007_Mg_fe_-1.079_n4_generated_crystals_cif__gen_0,Mg,Li1 Mg2 O4,5e193017aa6038ef0c43c26745809d1cc05d440fedfb3c96fc933b2326adb061,SM_Mg_002,3,7.0,123,2.073701,10.388975,-5.445326668875558,-5.445326668875558,0.0096570208079173,1.4981207813536048,0.0,2.073700798946883,0.0,123,-5.080806844769643,-5.08314032663189,0.0044876209758027,1.5270141077025117,-0.0164663260980133,2.0705345914271485,0.0013569371222193,123,0.3621863422436684,0.0013569371222193,0.0164663260980133,0.645165571063296,0.27663632632922963,0.75,-1.5363401289917613,0.02,0.9653919371034668,MACE-MP::composition_offset,0.9999999960035734,0.9653919371034668,shallow_gradient_boosting,ML_estimate_only
job_008_Mg_fe_-1.361_n4_generated_crystals_cif__gen_1,Mg,Li1 Mg2 O4,245181ae7fe00bb9bb626d5575d646f821757001361c5a3b0b05cb503695403f,SM_Mg_003,8,7.0,12,2.014694,10.460076,-5.45165034702846,-5.45165034702846,0.0450378640299433,1.2086675211551587,0.0,2.014693506317843,0.0,139,-5.085759299079682,-5.086744028021427,0.0370816002194119,1.512354387396104,-0.0074118175302638,1.9977612666809907,0.0064130316018704,139,0.36490631900703274,0.0064130316018704,0.0074118175302638,0.8262033133688947,0.14615848279113006,0.75,-1.539943830381299,0.02,0.9770978089961512,MACE-MP::composition_offset,0.9752333607778083,0.9770978089961512,shallow_gradient_boosting,ML_estimate_only
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_2,Mg,Li1 Mg2 O4,d3113093a1b509f2238e0e30d3069bb267d4b03845d20fdd4b9dc46a1a5f860a,SM_Mg_004,15,7.0,5,2.028983,11.025191,-5.4516160147530695,-5.461197444370815,0.0729262393698055,1.2828033158743644,0.0037013139264097,2.033876509064546,0.0699776614543252,119,-5.062241880842263,-5.066386190304187,0.0281042850384769,1.2973340482760332,-0.0272903770526421,2.0240847130688326,0.0101915887450499,119,0.394811254066628,0.0597860727092753,0.0309916909790518,0.79020736509301,0.164235432928798,0.75,-1.5195859926640587,0.02,0.8362840241794006,MACE-MP::composition_offset,0.998966979611631,0.8362840241794006,shallow_gradient_boosting,ML_estimate_only
job_012_Cr_fe_-1.495_n4_generated_crystals_cif__gen_0,Cr,Li1 Cr2 O4,b757361728846d8b05724e722a7c3eae8b2244f368537a08bff5ecc82bfe68fe,SM_Cr_001,1,7.0,1,1.867868,11.277602,-8.066543579101562,-8.068981170654297,0.0949088258692577,0.7024918679952827,0.0005497189526488,1.8844750059170468,0.027571758972389,6,-7.085292558690746,-7.089223747765287,0.0841487589315806,1.0985788096816762,0.002545097718102,1.8806240847003568,0.0396628113399316,6,0.9797574228890102,0.012091052367542602,0.0019953787654532,0.3147768490612918,0.24053765939837135,0.42857142857142855,-2.281788573820739,0.02,0.8187393532885914,MACE-MP::composition_offset,0.8016755959597384,0.8187393532885914,shallow_gradient_boosting,ML_estimate_only
job_012_Cr_fe_-1.495_n4_generated_crystals_cif__gen_3,Cr,Li1 Cr2 O4,8593c814b4474ac0a72b22654a292d9ac92795d83788a516d57b525cbda4c8fc,SM_Cr_002,15,7.0,44,1.969619,9.830353,-8.030440194266182,-8.034891401018415,0.0341005905777296,0.0970437375309352,0.0285784075383364,1.9173109616217048,0.0523345488174731,119,-7.075994909120425,-7.0772602888601615,0.0934906866238753,1.1590132312689447,0.0036068338272288,1.9686132059425767,0.0138396285920732,119,0.9576311121582535,0.038494920225399895,0.0249715737111076,0.7695878626160884,0.16860100578575637,0.42857142857142855,-2.269825114915614,0.02,0.9343179242104773,MACE-MP::composition_offset,0.13519741985229838,0.9343179242104773,shallow_gradient_boosting,ML_estimate_only
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_0,Cr,Li1 Cr2 O4,97326b9332ad197e85a1d34dfd69064296673947bc46fb5f2c7e6fd6a44c2b73,SM_Cr_003,20,7.0,10,1.94479,10.719157,-8.081148420061384,-8.08183833530971,0.0600284499803853,0.3554246065774284,-0.0021992371137599,1.943347738815972,0.0092782655876042,10,-7.10197675177167,-7.103123972074642,0.0928082834587041,1.0569661864515,-0.0026547216061102,1.9347646107352856,0.012624681842264,10,0.9787143632350679,0.0033464162546598,0.0004554844923502998,0.7065650710950928,0.2190253877766757,0.42857142857142855,-2.2956887981300946,0.02,0.5853346673909081,MACE-MP::composition_offset,0.2348922345017267,0.5853346673909081,shallow_gradient_boosting,ML_estimate_only
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_1,Cr,Li1 Cr2 O4,ed8ccd2739e03c85e0e1887552982c08bfd783a2efaafba4ca3cf1a50948c866,SM_Cr_004,12,7.0,8,1.97681,10.615965,-8.08102525983538,-8.083654131208148,0.0975468610987347,0.5874882465985076,-0.004529778876285,1.9587188773306217,0.0198533131967938,12,-7.108860960924398,-7.11128785788176,0.0899513016058559,1.3534508372305436,-0.0042496473299047,1.9637163308674328,0.0129673297728187,12,0.9723662733263874,0.006885983423975102,0.0002801315463802998,0.7414115573675113,0.2008265734092725,0.42857142857142855,-2.3038526839372127,0.02,0.4236227306362167,MACE-MP::composition_offset,0.06771946828552389,0.4236227306362167,shallow_gradient_boosting,ML_estimate_only
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_2,Cr,Li1 Cr2 O4,6613be44be6575280bdfcc918153bb7e5846e25eaab4fade97aca352bd5944e1,SM_Cr_005,12,7.0,8,1.79641,10.050248,-8.030865805489677,-8.033306121826172,0.0709314428738358,0.7939309289407575,-0.0003035447152783,1.7744301839727257,0.019919231244527,8,-7.068798316063912,-7.075482063061715,0.0902920559751927,0.7547098745117562,-0.013584351462608,1.8402545279003992,0.0469773861205689,8,0.9578240587644569,0.0270581548760419,0.0132808067473297,0.7420748853461303,0.19366004392162625,0.42857142857142855,-2.2680468891171675,0.02,0.9449401711895058,MACE-MP::composition_offset,0.8497561336042607,0.9449401711895058,shallow_gradient_boosting,ML_estimate_only
