id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,is_valid,target_label,group_key
job_168_Co_fe_-1.301_n4_generated_crystals_cif__gen_2,1,-2.1,-1.6694135665893557,-1.4075247049331665,0.4305864334106444,dropout,0,0,Li(CoO2)2
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_1,1,-2.1,-2.215804100036621,-2.007370948791504,0.115804100036621,dropout,0,0,LiMn2O4
job_218_Ni_fe_-1.221_n4_generated_crystals_cif__gen_2,1,-2.1,-1.4535260200500488,-0.9798018932342528,0.6464739799499513,dropout,0,0,Li(NiO2)2
job_144_Co_fe_-1.460_n4_generated_crystals_cif__gen_2,1,-2.1,-1.5612432956695557,-1.5255531072616575,0.5387567043304444,dropout,0,0,Li(CoO2)2
job_102_Ni_fe_-1.495_n4_generated_crystals_cif__gen_3,1,-2.1,-1.4527359008789062,-1.0729703903198242,0.6472640991210938,dropout,0,0,Li(NiO2)2
job_219_Co_fe_-0.895_n4_generated_crystals_cif__gen_0,1,-2.1,-1.6691546440124512,-1.35151207447052,0.4308453559875489,dropout,0,0,Li(CoO2)2
job_173_Mg_fe_-1.290_n4_generated_crystals_cif__gen_2,1,-2.1,-3.092787504196167,-2.2078213691711426,0.9927875041961668,dropout,0,0,LiMg2O4
job_027_Ti_fe_-1.340_n4_generated_crystals_cif__gen_2,1,-2.1,-3.360884189605713,-3.208082675933838,1.2608841896057128,dropout,0,0,LiTi2O4
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_1,1,-2.1,-2.100915908813477,-2.1088345050811768,0.0009159088134769,dropout,1,1,LiCr2O4
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_2,1,-2.1,-2.0985541343688965,-2.2411439418792725,0.0014458656311036,dropout,0,0,LiCr2O4
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0,1,-2.1,-2.101898193359375,-2.190068006515503,0.0018981933593749,dropout,0,0,LiCr2O4
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_3,1,-2.1,-2.102276086807251,-2.181488037109375,0.0022760868072508,dropout,0,0,LiCr2O4
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_3,1,-2.1,-2.0976831912994385,-2.206807374954224,0.0023168087005616,dropout,0,0,LiCr2O4
job_234_Cr_fe_-1.123_n4_generated_crystals_cif__gen_0,1,-2.1,-2.102363109588623,-2.1932477951049805,0.0023631095886229,dropout,0,0,LiCr2O4
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_0,1,-2.1,-2.102893114089966,-2.20471739768982,0.0028931140899657,dropout,0,0,LiCr2O4
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_3,1,-2.1,-2.103208541870117,-2.177259683609009,0.003208541870117,dropout,1,1,LiCr2O4
job_108_Ni_fe_-1.123_n4_generated_crystals_cif__gen_1,2,-2.1,-1.5158865451812744,-1.0526087284088137,0.5841134548187257,dropout,0,0,Li(NiO2)2
job_117_Ti_fe_-0.811_n4_generated_crystals_cif__gen_0,2,-2.1,-3.19626522064209,-3.131124258041382,1.0962652206420898,dropout,0,0,LiTi2O4
job_132_Ni_fe_-0.895_n4_generated_crystals_cif__gen_0,2,-2.1,-1.4870465993881226,-1.0583908557891846,0.6129534006118775,dropout,0,0,Li(NiO2)2
job_121_Ni_fe_-1.367_n4_generated_crystals_cif__gen_3,2,-2.1,-1.694916009902954,-1.07256817817688,0.405083990097046,dropout,0,0,Li(NiO2)2
job_218_Ni_fe_-1.221_n4_generated_crystals_cif__gen_0,2,-2.1,-1.443705439567566,-1.0031559467315674,0.6562945604324342,dropout,0,0,Li(NiO2)2
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_0,2,-2.1,-2.343413829803467,-1.925455570220948,0.2434138298034667,dropout,0,0,LiMn2O4
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_2,2,-2.1,-2.4424402713775635,-2.139615058898926,0.3424402713775634,dropout,1,1,LiCr2O4
job_078_Ni_fe_-1.122_n4_generated_crystals_cif__gen_0,2,-2.1,-1.438621997833252,-0.9988322257995604,0.6613780021667481,dropout,0,0,Li(NiO2)2
job_147_Mn_fe_-0.827_n4_generated_crystals_cif__gen_0,2,-2.1,-2.2475974559783936,-1.5450682640075684,0.1475974559783934,dropout,0,0,LiMn2O4
job_019_Mg_fe_-1.315_n4_generated_crystals_cif__gen_0,2,-2.1,-2.2789723873138428,-1.7464520931243896,0.1789723873138426,dropout,0,0,LiMg2O4
job_232_Mn_fe_-1.004_n4_generated_crystals_cif__gen_2,2,-2.1,-2.309321880340576,-1.8914794921875,0.209321880340576,dropout,0,0,LiMn2O4
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_0,2,-2.1,-2.323941707611084,-1.996690034866333,0.2239417076110839,dropout,0,0,LiMn2O4
job_172_Mn_fe_-1.032_n4_generated_crystals_cif__gen_3,2,-2.1,-2.324054002761841,-1.903335690498352,0.2240540027618407,dropout,0,0,LiMn2O4
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_2,2,-2.1,-2.324378252029419,-1.9489537477493288,0.2243782520294188,dropout,0,0,LiMn2O4
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_1,2,-2.1,-2.329750061035156,-1.920598745346069,0.2297500610351557,dropout,0,0,LiMn2O4
job_057_Mn_fe_-0.971_n4_generated_crystals_cif__gen_0,2,-2.1,-2.3318400382995605,-1.996131181716919,0.2318400382995604,dropout,0,0,LiMn2O4
job_160_Ti_fe_-1.290_n4_generated_crystals_cif__gen_2,3,-2.1,-3.6089370250701904,-3.230051755905152,1.5089370250701903,dropout,0,0,LiTi2O4
job_238_Ti_fe_-0.855_n4_generated_crystals_cif__gen_0,3,-2.1,-3.599482774734497,-3.238698720932007,1.499482774734497,dropout,0,0,LiTi2O4
job_186_Ti_fe_-0.814_n4_generated_crystals_cif__gen_0,3,-2.1,-3.5982308387756348,-3.218111991882324,1.498230838775635,dropout,0,0,LiTi2O4
job_137_Al_fe_-1.012_n4_generated_crystals_cif__gen_1,3,-2.1,-2.573392629623413,-2.91833758354187,0.473392629623413,dropout,0,0,LiAl2O4
job_099_Ni_fe_-1.343_n4_generated_crystals_cif__gen_2,3,-2.1,-1.2541379928588867,-1.0705647468566897,0.8458620071411134,dropout,0,0,Li(NiO2)2
job_184_Co_fe_-1.469_n4_generated_crystals_cif__gen_1,3,-2.1,-1.6366881132125854,-1.3748714923858645,0.4633118867874146,dropout,0,0,Li(CoO2)2
