id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,is_valid,target_label,group_key
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_3,1,-2.1,-2.1528913974761963,-2.0285513401031494,0.0528913974761962,explore,1,1,LiMn2O4
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_0,1,-2.1,-2.122194766998291,-2.136093616485596,0.0221947669982909,explore,1,1,LiCr2O4
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_0,1,-2.1,-2.2099742889404297,-1.996690034866333,0.1099742889404296,explore,0,0,LiMn2O4
job_207_Cr_fe_-0.848_n4_generated_crystals_cif__gen_2,1,-2.1,-2.103623390197754,-2.1844170093536377,0.0036233901977538,explore,0,0,LiCr2O4
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_3,1,-2.1,-2.2204790115356445,-2.018496513366699,0.1204790115356444,explore,0,0,LiMn2O4
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,1,-2.1,-2.0060532093048096,-2.036665916442871,0.0939467906951905,explore,1,1,LiCr2O4
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_1,1,-2.1,-2.064654588699341,-2.21838641166687,0.0353454113006592,explore,0,0,LiCr2O4
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_1,1,-2.1,-2.180860996246338,-2.0261118412017822,0.0808609962463378,explore,1,1,LiMn2O4
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,1,-2.1,-2.1654093265533447,-2.173450231552124,0.0654093265533446,explore,1,1,LiCr2O4
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_2,1,-2.1,-2.138945817947388,-2.166190385818481,0.038945817947388,explore,1,1,LiCr2O4
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_0,1,-2.1,-2.0833547115325928,-2.2501983642578125,0.0166452884674073,explore,0,0,LiCr2O4
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_0,1,-2.1,-2.1591858863830566,-1.9902619123458865,0.0591858863830565,explore,0,0,LiMn2O4
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_0,1,-2.1,-2.111083030700684,-2.205277681350708,0.0110830307006839,explore,0,0,LiCr2O4
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,1,-2.1,-2.156365156173706,-2.032205581665039,0.0563651561737059,explore,1,1,LiMn2O4
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3,1,-2.1,-2.148287534713745,-2.176752805709839,0.048287534713745,explore,1,1,LiCr2O4
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_0,1,-2.1,-2.193593740463257,-2.004470109939575,0.0935937404632567,explore,0,0,LiMn2O4
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_2,2,-2.1,-2.2349295616149902,-2.225569486618042,0.1349295616149901,explore,0,0,LiCr2O4
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_1,2,-2.1,-2.094430685043335,-2.1088345050811768,0.0055693149566651,explore,1,1,LiCr2O4
job_224_Mn_fe_-1.419_n4_generated_crystals_cif__gen_0,2,-2.1,-2.237878799438477,-2.018557071685791,0.1378787994384769,explore,0,0,LiMn2O4
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_2,2,-2.1,-2.2070603370666504,-2.175285577774048,0.1070603370666503,explore,1,1,LiCr2O4
job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_2,2,-2.1,-2.1405029296875,-2.159709215164185,0.0405029296874999,explore,1,1,LiCr2O4
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_0,2,-2.1,-2.2193193435668945,-2.2057487964630127,0.1193193435668944,explore,0,0,LiCr2O4
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_1,2,-2.1,-2.263911962509156,-1.9320378303527832,0.1639119625091556,explore,0,0,LiMn2O4
job_147_Mn_fe_-0.827_n4_generated_crystals_cif__gen_0,2,-2.1,-2.0123322010040283,-1.5450682640075684,0.0876677989959717,explore,0,0,LiMn2O4
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_2,2,-2.1,-2.186907291412353,-2.129879713058472,0.0869072914123529,explore,1,1,LiCr2O4
job_216_Cr_fe_-0.890_n4_generated_crystals_cif__gen_0,2,-2.1,-2.193321466445923,-2.2009010314941406,0.0933214664459227,explore,0,0,LiCr2O4
job_220_Cr_fe_-1.305_n4_generated_crystals_cif__gen_2,2,-2.1,-2.150635004043579,-2.1609792709350586,0.050635004043579,explore,1,1,LiCr2O4
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_1,2,-2.1,-2.225242376327514,-1.993648648262024,0.1252423763275141,explore,0,0,LiMn2O4
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_3,2,-2.1,-2.211547374725342,-2.2419798374176025,0.1115473747253417,explore,0,0,LiCr2O4
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,2,-2.1,-2.2465567588806152,-2.0216588973999023,0.1465567588806151,explore,1,1,LiMn2O4
job_172_Mn_fe_-1.032_n4_generated_crystals_cif__gen_3,2,-2.1,-2.174639940261841,-1.903335690498352,0.0746399402618407,explore,0,0,LiMn2O4
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_2,2,-2.1,-2.2702083587646484,-2.1674489974975586,0.1702083587646483,explore,1,1,LiCr2O4
job_197_Mn_fe_-0.871_n4_generated_crystals_cif__gen_1,3,-2.1,-2.003298282623291,-1.8706523180007928,0.096701717376709,explore,0,0,LiMn2O4
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_2,3,-2.1,-2.20332407951355,-2.1501615047454834,0.1033240795135497,explore,1,1,LiCr2O4
job_176_Mn_fe_-0.980_n4_generated_crystals_cif__gen_2,3,-2.1,-2.095989227294922,-2.003683567047119,0.0040107727050782,explore,0,0,LiMn2O4
job_205_Al_fe_-1.483_n4_generated_crystals_cif__gen_2,3,-2.1,-2.142557144165039,-3.061967134475708,0.0425571441650389,explore,0,0,LiAl2O4
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_1,3,-2.1,-2.228110313415528,-2.2130284309387207,0.1281103134155277,explore,0,0,LiCr2O4
job_054_Al_fe_-0.872_n4_generated_crystals_cif__gen_2,3,-2.1,-2.0869436264038086,-3.1348016262054443,0.0130563735961914,explore,0,0,LiAl2O4
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_2,3,-2.1,-2.076013803482056,-1.9118714332580569,0.0239861965179439,explore,0,0,LiMn2O4
job_090_Al_fe_-0.837_n4_generated_crystals_cif__gen_2,3,-2.1,-2.034653663635254,-3.1492702960968018,0.0653463363647461,explore,0,0,LiAl2O4
job_216_Cr_fe_-0.890_n4_generated_crystals_cif__gen_2,3,-2.1,-2.17305850982666,-2.163748025894165,0.07305850982666,explore,1,1,LiCr2O4
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_3,3,-2.1,-2.1167702674865723,-1.9995641708374023,0.0167702674865721,explore,0,0,LiMn2O4
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_3,3,-2.1,-2.151163578033448,-2.1069674491882324,0.0511635780334476,explore,1,1,LiCr2O4
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_3,3,-2.1,-2.132378578186035,-1.9228596687316888,0.032378578186035,explore,0,0,LiMn2O4
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_1,3,-2.1,-2.220178842544556,-2.136512517929077,0.120178842544556,explore,1,1,LiCr2O4
job_232_Mn_fe_-1.004_n4_generated_crystals_cif__gen_2,3,-2.1,-2.055405855178833,-1.8914794921875,0.044594144821167,explore,0,0,LiMn2O4
job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_2,3,-2.1,-2.064291000366211,-2.0183801651000977,0.0357089996337891,explore,0,0,LiMn2O4
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_1,3,-2.1,-2.1251540184021,-2.0094380378723145,0.0251540184020999,explore,0,0,LiMn2O4
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_1,4,-2.1,-2.005063533782959,-2.21074652671814,0.0949364662170411,explore,0,0,LiCr2O4
job_162_Mn_fe_-1.493_n4_generated_crystals_cif__gen_3,4,-2.1,-1.6645331382751465,-1.8956153392791748,0.4354668617248536,explore,0,0,LiMn2O4
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_0,4,-2.1,-1.683363437652588,-1.9121254682540887,0.4166365623474122,explore,0,0,LiMn2O4
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_1,4,-2.1,-2.135446786880493,-2.1884896755218506,0.035446786880493,explore,0,0,LiCr2O4
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_3,4,-2.1,-1.6482584476470947,-1.951714038848877,0.4517415523529053,explore,0,0,LiMn2O4
job_043_Mn_fe_-1.340_n4_generated_crystals_cif__gen_1,4,-2.1,-1.6433203220367432,-2.03938102722168,0.4566796779632569,explore,1,1,LiMn2O4
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_2,4,-2.1,-2.062317371368408,-2.213667154312134,0.0376826286315918,explore,0,0,LiCr2O4
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,4,-2.1,-1.5912117958068848,-2.0493369102478027,0.5087882041931153,explore,1,1,LiMn2O4
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0,4,-2.1,-2.0026626586914062,-2.190068006515503,0.0973373413085938,explore,0,0,LiCr2O4
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_1,4,-2.1,-1.605176568031311,-1.9251861572265625,0.494823431968689,explore,0,0,LiMn2O4
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_2,4,-2.1,-1.6189675331115725,-2.009329319000244,0.4810324668884276,explore,0,0,LiMn2O4
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_3,4,-2.1,-2.043203830718994,-2.151050090789795,0.0567961692810059,explore,1,1,LiCr2O4
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,4,-2.1,-2.1018636226654053,-2.17874813079834,0.0018636226654051,explore,1,1,LiCr2O4
