id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,P_hit,U_i,group_key,mode,is_valid,target_label
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_1,1,-2.1,-2.136458158493042,-2.018841505050659,-0.0364581584930419,gated_ta_dpp,0.41795784258863,0.1360131595897251,LiMn2O4,dpp_diverse,0,0
job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_3,1,-2.1,-2.139169692993164,-2.197359800338745,-0.0391696929931639,gated_ta_dpp,0.3862087555844978,0.1499196091528109,LiCr2O4,dpp_diverse,0,0
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_1,1,-2.1,-2.1719439029693604,-1.920598745346069,-0.0719439029693602,gated_ta_dpp,0.4023954654600882,0.1252073834429087,LiMn2O4,dpp_diverse,0,0
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_3,1,-2.1,-2.118107795715332,-2.1577799320220947,-0.0181077957153319,gated_ta_dpp,0.3727744420244628,0.1609995543529675,LiCr2O4,dpp_diverse,1,1
job_057_Mn_fe_-0.971_n4_generated_crystals_cif__gen_1,1,-2.1,-2.1757938861846924,-2.0010862350463867,-0.0757938861846923,gated_ta_dpp,0.3832952023991493,0.1329010500744407,LiMn2O4,dpp_diverse,0,0
job_216_Cr_fe_-0.890_n4_generated_crystals_cif__gen_2,1,-2.1,-2.1422934532165527,-2.163748025894165,-0.0422934532165526,gated_ta_dpp,0.3600492860167914,0.162960517154454,LiCr2O4,dpp_diverse,1,1
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_0,1,-2.1,-2.161977529525757,-2.2454543113708496,-0.0619775295257567,gated_ta_dpp,0.356714955371109,0.1573963482184238,LiCr2O4,dpp_diverse,0,0
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_2,1,-2.1,-2.163653612136841,-2.03523588180542,-0.0636536121368407,gated_ta_dpp,0.3459403658119336,0.1633624414902261,LiMn2O4,dpp_diverse,1,1
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_3,1,-2.1,-2.0976831912994385,-2.206807374954224,0.0023168087005616,gated_ta_dpp,0.3546529202661201,0.1718685011905453,LiCr2O4,dpp_diverse,0,0
job_232_Mn_fe_-1.004_n4_generated_crystals_cif__gen_2,1,-2.1,-2.1475367546081543,-1.8914794921875,-0.0475367546081542,gated_ta_dpp,0.3448338823924752,0.1704288932975681,LiMn2O4,dpp_diverse,0,0
