id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,is_valid,target_label,group_key
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_1,1,-2.1,-2.100915908813477,-2.1088345050811768,0.0009159088134769,greedy,1,1,LiCr2O4
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_2,1,-2.1,-2.0985541343688965,-2.2411439418792725,0.0014458656311036,greedy,0,0,LiCr2O4
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0,1,-2.1,-2.101898193359375,-2.190068006515503,0.0018981933593749,greedy,0,0,LiCr2O4
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_3,1,-2.1,-2.102276086807251,-2.181488037109375,0.0022760868072508,greedy,0,0,LiCr2O4
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_3,1,-2.1,-2.0976831912994385,-2.206807374954224,0.0023168087005616,greedy,0,0,LiCr2O4
job_234_Cr_fe_-1.123_n4_generated_crystals_cif__gen_0,1,-2.1,-2.102363109588623,-2.1932477951049805,0.0023631095886229,greedy,0,0,LiCr2O4
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_0,1,-2.1,-2.102893114089966,-2.20471739768982,0.0028931140899657,greedy,0,0,LiCr2O4
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_3,1,-2.1,-2.103208541870117,-2.177259683609009,0.003208541870117,greedy,1,1,LiCr2O4
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_0,1,-2.1,-2.096737861633301,-2.23909068107605,0.0032621383666993,greedy,0,0,LiCr2O4
job_207_Cr_fe_-0.848_n4_generated_crystals_cif__gen_2,1,-2.1,-2.103623390197754,-2.1844170093536377,0.0036233901977538,greedy,0,0,LiCr2O4
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_2,1,-2.1,-2.0961012840271,-2.213667154312134,0.0038987159729,greedy,0,0,LiCr2O4
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,1,-2.1,-2.104226589202881,-2.177961587905884,0.0042265892028807,greedy,1,1,LiCr2O4
job_240_Cr_fe_-1.413_n4_generated_crystals_cif__gen_0,1,-2.1,-2.1054575443267822,-2.1912271976470947,0.0054575443267821,greedy,0,0,LiCr2O4
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_1,1,-2.1,-2.0944042205810547,-2.171660184860229,0.0055957794189454,greedy,1,1,LiCr2O4
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_3,1,-2.1,-2.1065690517425537,-2.181931734085083,0.0065690517425536,greedy,0,0,LiCr2O4
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_2,1,-2.1,-2.106609344482422,-2.1674489974975586,0.0066093444824217,greedy,1,1,LiCr2O4
job_164_Mn_fe_-1.449_n4_generated_crystals_cif__gen_2,2,-2.1,-2.100161552429199,-1.9216485023498533,0.0001615524291991,greedy,0,0,LiMn2O4
job_172_Mn_fe_-1.032_n4_generated_crystals_cif__gen_1,2,-2.1,-2.1004583835601807,-2.029231548309326,0.0004583835601805,greedy,1,1,LiMn2O4
job_233_Mn_fe_-1.136_n4_generated_crystals_cif__gen_2,2,-2.1,-2.1009812355041504,-2.0037527084350586,0.0009812355041503,greedy,0,0,LiMn2O4
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_3,2,-2.1,-2.097731113433838,-1.9995641708374023,0.0022688865661621,greedy,0,0,LiMn2O4
job_057_Mn_fe_-0.971_n4_generated_crystals_cif__gen_1,2,-2.1,-2.096137285232544,-2.0010862350463867,0.0038627147674561,greedy,0,0,LiMn2O4
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_2,2,-2.1,-2.105004072189331,-2.003902673721313,0.0050040721893309,greedy,0,0,LiMn2O4
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_1,2,-2.1,-2.094453811645508,-1.92506754398346,0.0055461883544922,greedy,0,0,LiMn2O4
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_3,2,-2.1,-2.094330310821533,-1.9223705530166624,0.0056696891784668,greedy,0,0,LiMn2O4
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_1,2,-2.1,-2.106107234954834,-2.012666940689087,0.0061072349548338,greedy,0,0,LiMn2O4
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_1,2,-2.1,-2.107492685317993,-1.927605509757996,0.007492685317993,greedy,0,0,LiMn2O4
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_1,2,-2.1,-2.1075479984283447,-2.0094380378723145,0.0075479984283446,greedy,0,0,LiMn2O4
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_2,2,-2.1,-2.0906004905700684,-1.9932122230529783,0.0093995094299317,greedy,0,0,LiMn2O4
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_1,2,-2.1,-2.090278625488281,-1.993648648262024,0.0097213745117192,greedy,0,0,LiMn2O4
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,2,-2.1,-2.0882716178894043,-2.0187184810638428,0.0117283821105957,greedy,0,0,LiMn2O4
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_0,2,-2.1,-2.087907552719116,-1.925455570220948,0.0120924472808838,greedy,0,0,LiMn2O4
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_0,2,-2.1,-2.0878188610076904,-2.009093761444092,0.0121811389923096,greedy,0,0,LiMn2O4
job_169_Al_fe_-0.916_n4_generated_crystals_cif__gen_2,3,-2.1,-2.099778413772583,-3.1715238094329834,0.000221586227417,greedy,0,0,LiAl2O4
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_0,3,-2.1,-2.098762989044189,-2.0219147205352783,0.001237010955811,greedy,1,1,LiMn2O4
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_3,3,-2.1,-2.09791111946106,-1.9228596687316888,0.00208888053894,greedy,0,0,LiMn2O4
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_3,3,-2.1,-2.1030423641204834,-2.002866506576538,0.0030423641204833,greedy,0,0,LiMn2O4
job_162_Mn_fe_-1.493_n4_generated_crystals_cif__gen_0,3,-2.1,-2.0965137481689453,-2.0029783248901367,0.0034862518310547,greedy,0,0,LiMn2O4
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_2,3,-2.1,-2.094390392303467,-2.009329319000244,0.0056096076965332,greedy,0,0,LiMn2O4
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_0,3,-2.1,-2.106052875518799,-1.9899033308029173,0.0060528755187987,greedy,0,0,LiMn2O4
job_229_Al_fe_-1.076_n4_generated_crystals_cif__gen_2,3,-2.1,-2.106945037841797,-3.067518472671509,0.0069450378417967,greedy,0,0,LiAl2O4
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_3,3,-2.1,-2.108293294906616,-2.0107548236846924,0.0082932949066161,greedy,0,0,LiMn2O4
