id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,is_valid,target_label,group_key
job_077_Ni_fe_-1.238_n4_generated_crystals_cif__gen_3,1,-2.1,-1.385366916656494,-1.0573275089263916,0.7146330833435062,modulus,0,0,Li(NiO2)2
job_015_Ni_fe_-1.349_n4_generated_crystals_cif__gen_3,1,-2.1,-1.38379967212677,-1.0284245014190674,0.7162003278732301,modulus,0,0,Li(NiO2)2
job_194_Ni_fe_-1.199_n4_generated_crystals_cif__gen_2,1,-2.1,-1.394194722175598,-1.0326850414276123,0.7058052778244022,modulus,0,0,Li(NiO2)2
job_084_Ni_fe_-1.459_n4_generated_crystals_cif__gen_0,1,-2.1,-1.3910479545593262,-1.056497573852539,0.7089520454406739,modulus,0,0,Li(NiO2)2
job_015_Ni_fe_-1.349_n4_generated_crystals_cif__gen_1,1,-2.1,-1.3772207498550415,-1.04986572265625,0.7227792501449586,modulus,0,0,Li(NiO2)2
job_084_Ni_fe_-1.459_n4_generated_crystals_cif__gen_3,1,-2.1,-1.3840090036392212,-1.0500950813293457,0.7159909963607789,modulus,0,0,Li(NiO2)2
job_198_Ni_fe_-1.023_n4_generated_crystals_cif__gen_0,1,-2.1,-1.3954017162322998,-1.0517443418502808,0.7045982837677003,modulus,0,0,Li(NiO2)2
job_093_Ni_fe_-0.850_n4_generated_crystals_cif__gen_2,1,-2.1,-1.3815901279449463,-1.0448346138000488,0.7184098720550538,modulus,0,0,Li(NiO2)2
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_1,1,-2.1,-2.100915908813477,-2.1088345050811768,0.0009159088134769,modulus,1,1,LiCr2O4
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_2,1,-2.1,-2.0985541343688965,-2.2411439418792725,0.0014458656311036,modulus,0,0,LiCr2O4
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0,1,-2.1,-2.101898193359375,-2.190068006515503,0.0018981933593749,modulus,0,0,LiCr2O4
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_3,1,-2.1,-2.102276086807251,-2.181488037109375,0.0022760868072508,modulus,0,0,LiCr2O4
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_3,1,-2.1,-2.0976831912994385,-2.206807374954224,0.0023168087005616,modulus,0,0,LiCr2O4
job_234_Cr_fe_-1.123_n4_generated_crystals_cif__gen_0,1,-2.1,-2.102363109588623,-2.1932477951049805,0.0023631095886229,modulus,0,0,LiCr2O4
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_0,1,-2.1,-2.102893114089966,-2.20471739768982,0.0028931140899657,modulus,0,0,LiCr2O4
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_3,1,-2.1,-2.103208541870117,-2.177259683609009,0.003208541870117,modulus,1,1,LiCr2O4
job_247_Ni_fe_-1.069_n4_generated_crystals_cif__gen_0,2,-2.1,-1.3682769536972046,-1.0674479007720947,0.7317230463027955,modulus,0,0,Li(NiO2)2
job_123_Ni_fe_-1.305_n4_generated_crystals_cif__gen_1,2,-2.1,-1.3263845443725586,-0.929029107093811,0.7736154556274415,modulus,0,0,Li(NiO2)2
job_104_Ni_fe_-1.453_n4_generated_crystals_cif__gen_0,2,-2.1,-1.4023841619491575,-1.0721954107284546,0.6976158380508426,modulus,0,0,Li(NiO2)2
job_187_Ni_fe_-0.981_n4_generated_crystals_cif__gen_1,2,-2.1,-1.3425512313842771,-0.9695405960083008,0.757448768615723,modulus,0,0,Li(NiO2)2
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_3,2,-2.1,-1.3690760135650637,-1.0625159740447998,0.7309239864349364,modulus,0,0,Li(NiO2)2
job_166_Ni_fe_-0.847_n4_generated_crystals_cif__gen_0,2,-2.1,-1.3906768560409546,-0.9668550491333008,0.7093231439590455,modulus,0,0,Li(NiO2)2
job_038_Ni_fe_-1.176_n4_generated_crystals_cif__gen_3,2,-2.1,-1.3832703828811646,-1.052220582962036,0.7167296171188355,modulus,0,0,Li(NiO2)2
job_218_Ni_fe_-1.221_n4_generated_crystals_cif__gen_1,2,-2.1,-1.3434664011001587,-0.9765410423278807,0.7565335988998414,modulus,0,0,Li(NiO2)2
job_172_Mn_fe_-1.032_n4_generated_crystals_cif__gen_3,2,-2.1,-2.0989811420440674,-1.903335690498352,0.0010188579559327,modulus,0,0,LiMn2O4
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_1,2,-2.1,-2.097018003463745,-2.018841505050659,0.0029819965362549,modulus,0,0,LiMn2O4
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_0,2,-2.1,-2.10935115814209,-2.0294673442840576,0.0093511581420897,modulus,1,1,LiMn2O4
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_2,2,-2.1,-2.0891664028167725,-1.933753609657288,0.0108335971832276,modulus,0,0,LiMn2O4
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_1,2,-2.1,-2.088752508163452,-1.920598745346069,0.0112474918365479,modulus,0,0,LiMn2O4
job_057_Mn_fe_-0.971_n4_generated_crystals_cif__gen_0,2,-2.1,-2.085657358169556,-1.996131181716919,0.0143426418304439,modulus,0,0,LiMn2O4
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_3,2,-2.1,-2.114877462387085,-2.0285513401031494,0.0148774623870848,modulus,1,1,LiMn2O4
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_3,2,-2.1,-2.114920139312744,-2.035506010055542,0.014920139312744,modulus,1,1,LiMn2O4
job_102_Ni_fe_-1.495_n4_generated_crystals_cif__gen_3,3,-2.1,-1.1975386142730713,-1.0729703903198242,0.9024613857269288,modulus,0,0,Li(NiO2)2
job_124_Ni_fe_-0.888_n4_generated_crystals_cif__gen_0,3,-2.1,-1.1977086067199707,-1.028308391571045,0.9022913932800294,modulus,0,0,Li(NiO2)2
job_157_Ni_fe_-1.031_n4_generated_crystals_cif__gen_0,3,-2.1,-1.1297917366027832,-0.9739506840705872,0.9702082633972168,modulus,0,0,Li(NiO2)2
job_165_Ni_fe_-1.146_n4_generated_crystals_cif__gen_3,3,-2.1,-1.0890847444534302,-1.009853720664978,1.01091525554657,modulus,0,0,Li(NiO2)2
job_187_Ni_fe_-0.981_n4_generated_crystals_cif__gen_2,3,-2.1,-1.1436614990234375,-0.967257559299469,0.9563385009765626,modulus,0,0,Li(NiO2)2
job_108_Ni_fe_-1.123_n4_generated_crystals_cif__gen_2,3,-2.1,-1.112848877906799,-1.018135905265808,0.987151122093201,modulus,0,0,Li(NiO2)2
job_089_Ni_fe_-1.410_n4_generated_crystals_cif__gen_1,3,-2.1,-1.1893587112426758,-1.060167908668518,0.9106412887573244,modulus,0,0,Li(NiO2)2
job_157_Ni_fe_-1.031_n4_generated_crystals_cif__gen_1,3,-2.1,-1.0855573415756226,-0.951586127281189,1.0144426584243775,modulus,0,0,Li(NiO2)2
job_232_Mn_fe_-1.004_n4_generated_crystals_cif__gen_2,3,-2.1,-2.114764213562012,-1.8914794921875,0.014764213562012,modulus,0,0,LiMn2O4
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_1,3,-2.1,-2.138611555099488,-1.9876065254211424,0.0386115550994876,modulus,0,0,LiMn2O4
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_1,3,-2.1,-2.1620442867279053,-1.996446132659912,0.0620442867279051,modulus,0,0,LiMn2O4
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_1,3,-2.1,-2.1704752445220947,-1.9795161485672,0.0704752445220946,modulus,0,0,LiMn2O4
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_3,3,-2.1,-2.1745874881744385,-1.995632886886597,0.0745874881744383,modulus,0,0,LiMn2O4
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_3,3,-2.1,-2.180021286010742,-1.9542670249938965,0.0800212860107421,modulus,0,0,LiMn2O4
job_197_Mn_fe_-0.871_n4_generated_crystals_cif__gen_1,3,-2.1,-2.180403470993042,-1.8706523180007928,0.0804034709930419,modulus,0,0,LiMn2O4
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_0,3,-2.1,-2.185826301574707,-1.9871506690979004,0.0858263015747069,modulus,0,0,LiMn2O4
job_089_Ni_fe_-1.410_n4_generated_crystals_cif__gen_3,4,-2.1,-1.1466479301452637,-0.9813941717147828,0.9533520698547364,modulus,0,0,Li(NiO2)2
job_165_Ni_fe_-1.146_n4_generated_crystals_cif__gen_0,4,-2.1,-1.2145442962646484,-1.0661312341690063,0.8854557037353517,modulus,0,0,Li(NiO2)2
job_095_Ni_fe_-1.001_n4_generated_crystals_cif__gen_3,4,-2.1,-1.234367847442627,-1.0219249725341797,0.8656321525573731,modulus,0,0,Li(NiO2)2
job_218_Ni_fe_-1.221_n4_generated_crystals_cif__gen_2,4,-2.1,-1.176134467124939,-0.9798018932342528,0.9238655328750612,modulus,0,0,Li(NiO2)2
job_217_Ni_fe_-1.483_n4_generated_crystals_cif__gen_3,4,-2.1,-1.2042819261550903,-1.0270507335662842,0.8957180738449098,modulus,0,0,Li(NiO2)2
job_078_Ni_fe_-1.122_n4_generated_crystals_cif__gen_0,4,-2.1,-1.0844820737838743,-0.9988322257995604,1.0155179262161258,modulus,0,0,Li(NiO2)2
job_166_Ni_fe_-0.847_n4_generated_crystals_cif__gen_3,4,-2.1,-1.1278384923934937,-1.0118584632873535,0.9721615076065064,modulus,0,0,Li(NiO2)2
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_0,4,-2.1,-1.1175894737243652,-0.9966152906417848,0.9824105262756349,modulus,0,0,Li(NiO2)2
job_147_Mn_fe_-0.827_n4_generated_crystals_cif__gen_0,4,-2.1,-2.089836597442627,-1.5450682640075684,0.0101634025573731,modulus,0,0,LiMn2O4
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_0,4,-2.1,-2.123096704483032,-1.996690034866333,0.0230967044830316,modulus,0,0,LiMn2O4
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_0,4,-2.1,-2.1253719329833984,-1.9902619123458865,0.0253719329833983,modulus,0,0,LiMn2O4
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_2,4,-2.1,-2.128840684890747,-1.995753526687622,0.0288406848907469,modulus,0,0,LiMn2O4
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_3,4,-2.1,-2.1291749477386475,-1.9298725128173828,0.0291749477386473,modulus,0,0,LiMn2O4
job_043_Mn_fe_-1.340_n4_generated_crystals_cif__gen_3,4,-2.1,-2.1298227310180664,-2.0343403816223145,0.0298227310180663,modulus,1,1,LiMn2O4
job_197_Mn_fe_-0.871_n4_generated_crystals_cif__gen_0,4,-2.1,-2.1314568519592285,-1.927563428878784,0.0314568519592284,modulus,0,0,LiMn2O4
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,4,-2.1,-2.131897211074829,-2.032205581665039,0.031897211074829,modulus,1,1,LiMn2O4
job_203_Ni_fe_-0.895_n4_generated_crystals_cif__gen_1,5,-2.1,-1.1434834003448486,-0.9687165021896362,0.9565165996551516,modulus,0,0,Li(NiO2)2
job_041_Ni_fe_-1.021_n4_generated_crystals_cif__gen_0,5,-2.1,-1.2055423259735107,-1.0630372762680054,0.8944576740264893,modulus,0,0,Li(NiO2)2
job_132_Ni_fe_-0.895_n4_generated_crystals_cif__gen_1,5,-2.1,-1.1504366397857666,-1.0019932985305786,0.9495633602142336,modulus,0,0,Li(NiO2)2
job_111_Ni_fe_-0.951_n4_generated_crystals_cif__gen_0,5,-2.1,-1.2137858867645264,-1.0662175416946411,0.8862141132354737,modulus,0,0,Li(NiO2)2
job_089_Ni_fe_-1.410_n4_generated_crystals_cif__gen_2,5,-2.1,-1.1510859727859497,-0.8430165648460388,0.9489140272140504,modulus,0,0,Li(NiO2)2
job_038_Ni_fe_-1.176_n4_generated_crystals_cif__gen_2,5,-2.1,-1.1807172298431396,-0.8666164875030518,0.9192827701568604,modulus,0,0,Li(NiO2)2
