id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,is_valid,target_label,group_key
job_180_Ti_fe_-0.903_n4_generated_crystals_cif__gen_0,1,-2.1,-3.258913040161133,-3.166663885116577,1.1589130401611327,random,0,0,LiTi2O4
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_1,1,-2.1,-2.2217321395874023,-1.92506754398346,0.1217321395874022,random,0,0,LiMn2O4
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_1,1,-2.1,-2.064654588699341,-2.21838641166687,0.0353454113006592,random,0,0,LiCr2O4
job_194_Ni_fe_-1.199_n4_generated_crystals_cif__gen_2,1,-2.1,-1.394194722175598,-1.0326850414276123,0.7058052778244022,random,0,0,Li(NiO2)2
job_221_Ti_fe_-1.143_n4_generated_crystals_cif__gen_1,1,-2.1,-3.37628173828125,-3.2176730632781982,1.27628173828125,random,0,0,LiTi2O4
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_3,1,-2.1,-2.199289321899414,-1.9298725128173828,0.0992893218994139,random,0,0,LiMn2O4
job_191_Ti_fe_-0.867_n4_generated_crystals_cif__gen_3,1,-2.1,-3.3614611625671387,-3.222399473190308,1.2614611625671386,random,0,0,LiTi2O4
job_177_Ni_fe_-1.309_n4_generated_crystals_cif__gen_2,1,-2.1,-1.42415189743042,-1.0617724657058716,0.6758481025695802,random,0,0,Li(NiO2)2
job_138_Ti_fe_-0.803_n4_generated_crystals_cif__gen_1,1,-2.1,-3.371562957763672,-3.222485303878784,1.2715629577636718,random,0,0,LiTi2O4
job_221_Ti_fe_-1.143_n4_generated_crystals_cif__gen_3,1,-2.1,-3.3739285469055176,-3.220663547515869,1.2739285469055175,random,0,0,LiTi2O4
job_217_Ni_fe_-1.483_n4_generated_crystals_cif__gen_3,1,-2.1,-1.390672206878662,-1.0270507335662842,0.709327793121338,random,0,0,Li(NiO2)2
job_224_Mn_fe_-1.419_n4_generated_crystals_cif__gen_3,1,-2.1,-2.2040748596191406,-2.015972852706909,0.1040748596191405,random,0,0,LiMn2O4
job_228_Ti_fe_-0.950_n4_generated_crystals_cif__gen_1,1,-2.1,-3.166341781616211,-3.1674187183380127,1.0663417816162108,random,0,0,LiTi2O4
job_229_Al_fe_-1.076_n4_generated_crystals_cif__gen_2,1,-2.1,-2.594520092010498,-3.067518472671509,0.4945200920104979,random,0,0,LiAl2O4
job_102_Ni_fe_-1.495_n4_generated_crystals_cif__gen_3,1,-2.1,-1.4527359008789062,-1.0729703903198242,0.6472640991210938,random,0,0,Li(NiO2)2
job_015_Ni_fe_-1.349_n4_generated_crystals_cif__gen_0,1,-2.1,-1.4677190780639648,-1.0757691860198977,0.6322809219360352,random,0,0,Li(NiO2)2
job_183_Ti_fe_-1.203_n4_generated_crystals_cif__gen_1,2,-2.1,-3.076451778411865,-3.16682243347168,0.9764517784118648,random,0,0,LiTi2O4
job_189_Mg_fe_-1.493_n4_generated_crystals_cif__gen_1,2,-2.1,-3.0770740509033203,-2.177410125732422,0.9770740509033202,random,1,1,LiMg2O4
job_019_Mg_fe_-1.315_n4_generated_crystals_cif__gen_0,2,-2.1,-2.65293025970459,-1.7464520931243896,0.5529302597045898,random,0,0,LiMg2O4
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,2,-2.1,-2.1544651985168457,-2.023138999938965,0.0544651985168456,random,1,1,LiMn2O4
job_102_Ni_fe_-1.495_n4_generated_crystals_cif__gen_2,2,-2.1,-1.0580999851226809,-1.052438497543335,1.0419000148773192,random,0,0,Li(NiO2)2
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_0,2,-2.1,-3.1436338424682617,-3.161445379257202,1.0436338424682616,random,0,0,LiAl2O4
job_184_Co_fe_-1.469_n4_generated_crystals_cif__gen_2,2,-2.1,-1.728101372718811,-1.4096026420593262,0.371898627281189,random,0,0,Li(CoO2)2
job_160_Ti_fe_-1.290_n4_generated_crystals_cif__gen_0,2,-2.1,-3.194873571395874,-3.219585418701172,1.094873571395874,random,0,0,LiTi2O4
job_009_Ti_fe_-1.009_n4_generated_crystals_cif__gen_1,2,-2.1,-3.1151928901672363,-3.1638171672821045,1.0151928901672362,random,0,0,LiTi2O4
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_2,2,-2.1,-2.283743143081665,-2.193563222885132,0.1837431430816649,random,0,0,LiCr2O4
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_3,2,-2.1,-2.1478843688964844,-2.035506010055542,0.0478843688964842,random,1,1,LiMn2O4
job_021_Mg_fe_-1.413_n4_generated_crystals_cif__gen_0,2,-2.1,-3.1834075450897217,-2.307190656661988,1.0834075450897216,random,0,0,LiMg2O4
job_211_Ti_fe_-1.424_n4_generated_crystals_cif__gen_0,2,-2.1,-3.0690321922302246,-3.217421293258667,0.9690321922302244,random,0,0,LiTi2O4
job_176_Mn_fe_-0.980_n4_generated_crystals_cif__gen_0,2,-2.1,-2.249307870864868,-2.0098371505737305,0.149307870864868,random,0,0,LiMn2O4
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_3,2,-2.1,-1.104627251625061,-1.0609701871871948,0.995372748374939,random,0,0,Li(NiO2)2
job_223_Mg_fe_-1.268_n4_generated_crystals_cif__gen_1,2,-2.1,-3.0554962158203125,-2.228058099746704,0.9554962158203124,random,0,0,LiMg2O4
job_237_Co_fe_-1.198_n4_generated_crystals_cif__gen_2,3,-2.1,-1.763655185699463,-1.52774977684021,0.3363448143005372,random,0,0,Li(CoO2)2
job_213_Al_fe_-1.344_n4_generated_crystals_cif__gen_1,3,-2.1,-2.9533376693725586,-3.1154184341430664,0.8533376693725585,random,0,0,LiAl2O4
job_184_Co_fe_-1.469_n4_generated_crystals_cif__gen_0,3,-2.1,-1.6933588981628418,-1.350908875465393,0.4066411018371583,random,0,0,Li(CoO2)2
job_164_Mn_fe_-1.449_n4_generated_crystals_cif__gen_1,3,-2.1,-2.092811584472656,-1.9572625160217283,0.0071884155273442,random,0,0,LiMn2O4
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_3,3,-2.1,-2.4644477367401123,-2.187363386154175,0.3644477367401122,random,0,0,LiCr2O4
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_3,3,-2.1,-2.366365432739258,-2.2156307697296143,0.2663654327392577,random,0,0,LiCr2O4
job_018_Co_fe_-0.907_n4_generated_crystals_cif__gen_3,3,-2.1,-1.7376391887664795,-1.4167397022247314,0.3623608112335206,random,0,0,Li(CoO2)2
job_119_Ti_fe_-1.262_n4_generated_crystals_cif__gen_0,3,-2.1,-3.39870548248291,-3.1663100719451904,1.29870548248291,random,0,0,LiTi2O4
job_027_Ti_fe_-1.340_n4_generated_crystals_cif__gen_2,3,-2.1,-3.390953540802002,-3.208082675933838,1.290953540802002,random,0,0,LiTi2O4
job_228_Ti_fe_-0.950_n4_generated_crystals_cif__gen_0,3,-2.1,-3.328024387359619,-3.170816898345948,1.228024387359619,random,0,0,LiTi2O4
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_1,3,-2.1,-2.114201068878174,-1.996446132659912,0.0142010688781737,random,0,0,LiMn2O4
job_078_Ni_fe_-1.122_n4_generated_crystals_cif__gen_1,3,-2.1,-1.5071098804473877,-1.0738767385482788,0.5928901195526124,random,0,0,Li(NiO2)2
job_060_Ti_fe_-1.204_n4_generated_crystals_cif__gen_1,3,-2.1,-3.393642902374268,-3.19005823135376,1.293642902374268,random,0,0,LiTi2O4
job_180_Ti_fe_-0.903_n4_generated_crystals_cif__gen_1,3,-2.1,-3.4034013748168945,-3.188894510269165,1.3034013748168944,random,0,0,LiTi2O4
job_072_Co_fe_-0.820_n4_generated_crystals_cif__gen_3,3,-2.1,-1.7326209545135498,-1.448652267456055,0.3673790454864503,random,0,0,Li(CoO2)2
job_168_Co_fe_-1.301_n4_generated_crystals_cif__gen_2,3,-2.1,-1.7408710718154907,-1.4075247049331665,0.3591289281845093,random,0,0,Li(CoO2)2
job_206_Ti_fe_-0.853_n4_generated_crystals_cif__gen_0,4,-2.1,-3.261435508728028,-3.133388996124268,1.1614355087280277,random,0,0,LiTi2O4
job_109_Ti_fe_-0.845_n4_generated_crystals_cif__gen_3,4,-2.1,-3.256364345550537,-3.1927490234375,1.156364345550537,random,0,0,LiTi2O4
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_0,4,-2.1,-2.1974432468414307,-2.1936843395233154,0.0974432468414305,random,0,0,LiCr2O4
job_104_Ni_fe_-1.453_n4_generated_crystals_cif__gen_2,4,-2.1,-0.8479583263397217,-1.062983751296997,1.2520416736602784,random,0,0,Li(NiO2)2
job_090_Al_fe_-0.837_n4_generated_crystals_cif__gen_1,4,-2.1,-3.193257093429565,-3.149639844894409,1.093257093429565,random,0,0,LiAl2O4
job_151_Al_fe_-1.416_n4_generated_crystals_cif__gen_0,4,-2.1,-3.232184648513794,-3.161771535873413,1.132184648513794,random,0,0,LiAl2O4
job_243_Al_fe_-1.012_n4_generated_crystals_cif__gen_2,4,-2.1,-3.1004626750946045,-3.132365226745605,1.0004626750946044,random,0,0,LiAl2O4
job_225_Co_fe_-1.375_n4_generated_crystals_cif__gen_1,4,-2.1,-1.072283387184143,-1.5009140968322754,1.027716612815857,random,0,0,Li(CoO2)2
job_176_Mn_fe_-0.980_n4_generated_crystals_cif__gen_3,4,-2.1,-2.073186159133911,-1.9345104694366453,0.0268138408660889,random,0,0,LiMn2O4
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_1,4,-2.1,-2.188784599304199,-2.148542881011963,0.0887845993041991,random,1,1,LiCr2O4
job_178_Mg_fe_-1.353_n4_generated_crystals_cif__gen_1,4,-2.1,-2.4122393131256104,-2.1866466999053955,0.3122393131256102,random,0,0,LiMg2O4
job_053_Co_fe_-0.977_n4_generated_crystals_cif__gen_2,4,-2.1,-1.279102444648743,-1.4127352237701416,0.8208975553512572,random,0,0,Li(CoO2)2
job_240_Cr_fe_-1.413_n4_generated_crystals_cif__gen_2,4,-2.1,-2.200169801712036,-2.160156488418579,0.100169801712036,random,1,1,LiCr2O4
job_247_Ni_fe_-1.069_n4_generated_crystals_cif__gen_2,4,-2.1,-0.8220323324203491,-0.9956089854240416,1.277967667579651,random,0,0,Li(NiO2)2
job_194_Ni_fe_-1.199_n4_generated_crystals_cif__gen_1,4,-2.1,-0.8823580741882324,-0.9629971981048584,1.2176419258117677,random,0,0,Li(NiO2)2
job_024_Mg_fe_-0.880_n4_generated_crystals_cif__gen_3,4,-2.1,-2.2265145778656006,-2.004354953765869,0.1265145778656005,random,0,0,LiMg2O4
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_2,5,-2.1,-0.9911218881607056,-1.0694735050201416,1.1088781118392943,random,0,0,Li(NiO2)2
job_123_Ni_fe_-1.305_n4_generated_crystals_cif__gen_2,5,-2.1,-0.9554920196533204,-0.963112771511078,1.1445079803466798,random,0,0,Li(NiO2)2
job_234_Cr_fe_-1.123_n4_generated_crystals_cif__gen_0,5,-2.1,-2.2269415855407715,-2.1932477951049805,0.1269415855407714,random,0,0,LiCr2O4
job_111_Ni_fe_-0.951_n4_generated_crystals_cif__gen_3,5,-2.1,-0.9671705961227416,-1.0682172775268557,1.1328294038772584,random,0,0,Li(NiO2)2
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_1,5,-2.1,-2.1980092525482178,-2.1959590911865234,0.0980092525482176,random,0,0,LiCr2O4
job_193_Co_fe_-1.092_n4_generated_crystals_cif__gen_3,5,-2.1,-1.2637369632720947,-1.5073931217193604,0.8362630367279054,random,0,0,Li(CoO2)2
job_123_Ni_fe_-1.305_n4_generated_crystals_cif__gen_0,5,-2.1,-1.0171998739242554,-0.953837513923645,1.0828001260757447,random,0,0,Li(NiO2)2
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_1,5,-2.1,-2.157933235168457,-2.2130284309387207,0.0579332351684569,random,0,0,LiCr2O4
job_187_Ni_fe_-0.981_n4_generated_crystals_cif__gen_2,5,-2.1,-0.9700925350189208,-0.967257559299469,1.1299074649810792,random,0,0,Li(NiO2)2
job_235_Ti_fe_-0.842_n4_generated_crystals_cif__gen_1,5,-2.1,-3.1802799701690674,-3.173351526260376,1.0802799701690673,random,0,0,LiTi2O4
job_195_Mn_fe_-1.284_n4_generated_crystals_cif__gen_3,5,-2.1,-2.039947032928467,-2.015247106552124,0.0600529670715332,random,0,0,LiMn2O4
job_169_Al_fe_-0.916_n4_generated_crystals_cif__gen_1,5,-2.1,-3.1039154529571533,-2.8976054191589355,1.0039154529571532,random,0,0,LiAl2O4
job_166_Ni_fe_-0.847_n4_generated_crystals_cif__gen_1,5,-2.1,-0.9511339664459229,-1.0404415130615234,1.1488660335540772,random,0,0,Li(NiO2)2
job_239_Mg_fe_-1.280_n4_generated_crystals_cif__gen_2,5,-2.1,-2.3818836212158203,-1.9719445705413816,0.2818836212158202,random,0,0,LiMg2O4
job_150_Ti_fe_-0.897_n4_generated_crystals_cif__gen_1,5,-2.1,-2.9235496520996094,-3.166491746902466,0.8235496520996093,random,0,0,LiTi2O4
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_3,5,-2.1,-2.1420938968658447,-2.177259683609009,0.0420938968658446,random,1,1,LiCr2O4
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_0,6,-2.1,-1.9777987003326416,-1.996690034866333,0.1222012996673584,random,0,0,LiMn2O4
job_159_Al_fe_-1.408_n4_generated_crystals_cif__gen_1,6,-2.1,-3.0964343547821045,-3.067146062850952,0.9964343547821044,random,0,0,LiAl2O4
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_2,6,-2.1,-2.111781358718872,-2.008680820465088,0.0117813587188719,random,0,0,LiMn2O4
job_169_Al_fe_-0.916_n4_generated_crystals_cif__gen_3,6,-2.1,-3.143286228179932,-2.881225109100342,1.043286228179932,random,0,0,LiAl2O4
job_242_Ti_fe_-1.214_n4_generated_crystals_cif__gen_0,6,-2.1,-3.2801663875579834,-3.160521984100342,1.1801663875579833,random,0,0,LiTi2O4
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0,6,-2.1,-2.2183942794799805,-2.1566174030303955,0.1183942794799803,random,1,1,LiCr2O4
job_147_Mn_fe_-0.827_n4_generated_crystals_cif__gen_1,6,-2.1,-2.0442137718200684,-2.0137922763824463,0.0557862281799317,random,0,0,LiMn2O4
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,6,-2.1,-2.273844718933105,-2.173450231552124,0.1738447189331049,random,1,1,LiCr2O4
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_1,6,-2.1,-2.242751359939575,-2.1884896755218506,0.1427513599395751,random,0,0,LiCr2O4
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_0,6,-2.1,-0.9256718158721924,-0.9966152906417848,1.1743281841278077,random,0,0,Li(NiO2)2
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_2,6,-2.1,-2.232899904251098,-2.179424524307251,0.1328999042510981,random,1,1,LiCr2O4
job_207_Cr_fe_-0.848_n4_generated_crystals_cif__gen_2,6,-2.1,-2.1814615726470947,-2.1844170093536377,0.0814615726470946,random,0,0,LiCr2O4
job_045_Al_fe_-1.313_n4_generated_crystals_cif__gen_0,6,-2.1,-3.2175779342651367,-3.163241386413574,1.1175779342651366,random,0,0,LiAl2O4
job_097_Ti_fe_-1.239_n4_generated_crystals_cif__gen_3,6,-2.1,-3.140514850616455,-3.2389488220214844,1.040514850616455,random,0,0,LiTi2O4
job_067_Mg_fe_-0.974_n4_generated_crystals_cif__gen_1,6,-2.1,-2.1480014324188232,-2.1713287830352783,0.0480014324188231,random,1,1,LiMg2O4
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_3,6,-2.1,-1.9907886981964111,-2.0285513401031494,0.1092113018035889,random,1,1,LiMn2O4
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_1,7,-2.1,-2.17384672164917,-2.211752653121948,0.0738467216491698,random,0,0,LiCr2O4
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_3,7,-2.1,-2.0450148582458496,-2.0083227157592773,0.0549851417541504,random,0,0,LiMn2O4
job_135_Co_fe_-0.851_n4_generated_crystals_cif__gen_2,7,-2.1,-1.4701577425003052,-1.4554414749145508,0.6298422574996949,random,0,0,Li(CoO2)2
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_1,7,-2.1,-2.197472333908081,-2.1796183586120605,0.0974723339080809,random,1,1,LiCr2O4
job_241_Co_fe_-1.145_n4_generated_crystals_cif__gen_3,7,-2.1,-1.6509733200073242,-1.3365981578826904,0.4490266799926758,random,0,0,Li(CoO2)2
job_233_Mn_fe_-1.136_n4_generated_crystals_cif__gen_1,7,-2.1,-2.056257724761963,-1.907696962356568,0.0437422752380372,random,0,0,LiMn2O4
job_051_Co_fe_-1.402_n4_generated_crystals_cif__gen_2,7,-2.1,-1.466546654701233,-1.476088285446167,0.6334533452987672,random,0,0,Li(CoO2)2
job_089_Ni_fe_-1.410_n4_generated_crystals_cif__gen_0,7,-2.1,-1.0859653949737549,-1.0637495517730713,1.0140346050262452,random,0,0,Li(NiO2)2
job_166_Ni_fe_-0.847_n4_generated_crystals_cif__gen_0,7,-2.1,-1.0080915689468384,-0.9668550491333008,1.0919084310531617,random,0,0,Li(NiO2)2
job_032_Co_fe_-1.386_n4_generated_crystals_cif__gen_3,7,-2.1,-1.462027668952942,-1.5119526386260986,0.6379723310470582,random,0,0,Li(CoO2)2
job_236_Ti_fe_-1.031_n4_generated_crystals_cif__gen_1,7,-2.1,-3.206127882003784,-3.218061923980713,1.106127882003784,random,0,0,LiTi2O4
job_217_Ni_fe_-1.483_n4_generated_crystals_cif__gen_0,7,-2.1,-1.0393635034561155,-1.0718756914138794,1.0606364965438846,random,0,0,Li(NiO2)2
job_049_Al_fe_-1.223_n4_generated_crystals_cif__gen_1,7,-2.1,-3.1690969467163086,-3.1590735912323,1.0690969467163085,random,0,0,LiAl2O4
job_115_Al_fe_-1.173_n4_generated_crystals_cif__gen_0,7,-2.1,-3.1133413314819336,-3.1091599464416504,1.0133413314819335,random,0,0,LiAl2O4
job_212_Cr_fe_-1.473_n4_generated_crystals_cif__gen_3,7,-2.1,-2.176477432250977,-2.209064722061157,0.0764774322509769,random,0,0,LiCr2O4
job_124_Ni_fe_-0.888_n4_generated_crystals_cif__gen_0,7,-2.1,-1.0331635475158691,-1.028308391571045,1.066836452484131,random,0,0,Li(NiO2)2
job_026_Ti_fe_-1.451_n4_generated_crystals_cif__gen_0,8,-2.1,-3.192143440246582,-3.215111494064331,1.092143440246582,random,0,0,LiTi2O4
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_3,8,-2.1,-2.206874132156372,-2.181931734085083,0.1068741321563719,random,0,0,LiCr2O4
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_3,8,-2.1,-1.994527697563172,-2.0107548236846924,0.1054723024368284,random,0,0,LiMn2O4
job_193_Co_fe_-1.092_n4_generated_crystals_cif__gen_1,8,-2.1,-1.4048831462860107,-1.4423552751541138,0.6951168537139893,random,0,0,Li(CoO2)2
job_054_Al_fe_-0.872_n4_generated_crystals_cif__gen_2,8,-2.1,-3.120717763900757,-3.1348016262054443,1.0207177639007567,random,0,0,LiAl2O4
job_247_Ni_fe_-1.069_n4_generated_crystals_cif__gen_1,8,-2.1,-1.050150990486145,-1.0687259435653689,1.049849009513855,random,0,0,Li(NiO2)2
job_035_Ti_fe_-1.046_n4_generated_crystals_cif__gen_2,8,-2.1,-3.1821813583374023,-3.215780019760132,1.0821813583374025,random,0,0,LiTi2O4
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_0,8,-2.1,-2.1589195728302,-2.2057487964630127,0.0589195728302001,random,0,0,LiCr2O4
job_104_Ni_fe_-1.453_n4_generated_crystals_cif__gen_0,8,-2.1,-1.0458111763000488,-1.0721954107284546,1.0541888236999513,random,0,0,Li(NiO2)2
job_216_Cr_fe_-0.890_n4_generated_crystals_cif__gen_0,8,-2.1,-2.1621768474578857,-2.2009010314941406,0.0621768474578856,random,0,0,LiCr2O4
job_234_Cr_fe_-1.123_n4_generated_crystals_cif__gen_3,8,-2.1,-2.0954012870788574,-2.139469623565674,0.0045987129211426,random,1,1,LiCr2O4
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_1,8,-2.1,-2.169400691986084,-2.244051933288574,0.0694006919860839,random,0,0,LiCr2O4
job_219_Co_fe_-0.895_n4_generated_crystals_cif__gen_0,8,-2.1,-1.4327452182769775,-1.35151207447052,0.6672547817230225,random,0,0,Li(CoO2)2
job_050_Ti_fe_-1.179_n4_generated_crystals_cif__gen_1,8,-2.1,-3.171230792999268,-3.1777703762054443,1.071230792999268,random,0,0,LiTi2O4
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_2,8,-2.1,-2.1777336597442627,-2.2128608226776123,0.0777336597442626,random,0,0,LiCr2O4
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_1,8,-2.1,-2.074676513671875,-2.1088345050811768,0.025323486328125,random,1,1,LiCr2O4
job_132_Ni_fe_-0.895_n4_generated_crystals_cif__gen_1,9,-2.1,-1.0660964250564575,-1.0019932985305786,1.0339035749435426,random,0,0,Li(NiO2)2
job_194_Ni_fe_-1.199_n4_generated_crystals_cif__gen_0,9,-2.1,-1.028899312019348,-1.0337648391723633,1.0711006879806522,random,0,0,Li(NiO2)2
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_2,9,-2.1,-1.931868553161621,-1.9489537477493288,0.168131446838379,random,0,0,LiMn2O4
job_195_Mn_fe_-1.284_n4_generated_crystals_cif__gen_1,9,-2.1,-2.0162994861602783,-2.023439645767212,0.0837005138397217,random,1,1,LiMn2O4
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,9,-2.1,-1.9891998767852783,-2.0427322387695312,0.1108001232147217,random,1,1,LiMn2O4
job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_0,9,-2.1,-2.0204501152038574,-2.01950740814209,0.0795498847961426,random,0,0,LiMn2O4
job_238_Ti_fe_-0.855_n4_generated_crystals_cif__gen_0,9,-2.1,-3.183274030685425,-3.238698720932007,1.0832740306854247,random,0,0,LiTi2O4
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_0,9,-2.1,-2.010230541229248,-2.004470109939575,0.089769458770752,random,0,0,LiMn2O4
job_216_Cr_fe_-0.890_n4_generated_crystals_cif__gen_2,9,-2.1,-2.169267177581787,-2.163748025894165,0.069267177581787,random,1,1,LiCr2O4
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_2,9,-2.1,-2.178995132446289,-2.175285577774048,0.0789951324462889,random,1,1,LiCr2O4
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_3,9,-2.1,-1.9687740802764893,-1.9542670249938965,0.1312259197235108,random,0,0,LiMn2O4
job_241_Co_fe_-1.145_n4_generated_crystals_cif__gen_0,9,-2.1,-1.4964823722839355,-1.3064260482788086,0.6035176277160645,random,0,0,Li(CoO2)2
job_038_Ni_fe_-1.176_n4_generated_crystals_cif__gen_2,9,-2.1,-1.0270304679870603,-0.8666164875030518,1.0729695320129398,random,0,0,Li(NiO2)2
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_1,9,-2.1,-1.996055245399475,-1.9281095266342163,0.1039447546005249,random,0,0,LiMn2O4
job_031_Al_fe_-1.055_n4_generated_crystals_cif__gen_1,9,-2.1,-3.11261248588562,-3.118929386138916,1.01261248588562,random,0,0,LiAl2O4
job_070_Ni_fe_-1.182_n4_generated_crystals_cif__gen_2,9,-2.1,-1.0221501588821411,-1.0612940788269043,1.077849841117859,random,0,0,Li(NiO2)2
job_077_Ni_fe_-1.238_n4_generated_crystals_cif__gen_0,10,-2.1,-0.9955976009368896,-0.9772711992263794,1.1044023990631104,random,0,0,Li(NiO2)2
job_186_Ti_fe_-0.814_n4_generated_crystals_cif__gen_1,10,-2.1,-3.1935293674468994,-3.222185611724853,1.093529367446899,random,0,0,LiTi2O4
