method,seed,autc_320,autc_640,targets_at_80,hidden_score_at_80,hidden_hard_at_80,targets_at_160,hidden_score_at_160,hidden_hard_at_160,targets_at_240,hidden_score_at_240,hidden_hard_at_240,targets_at_320,hidden_score_at_320,hidden_hard_at_320
Energy-Gated DA-TPP,15,0.6134615384615385,0.8067307692307693,31,18.749702540952338,22,54,32.542252823246685,36,71,41.43599554930528,47,78,46.512280012430566,53
Energy-Gated DA-TPP,16,0.5916666666666667,0.7958333333333333,26,15.342066773951688,15,54,32.94558394173572,38,70,41.21361648207194,47,78,46.51228001243058,53
Energy-Gated DA-TPP,17,0.6185897435897436,0.8092948717948718,33,18.691603000027772,21,57,33.643480790205075,38,70,41.21361648207194,47,78,46.51228001243058,53
Energy-Gated DA-TPP,18,0.5852564102564103,0.7926282051282051,27,16.08020100337907,19,54,32.440478743790784,37,69,40.95838151715029,47,78,46.51228001243058,53
Energy-Gated DA-TPP,19,0.5506410256410257,0.7753205128205128,25,13.486906643277582,15,48,28.929057519901903,34,67,40.77158401920005,47,78,46.51228001243058,53
Energy-Gated DA-TPP,20,0.5814102564102565,0.7907051282051282,28,17.98410422656855,22,51,31.179819946340036,37,71,42.63551820524001,49,78,46.51228001243058,53
Energy-Gated DA-TPP,21,0.5897435897435898,0.7948717948717948,29,17.9634869895387,23,54,32.78752086805068,39,71,41.435995549305304,47,78,46.51228001243059,53
Energy-Gated DA-TPP,22,0.566025641025641,0.7830128205128205,24,14.973487088263846,18,48,29.275780319299233,35,70,41.213616482071934,47,78,46.51228001243057,53
Energy-Gated DA-TPP,23,0.6038461538461538,0.801923076923077,28,15.703625628774873,17,54,31.847403262047482,37,71,42.05000253652573,48,78,46.51228001243057,53
Energy-Gated DA-TPP,24,0.5961538461538461,0.7980769230769231,33,18.534185465081606,21,50,28.961084924423798,33,67,40.0569347628681,46,78,46.51228001243058,53
Predicted-Target Greedy,15,0.5916666666666667,0.7958333333333333,26,15.55307145039257,19,52,31.595211756903513,36,69,40.9583815171503,47,78,46.51228001243059,53
Predicted-Target Greedy,16,0.5717948717948718,0.7858974358974359,24,14.441410264173943,15,53,33.03020220750294,38,68,40.717829055587394,47,78,46.51228001243059,53
Predicted-Target Greedy,17,0.5814102564102565,0.7907051282051282,27,17.212917191929684,21,49,31.274274781020484,38,69,40.958381517150286,47,78,46.51228001243057,53
Predicted-Target Greedy,18,0.532051282051282,0.7660256410256411,21,13.549638988685196,16,43,26.520372211515042,31,69,40.95838151715029,47,78,46.51228001243058,53
Predicted-Target Greedy,19,0.5506410256410257,0.7753205128205128,25,14.702002282680825,18,47,29.438450983058143,35,69,40.958381517150286,47,78,46.51228001243057,53
Predicted-Target Greedy,20,0.5852564102564103,0.7926282051282051,27,17.035437243790454,21,51,31.738039573989546,38,69,40.95838151715029,47,78,46.51228001243058,53
Predicted-Target Greedy,21,0.5935897435897436,0.7967948717948717,31,19.59825866380152,26,53,32.88780816042897,39,69,40.9583815171503,47,78,46.51228001243059,53
Predicted-Target Greedy,22,0.5775641025641025,0.7887820512820513,29,19.927791362378347,24,51,31.998803245931438,38,69,40.95838151715029,47,78,46.51228001243058,53
Predicted-Target Greedy,23,0.5378205128205128,0.7689102564102565,22,12.060668423841369,13,43,25.46778098161642,29,68,40.337571836155135,46,78,46.51228001243058,53
Predicted-Target Greedy,24,0.5717948717948718,0.7858974358974359,26,15.441942249885129,18,45,26.847581203730726,30,69,40.95838151715031,47,78,46.512280012430594,53
Always-DA-TPP,15,0.6147435897435898,0.8073717948717949,31,18.749702540952338,22,54,32.542252823246685,36,72,42.224553359626846,48,78,46.512280012430566,53
Always-DA-TPP,16,0.5743589743589743,0.7871794871794872,23,14.564276623653704,16,53,31.919432476176972,36,69,41.052483349564056,47,78,46.51228001243058,53
Always-DA-TPP,17,0.6230769230769231,0.8115384615384615,33,18.691603000027772,21,57,34.08853094726494,39,69,41.05778378601669,47,78,46.51228001243058,53
Always-DA-TPP,18,0.5532051282051282,0.7766025641025641,21,13.557022583324525,16,49,30.04292691569905,34,66,39.519575271252556,45,78,46.51228001243057,53
Always-DA-TPP,19,0.551923076923077,0.7759615384615385,25,13.486906643277582,15,48,28.929057519901903,34,69,42.838457531483556,50,78,46.51228001243058,53
Always-DA-TPP,20,0.5782051282051283,0.7891025641025641,28,17.98410422656855,22,51,31.179819946340036,37,69,41.11902972074216,47,78,46.51228001243058,53
Always-DA-TPP,21,0.5897435897435898,0.7948717948717948,29,17.9634869895387,23,54,32.78752086805068,39,71,41.435995549305304,47,78,46.51228001243059,53
Always-DA-TPP,22,0.5628205128205128,0.7814102564102564,24,14.973487088263846,18,48,29.275780319299233,35,69,40.958381517150286,47,78,46.51228001243057,53
Always-DA-TPP,23,0.6038461538461538,0.801923076923077,28,15.703625628774873,17,54,31.847403262047482,37,71,42.05000253652573,48,78,46.51228001243057,53
Always-DA-TPP,24,0.6012820512820513,0.8006410256410257,33,18.534185465081606,21,51,29.652004326289077,34,68,40.86379475582051,47,78,46.51228001243057,53
Group-only Gate,15,0.6134615384615385,0.8067307692307693,31,18.749702540952338,22,54,32.542252823246685,36,71,41.43599554930528,47,78,46.512280012430566,53
Group-only Gate,16,0.5916666666666667,0.7958333333333333,26,15.342066773951688,15,54,32.94558394173572,38,70,41.21361648207194,47,78,46.51228001243058,53
Group-only Gate,17,0.6185897435897436,0.8092948717948718,33,18.691603000027772,21,57,33.643480790205075,38,70,41.21361648207194,47,78,46.51228001243058,53
Group-only Gate,18,0.5852564102564103,0.7926282051282051,27,16.08020100337907,19,54,32.440478743790784,37,69,40.95838151715029,47,78,46.51228001243058,53
Group-only Gate,19,0.5506410256410257,0.7753205128205128,25,13.486906643277582,15,48,28.929057519901903,34,67,40.77158401920005,47,78,46.51228001243058,53
Group-only Gate,20,0.5814102564102565,0.7907051282051282,28,17.98410422656855,22,51,31.179819946340036,37,71,42.63551820524001,49,78,46.51228001243058,53
Group-only Gate,21,0.5897435897435898,0.7948717948717948,29,17.9634869895387,23,54,32.78752086805068,39,71,41.435995549305304,47,78,46.51228001243059,53
