method,metric,mean,sd,minimum,maximum,n
Energy-Gated DA-TPP,autc_320,0.589679487179487,0.020600440537514936,0.5506410256410257,0.6185897435897436,10
Energy-Gated DA-TPP,autc_640,0.7948397435897436,0.010300220268757477,0.7753205128205128,0.8092948717948718,10
Energy-Gated DA-TPP,targets_at_80,28.4,3.1340424729448424,24.0,33.0,10
Energy-Gated DA-TPP,targets_at_160,52.4,2.988868236194653,48.0,57.0,10
Energy-Gated DA-TPP,targets_at_240,69.7,1.567021236472421,67.0,71.0,10
Energy-Gated DA-TPP,targets_at_320,78.0,0.0,78.0,78.0,10
Energy-Gated DA-TPP,hidden_score_at_80,16.750936935981603,1.8641974067807756,13.486906643277582,18.749702540952338,10
Energy-Gated DA-TPP,hidden_score_at_160,31.455246313904137,1.7801026058243963,28.929057519901903,33.643480790205075,10
Energy-Gated DA-TPP,hidden_score_at_240,41.298526158581055,0.6949504134958854,40.0569347628681,42.63551820524001,10
Energy-Gated DA-TPP,hidden_score_at_320,46.51228001243057,7.855345506762983e-15,46.512280012430566,46.51228001243059,10
Energy-Gated DA-TPP,hidden_hard_at_80,19.3,2.94580681270476,15.0,23.0,10
Energy-Gated DA-TPP,hidden_hard_at_160,36.4,1.8973665961010278,33.0,39.0,10
Energy-Gated DA-TPP,hidden_hard_at_240,47.2,0.7888106377466155,46.0,49.0,10
Energy-Gated DA-TPP,hidden_hard_at_320,53.0,0.0,53.0,53.0,10
Predicted-Target Greedy,autc_320,0.5693589743589744,0.021855120346010296,0.532051282051282,0.5935897435897436,10
Predicted-Target Greedy,autc_640,0.7846794871794872,0.010927560173005108,0.7660256410256411,0.7967948717948717,10
Predicted-Target Greedy,targets_at_80,25.8,3.0110906108363245,21.0,31.0,10
Predicted-Target Greedy,targets_at_160,48.7,3.945461527713414,43.0,53.0,10
Predicted-Target Greedy,targets_at_240,68.8,0.4216370213557839,68.0,69.0,10
Predicted-Target Greedy,targets_at_320,78.0,0.0,78.0,78.0,10
Predicted-Target Greedy,hidden_score_at_80,15.952313812155904,2.517568161839921,12.060668423841369,19.927791362378347,10
Predicted-Target Greedy,hidden_score_at_160,30.07985251056972,2.8194595668408877,25.46778098161642,33.03020220750294,10
Predicted-Target Greedy,hidden_score_at_240,40.872245302894484,0.2025053285219544,40.337571836155135,40.95838151715031,10
Predicted-Target Greedy,hidden_score_at_320,46.51228001243058,7.105427357601002e-15,46.51228001243057,46.512280012430594,10
Predicted-Target Greedy,hidden_hard_at_80,19.1,4.012480529547776,13.0,26.0,10
Predicted-Target Greedy,hidden_hard_at_160,35.2,3.794733192202055,29.0,39.0,10
Predicted-Target Greedy,hidden_hard_at_240,46.9,0.31622776601683794,46.0,47.0,10
Predicted-Target Greedy,hidden_hard_at_320,53.0,0.0,53.0,53.0,10
Always-DA-TPP,autc_320,0.5853205128205128,0.025238018814644752,0.551923076923077,0.6230769230769231,10
Always-DA-TPP,autc_640,0.7926602564102565,0.012619009407322385,0.7759615384615385,0.8115384615384615,10
Always-DA-TPP,targets_at_80,27.5,4.169998667732268,21.0,33.0,10
Always-DA-TPP,targets_at_160,51.9,2.9981475762358483,48.0,57.0,10
Always-DA-TPP,targets_at_240,69.3,1.70293863659264,66.0,72.0,10
Always-DA-TPP,targets_at_320,78.0,0.0,78.0,78.0,10
Always-DA-TPP,hidden_score_at_80,16.420840078946352,2.179072656523219,13.486906643277582,18.749702540952338,10
Always-DA-TPP,hidden_score_at_160,31.22647294043161,1.7058884676767152,28.929057519901903,34.08853094726494,10
Always-DA-TPP,hidden_score_at_240,41.31200573774876,0.9086486641623654,39.519575271252556,42.838457531483556,10
Always-DA-TPP,hidden_score_at_320,46.51228001243057,7.105427357601002e-15,46.512280012430566,46.51228001243059,10
Always-DA-TPP,hidden_hard_at_80,19.1,2.998147576235848,15.0,23.0,10
Always-DA-TPP,hidden_hard_at_160,36.1,1.911950719959998,34.0,39.0,10
Always-DA-TPP,hidden_hard_at_240,47.3,1.2516655570345725,45.0,50.0,10
