checkpoint,metric,n_pairs,mean_Gate_minus_Greedy,sample_sd,minimum,maximum,Gate_better_pairs,ties,Greedy_better_pairs
80,target_hits,10,7.0,0.0,7.0,7.0,10,0,0
80,expected_DFT_evaluable_target_hits,10,5.639507690739812,0.0,5.639507690739812,5.639507690739812,10,0,0
80,ML_labeled_DFT_evaluable_target_hits,10,8.0,0.0,8.0,8.0,10,0,0
80,mean_hidden_DFT_evaluable_probability_among_targets,10,0.06122248267703945,0.0,0.06122248267703945,0.06122248267703945,10,0,0
80,ML_labeled_DFT_evaluable_rate_among_targets,10,0.13765182186234828,2.925694557147251e-17,0.13765182186234826,0.13765182186234826,10,0,0
160,target_hits,10,0.0,0.0,0.0,0.0,0,10,0
160,expected_DFT_evaluable_target_hits,10,2.275114102449706,0.0,2.275114102449706,2.275114102449706,10,0,0
160,ML_labeled_DFT_evaluable_target_hits,10,6.0,0.0,6.0,6.0,10,0,0
160,mean_hidden_DFT_evaluable_probability_among_targets,10,0.04213174263795749,0.0,0.04213174263795749,0.04213174263795749,10,0,0
160,ML_labeled_DFT_evaluable_rate_among_targets,10,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,10,0,0
240,target_hits,10,-2.0,0.0,-2.0,-2.0,0,0,10
240,expected_DFT_evaluable_target_hits,10,-1.027604047702802,0.0,-1.027604047702802,-1.027604047702802,0,0,10
240,ML_labeled_DFT_evaluable_target_hits,10,-1.0,0.0,-1.0,-1.0,0,0,10
240,mean_hidden_DFT_evaluable_probability_among_targets,10,0.002382021142722679,0.0,0.002382021142722679,0.002382021142722679,10,0,0
240,ML_labeled_DFT_evaluable_rate_among_targets,10,0.005407743889249361,0.0,0.005407743889249361,0.005407743889249361,10,0,0
320,target_hits,10,0.0,0.0,0.0,0.0,0,10,0
320,expected_DFT_evaluable_target_hits,10,0.0,0.0,0.0,0.0,0,10,0
320,ML_labeled_DFT_evaluable_target_hits,10,0.0,0.0,0.0,0.0,0,10,0
320,mean_hidden_DFT_evaluable_probability_among_targets,10,0.0,0.0,0.0,0.0,0,10,0
320,ML_labeled_DFT_evaluable_rate_among_targets,10,0.0,0.0,0.0,0.0,0,10,0
