candidate_id,formula,m_element,pilot_or_new,dft_evaluable,label_reason,dft_status,relaxation_output_available,static_output_available,formation_energy_reproducible,dft_formation_energy_eV_atom,dft_functional,source_manifest_path,source_energy_path
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,LiMn2O4,Mn,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-1.843833140000001,GGA+U,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,LiMg2O4,Mg,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-1.5107492264285711,PBE,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,LiCr2O4,Cr,pilot,0,formation_energy_not_reproducible,static_finished,False,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,LiMn2O4,Mn,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-1.8710594871428567,GGA+U,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,LiCr2O4,Cr,pilot,0,formation_energy_not_reproducible,static_finished,False,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,LiCr2O4,Cr,pilot,0,formation_energy_not_reproducible,static_finished,False,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,LiCr2O4,Cr,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-2.275868795714286,GGA+U,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,LiMn2O4,Mn,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-1.845115954285715,GGA+U,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,LiCr2O4,Cr,pilot,0,formation_energy_not_reproducible,static_finished,False,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,LiMg2O4,Mg,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-1.5460703649999996,PBE,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,LiCr2O4,Cr,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-2.25603279,GGA+U,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,LiCr2O4,Cr,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-2.298536451428572,GGA+U,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,LiMn2O4,Mn,pilot,0,formation_energy_not_reproducible,static_finished,False,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,LiMn2O4,Mn,new,0,VASP return/electronic convergence failure,failed,True,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,LiMn2O4,Mn,new,0,VASP return/electronic convergence failure,failed,True,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,LiCr2O4,Cr,pilot,0,static_electronic_nonconvergence,failed_static_electronic_nonconvergence,False,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2,LiCr2O4,Cr,pilot,0,formation_energy_not_reproducible,static_finished,False,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3,LiCr2O4,Cr,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-2.2835756557142863,GGA+U,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0,LiCr2O4,Cr,new,1,strict_DFT_chain_and_formation_energy_verified,static_finished,True,True,True,-2.248855041428572,GGA+U,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_1,LiCr2O4,Cr,pilot,0,formation_energy_not_reproducible,static_finished,False,True,False,,,PROJECT_ARCHIVE\dft\audit\dft_candidate_manifest.csv,PROJECT_ARCHIVE\results\post_submission_analysis\egdatpp_psfix_v1_20260719T031102Z\dft\recomputed_formation_energies.csv
