candidate_id,split,model_name,model_package_version,checkpoint_sha256,device,status,error_type,error_message,converged,steps,initial_energy_eV_atom,final_energy_eV_atom,max_force_eV_A,stress_GPa,initial_volume_A3,final_volume_A3,volume_change_fraction,min_interatomic_distance_A,rms_displacement_A,final_space_group_number,final_space_group_symbol,collapsed,relaxed_structure_cluster,merged_candidate_count,model_disagreement_eV_atom,wall_time_seconds,result_sha256
job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_0,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,3,-8.513163430350167,-8.513472420828682,0.0519372490642715,0.9937365953862485,78.50202046975818,78.56313475576361,0.0007785058988256655,1.86467740955932,0.004744475835986031,160,R3m,False,CHGNET_0001,1,0.41721315266504533,0.6174458712339401,325335ee4903c505fee39c17e6f6d3989121c5101ed6ab123f8fa95b0d25c9e4
job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_0,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,4,-8.09559316448127,-8.096259268163637,0.08829801964329508,0.8804739088896091,78.50202046975818,78.61741762917764,0.0014699896732455198,1.88293911164832,0.009558121484997809,160,R3m,False,MACEMP_0001,1,0.41721315266504533,2.4881562516093254,73096a411dcb469f7e0dfd6a9d176a238d7f660a0a56b498c3eac95b3ebd2b29
job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_3,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,6,-8.543393816266741,-8.54446792602539,0.048182106368399875,1.4586088279487013,71.16546053970528,71.48376388369024,0.004472722323034528,1.9236066408803587,0.014635782421226325,44,Imm2,False,CHGNET_0002,41,0.38783691876192883,0.342439291998744,92bf3fd0a8ff95a0d1e5f9d9d7a71c27ce06cfc48ac56dd4529d9e217a7f8ad2
job_000_Ti_fe_-1.422_n4_generated_crystals_cif__gen_3,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,11,-8.152609054190684,-8.156631007263462,0.06609307391563864,1.3640043317763895,71.16546053970528,72.40722391984814,0.017448961486731918,1.9430526729245663,0.04138893244576043,44,Imm2,False,MACEMP_0002,41,0.38783691876192883,0.7202079072594643,9a961b5572795f5baac14886af89c1b4c17846b1b9325c207b5fbb14c6edbe0e
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_0,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,3,-8.54354967389788,-8.545008523123604,0.06270505097303974,0.9661522383082876,75.88912382025059,75.70543399408362,-0.0024205026612516,1.9446041058993015,0.01053445493736285,12,C2/m,False,CHGNET_0003,9,0.4002124518829753,0.312513867393136,babf63f60fdcd722212e5de1ca729dcad1b720c8c3e4c4b765324b2adad8d971
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_0,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,3,-8.143475425986878,-8.144796071240629,0.050547075680314184,0.9513147638939716,75.88912382025059,75.65889818156295,-0.003033710591163863,1.9485995683672634,0.009930173333474294,12,C2/m,False,MACEMP_0003,9,0.4002124518829753,0.24524479173123837,77ed4f3816960a09b2341c86bbf866d8a784f35fa109c98231db0c1132c6436b
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_1,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,3,-8.543408530099052,-8.544675554547991,0.06467447270323134,0.7941510946781024,75.84146624988396,75.67959806252121,-0.0021342966501917138,1.9501724426843714,0.00977143638827637,12,C2/m,False,CHGNET_0003,9,0.4001270846552547,0.31291812285780907,68a47dc98258e2e73fd852a13029e48770eb201d2887a87af3d3c1c9ef8df145
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_1,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,3,-8.143408110830407,-8.144548469892737,0.04825530567769567,0.897355890515521,75.84146624988396,75.63047118482967,-0.002782054138551371,1.9543039078253976,0.009252154505818138,12,C2/m,False,MACEMP_0003,9,0.4001270846552547,0.25001201778650284,515a001ed6e8c48191bf141533750c2129e72c536c991c0fde1ed632b25727c6
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_2,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,5,-8.536328996930804,-8.538710457938057,0.06040013369595003,0.5317096188869114,70.70998672026707,70.36289920593738,-0.0049086066965728925,2.003824254861502,0.022055811993407812,119,I-4m2,False,CHGNET_0002,41,0.38434413954380275,0.4803202599287033,65c0b13dab0fdb7dbe49f0f7d268ca3db53d7268abc4579f773d6fd4318f5735
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_2,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,5,-8.152004687452939,-8.154366318394255,0.051396972566566654,0.6917019457101348,70.70998672026707,70.22277445049231,-0.0068902893689147815,2.0027849817357573,0.021651083290752944,119,I-4m2,False,MACEMP_0002,41,0.38434413954380275,0.3752151485532522,5c5e65e39de3ac4e412a4010b21b956a2ad8f63928634e81b88af9b34d54a18e
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_3,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,4,-8.485491616385323,-8.48724855695452,0.06060537948525776,0.9930290210545036,68.68392194180637,68.9317495944445,0.003608233857817611,1.883548442860906,0.014243214452978215,10,P2/m,False,CHGNET_0004,1,0.40471326923818296,0.39500761590898037,cf5abacfe7e6b32d6e5b8db2ee71fc7c56d40084a5c2ad0cbd485313c8354130
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_3,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,14,-8.079921691291931,-8.082535287716338,0.0190588548755309,1.502666214237757,68.68392194180637,68.81539880975,0.0019142306412702759,1.8850197450353754,0.020632609907256617,10,P2/m,False,MACEMP_0004,1,0.40471326923818296,0.9423866346478462,1f987feb6cb8ec7c827431cc643142069b041f36099d72aa4b3e9436feff6e98
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_0,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,12,-5.888599940708706,-5.893804822649274,0.07240399324349073,0.9202403332663384,69.19520815438318,67.39497196995113,-0.026016775329521402,1.8792874115224705,0.04057411948866457,12,C2/m,False,CHGNET_0005,14,1.105702610819467,0.9822325557470322,1eaad534539e9f6fd372a2e442ca909cf18638c8949383bfb9f27cc8304da6ea
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_0,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,21,-4.779457078423048,-4.788102211829807,0.03654143982666981,1.5542040606535723,69.19520815438318,67.70465093164707,-0.0215413359175175,1.8825103582493152,0.0381709166891718,12,C2/m,False,MACEMP_0005,14,1.105702610819467,1.3166685365140438,deb2b43ef9fa08ddf55ca2901b042e2b802370183f4d0633165a9a49a736b2e8
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_3,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,2,-5.913337162562779,-5.913517543247768,0.07627697148940772,0.899748356903125,68.96254112840101,68.91496388997102,-0.0006898997289181974,1.8785125468717268,0.002306277089316876,10,P2/m,False,CHGNET_0006,22,1.1150511918565673,0.22613310813903809,e22783ceb23c77337118f10cf3361dfd891b6bafdf8ef76f60a4a5f98484bc6f
