dataset,method,seed,budget,batch_size,total_target_count,recovery_at_80,recovery_at_160,recovery_at_240,recovery_at_320,final_recovery,AUTC,direct_rounds,correction_rounds,direct_route_proportion,mean_unique_groups_per_batch,mean_group_repetition_rate,total_correction_replacements,total_correction_target_gain,source_sha256,telemetry_scope,runtime_seconds,sample_count,mean_gpu_utilization_percent,max_gpu_utilization_percent,mean_memory_used_mib,max_memory_used_mib,mean_power_draw_w,max_power_draw_w
mnoxide,energy_gated_da_tpp,5,320,16,111,26,50,81,103,103,0.45,19,1,0.95,15.9,0.00625,0,0,4307e92b7f6501b1e5413e3a70d398f5acfbce4878c910bf2131c918951028f9,,,,,,,,,
mnoxide,energy_gated_da_tpp,6,320,16,111,26,50,81,103,103,0.4509009009009009,20,0,1.0,15.9,0.00625,0,0,1d05f277060139022b7a040edab122b915a1523d1b0ee26a908d9069f4f91677,,,,,,,,,
mnoxide,energy_gated_da_tpp,7,320,16,111,26,50,81,106,106,0.4545045045045045,20,0,1.0,15.9,0.00625,0,0,6bd3b9fa460421a19cd74457b100c8b2e364a85aa168602cb7d694c0bccba207,,,,,,,,,
mnoxide,energy_gated_da_tpp,8,320,16,111,26,50,81,102,102,0.4504504504504504,20,0,1.0,15.9,0.00625,0,0,da600ea73691ec72628353685b4656b54fde2df3a7c80e203d5987003a0b4aa8,,,,,,,,,
mnoxide,energy_gated_da_tpp,9,320,16,111,26,50,81,101,101,0.4509009009009009,20,0,1.0,15.9,0.00625,0,0,bab03029a17f3991ca29d2d92d6eae11753c4d982b87d9bffafdbadac44a46b0,,,,,,,,,
mnoxide,energy_gated_da_tpp,10,320,16,111,26,50,81,102,102,0.4504504504504504,20,0,1.0,15.9,0.00625,0,0,237b3ec633244d8870dac3de60001aa919c76cb94bee6b99a4cf1d8fafa3b8b2,device-level shared GPU; concurrent paired jobs may contribute,1693.7713465690613,330.0,1.496969696969697,52.0,1859.4818181818184,6292.0,51.99848484848485,94.36
mnoxide,energy_gated_da_tpp,11,320,16,111,26,50,81,99,99,0.45,20,0,1.0,15.9,0.00625,0,0,77b59307d1e29ff77a195fa1e1cfea522fe582fe32d9678922eb9eb5d8e403de,device-level shared GPU; concurrent paired jobs may contribute,1693.3674252033234,330.0,1.6454545454545455,34.0,1855.0030303030303,6292.0,52.10509090909091,99.71
mnoxide,energy_gated_da_tpp,12,320,16,111,26,50,81,100,100,0.45,20,0,1.0,15.9,0.00625,0,0,24c0d4179c9a848309b5bd59e666cfbe2b1c2ad82164efd6f5491b771bc6f03d,device-level shared GPU; concurrent paired jobs may contribute,1689.435738325119,330.0,1.6696969696969697,49.0,1850.3818181818183,6484.0,52.08954545454545,93.63
mnoxide,energy_gated_da_tpp,13,320,16,111,26,50,81,100,100,0.4513513513513513,20,0,1.0,15.9,0.00625,0,0,fb9de5fca06ce1566b7a11291afa1f17e13235a1e1b72ce93c99e48bb5b40d89,device-level shared GPU; concurrent paired jobs may contribute,1694.5372569561005,331.0,1.0,37.0,1903.930513595166,6606.0,50.7509667673716,98.82
mnoxide,energy_gated_da_tpp,14,320,16,111,26,50,81,101,101,0.45,20,0,1.0,15.9,0.00625,0,0,9b1cc3d6169e0d034120bb35c2d4ac904865736cb2fb19d260c1c1d349b9baa9,device-level shared GPU; concurrent paired jobs may contribute,1679.5958058834076,328.0,0.6128048780487805,34.0,1026.1463414634147,3276.0,50.162652439024384,66.19
