method,seed,query,cumulative_targets
Energy-Gated DA-TPP,5,16,8
Energy-Gated DA-TPP,5,32,15
Energy-Gated DA-TPP,5,48,17
Energy-Gated DA-TPP,5,64,19
Energy-Gated DA-TPP,5,80,26
Energy-Gated DA-TPP,5,96,30
Energy-Gated DA-TPP,5,112,36
Energy-Gated DA-TPP,5,128,40
Energy-Gated DA-TPP,5,144,46
Energy-Gated DA-TPP,5,160,50
Energy-Gated DA-TPP,5,176,56
Energy-Gated DA-TPP,5,192,62
Energy-Gated DA-TPP,5,208,69
Energy-Gated DA-TPP,5,224,73
Energy-Gated DA-TPP,5,240,81
Energy-Gated DA-TPP,5,256,88
Energy-Gated DA-TPP,5,272,91
Energy-Gated DA-TPP,5,288,94
Energy-Gated DA-TPP,5,304,98
Energy-Gated DA-TPP,5,320,103
Energy-Gated DA-TPP,6,16,8
Energy-Gated DA-TPP,6,32,15
Energy-Gated DA-TPP,6,48,17
Energy-Gated DA-TPP,6,64,19
Energy-Gated DA-TPP,6,80,26
Energy-Gated DA-TPP,6,96,30
Energy-Gated DA-TPP,6,112,36
Energy-Gated DA-TPP,6,128,40
Energy-Gated DA-TPP,6,144,46
Energy-Gated DA-TPP,6,160,50
Energy-Gated DA-TPP,6,176,56
Energy-Gated DA-TPP,6,192,62
Energy-Gated DA-TPP,6,208,69
Energy-Gated DA-TPP,6,224,73
Energy-Gated DA-TPP,6,240,81
Energy-Gated DA-TPP,6,256,88
Energy-Gated DA-TPP,6,272,91
Energy-Gated DA-TPP,6,288,95
Energy-Gated DA-TPP,6,304,99
Energy-Gated DA-TPP,6,320,103
Energy-Gated DA-TPP,7,16,8
Energy-Gated DA-TPP,7,32,15
Energy-Gated DA-TPP,7,48,17
Energy-Gated DA-TPP,7,64,19
Energy-Gated DA-TPP,7,80,26
Energy-Gated DA-TPP,7,96,30
Energy-Gated DA-TPP,7,112,36
Energy-Gated DA-TPP,7,128,40
Energy-Gated DA-TPP,7,144,46
Energy-Gated DA-TPP,7,160,50
Energy-Gated DA-TPP,7,176,56
Energy-Gated DA-TPP,7,192,62
Energy-Gated DA-TPP,7,208,69
Energy-Gated DA-TPP,7,224,73
Energy-Gated DA-TPP,7,240,81
Energy-Gated DA-TPP,7,256,88
Energy-Gated DA-TPP,7,272,91
Energy-Gated DA-TPP,7,288,99
Energy-Gated DA-TPP,7,304,103
Energy-Gated DA-TPP,7,320,106
