method,seed,checkpoint,query_prefix_sha256,target_set_sha256,target_hits
Energy-Gated DA-TPP,5,80,e41aea7c239d5b0d90c39b6ab744ddcedc5474cdb925b1ab9603d97c43003cc9,4b15958c76961c9626e03a543398aa2146423b44069365ce3a109795888df117,26
Energy-Gated DA-TPP,5,160,cbaa3e2a4d4e142f9c5147277ebb8d9f29d0a2f5c64263a5dabb3b5f8a2fc4e6,f63a9318031bf7213fca0e95ea920a7699274f95b5a93973e8b7f11ff315d1c4,54
Energy-Gated DA-TPP,5,240,83df1cab3e5dd5e6c94962f640e25319525ee79b9938921afb32f92236cfa1ef,05b86967dbcdc31c78ba1c1487179d3b80a9c683b99d291b176e3154c203e003,67
Energy-Gated DA-TPP,5,320,8c1b3685338473093d7f9c27605cd431004196c606558b928da0a67454f2d281,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Energy-Gated DA-TPP,6,80,e41aea7c239d5b0d90c39b6ab744ddcedc5474cdb925b1ab9603d97c43003cc9,4b15958c76961c9626e03a543398aa2146423b44069365ce3a109795888df117,26
Energy-Gated DA-TPP,6,160,cbaa3e2a4d4e142f9c5147277ebb8d9f29d0a2f5c64263a5dabb3b5f8a2fc4e6,f63a9318031bf7213fca0e95ea920a7699274f95b5a93973e8b7f11ff315d1c4,54
Energy-Gated DA-TPP,6,240,83df1cab3e5dd5e6c94962f640e25319525ee79b9938921afb32f92236cfa1ef,05b86967dbcdc31c78ba1c1487179d3b80a9c683b99d291b176e3154c203e003,67
Energy-Gated DA-TPP,6,320,dd991a9ae0c116e7c52227140db258194c2e62cdb11eb207e302e4f5f8e9ba74,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Energy-Gated DA-TPP,7,80,e41aea7c239d5b0d90c39b6ab744ddcedc5474cdb925b1ab9603d97c43003cc9,4b15958c76961c9626e03a543398aa2146423b44069365ce3a109795888df117,26
Energy-Gated DA-TPP,7,160,cbaa3e2a4d4e142f9c5147277ebb8d9f29d0a2f5c64263a5dabb3b5f8a2fc4e6,f63a9318031bf7213fca0e95ea920a7699274f95b5a93973e8b7f11ff315d1c4,54
Energy-Gated DA-TPP,7,240,83df1cab3e5dd5e6c94962f640e25319525ee79b9938921afb32f92236cfa1ef,05b86967dbcdc31c78ba1c1487179d3b80a9c683b99d291b176e3154c203e003,67
Energy-Gated DA-TPP,7,320,ef336154fdd19f253296bfba7571417e3b5de20074d83d480ed5ed540997b4a5,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Energy-Gated DA-TPP,8,80,e41aea7c239d5b0d90c39b6ab744ddcedc5474cdb925b1ab9603d97c43003cc9,4b15958c76961c9626e03a543398aa2146423b44069365ce3a109795888df117,26
