task,method,mean_autc,sd_autc,mean_final_recovery,mean_recovery_at_80,mean_recovery_rate_at_80,mean_queries_per_target_at_80,mean_target_cluster_at_80,mean_hidden_evaluable_at_80,mean_recovery_at_160,mean_recovery_rate_at_160,mean_queries_per_target_at_160,mean_target_cluster_at_160,mean_hidden_evaluable_at_160,mean_recovery_at_240,mean_recovery_rate_at_240,mean_queries_per_target_at_240,mean_target_cluster_at_240,mean_hidden_evaluable_at_240,mean_recovery_at_320,mean_recovery_rate_at_320,mean_queries_per_target_at_320,mean_target_cluster_at_320,mean_hidden_evaluable_at_320
mg,energy_gated_da_tpp,0.6922841726618705,0.045832679502482834,139.0,65.2,0.46906474820143884,1.2341226739058553,11.2,47.16248844855246,121.8,0.8762589928057553,1.321072631105651,20.6,83.64705598115742,129.6,0.9323741007194245,1.8662415583676992,22.0,88.82745930260111,139.0,1.0,2.302158273381295,24.0,95.31457732907737
mg,gradient_norm_hybrid,0.7188129496402877,0.0287096221611752,139.0,68.2,0.49064748201438846,1.1733615444880094,13.6,48.33968440218916,127.2,0.9151079136690647,1.268241825735538,20.8,87.69399679859772,133.8,0.9625899280575541,1.8026316359228356,22.8,91.8450542416385,139.0,1.0,2.302158273381295,24.0,95.31457732907737
mg,predicted_target_greedy,0.6716007194244604,0.010726800248404627,139.0,71.6,0.5151079136690647,1.118949947389845,12.6,50.91891081980729,111.6,0.8028776978417266,1.4341409078251184,18.6,76.30371762847143,116.2,0.8359712230215827,2.0751879699248117,19.6,79.39653319667921,139.0,1.0,2.302158273381295,24.0,95.31457732907737
mg,structural_group_gate,0.6875,0.02375522451450172,139.0,70.6,0.5079136690647482,1.1341880426279403,12.8,50.07361949899997,113.6,0.8172661870503596,1.4090310522067884,19.8,77.46173496146494,124.6,0.8964028776978417,1.941910120569967,21.0,85.41366773414703,139.0,1.0,2.302158273381295,24.0,95.31457732907737
mg,structural_group_gate_q95,0.672158273381295,0.01385761896334147,139.0,70.6,0.5079136690647482,1.1341880426279403,12.8,50.07361949899997,112.2,0.8071942446043165,1.4261328998171103,19.0,76.52304709592497,116.8,0.8402877697841726,2.0672268907563023,19.6,79.83270376594137,139.0,1.0,2.302158273381295,24.0,95.31457732907737
mn,energy_gated_da_tpp,0.7171626984126984,0.01580995658631849,126.0,59.6,0.473015873015873,1.344885031417109,14.2,30.1290248012343,115.0,0.9126984126984127,1.3940741871773727,22.2,57.221959921138,124.0,0.9841269841269842,1.93583762685402,27.0,60.18774085716471,126.0,1.0,2.5396825396825395,29.0,60.85872696774639
mn,gradient_norm_hybrid,0.7293849206349206,0.019661311877498634,126.0,63.0,0.5,1.2770419488026898,16.6,31.487960822104462,119.8,0.9507936507936507,1.3362757081300025,26.2,58.57843093684363,124.4,0.9873015873015873,1.9294426229508197,27.4,60.26800296651203,126.0,1.0,2.5396825396825395,29.0,60.858726967746385
mn,predicted_target_greedy,0.7406150793650793,0.01760424982761108,125.2,68.6,0.5444444444444445,1.171477172212016,14.0,34.15555996377603,119.0,0.9444444444444444,1.3457375280043702,23.0,58.36011859032525,122.4,0.9714285714285713,1.9608672659968271,25.4,59.64782375632751,125.2,0.9936507936507937,2.5563361956804576,28.2,60.60831089443671
mn,structural_group_gate,0.7445238095238096,0.013123278960696986,126.0,68.4,0.5428571428571429,1.1725368574231738,15.0,34.19308752445212,120.4,0.9555555555555555,1.3295223975511699,24.0,58.957344752053835,122.6,0.9730158730158729,1.957668545485032,25.6,59.689041001736754,126.0,1.0,2.5396825396825395,29.0,60.85872696774639
mn,structural_group_gate_q95,0.7430952380952381,0.014687499162391485,125.2,68.4,0.5428571428571429,1.1725368574231738,15.0,34.19308752445212,120.2,0.9539682539682539,1.331690125501312,24.0,58.91577240305169,122.2,0.9698412698412697,1.964014394242303,25.2,59.58576283336788,125.2,0.9936507936507937,2.5563361956804576,28.2,60.60831089443671
