task,method,seed,autc_delta,cumulative_correction_target_gain,recovery_at_80_delta,recovery_rate_at_80_delta,queries_per_target_at_80_delta,target_cluster_at_80_delta,hidden_expected_evaluable_at_80_delta,recovery_at_160_delta,recovery_rate_at_160_delta,queries_per_target_at_160_delta,target_cluster_at_160_delta,hidden_expected_evaluable_at_160_delta,recovery_at_240_delta,recovery_rate_at_240_delta,queries_per_target_at_240_delta,target_cluster_at_240_delta,hidden_expected_evaluable_at_240_delta,recovery_at_320_delta,recovery_rate_at_320_delta,queries_per_target_at_320_delta,target_cluster_at_320_delta,hidden_expected_evaluable_at_320_delta
mn,energy_gated_da_tpp,111,-0.01994047619047623,-20.0,-10.0,-0.07936507936507942,0.19651191353475794,-1.0,-4.296084034119687,0.0,0.0,0.0,1.0,0.2242498710001115,3.0,0.023809523809523836,-0.047213114754098395,3.0,0.82669545664249,0.0,0.0,0.0,0.0,0.0
mn,energy_gated_da_tpp,112,-0.012996031746031811,-18.0,-3.0,-0.02380952380952378,0.07017543859649122,1.0,-0.9615849523063105,-3.0,-0.023809523809523836,0.0386162510056316,1.0,-1.3015268574243564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mn,energy_gated_da_tpp,113,-0.015972222222222165,-15.0,-7.0,-0.05555555555555558,0.12323943661971826,0.0,-2.8408530573175206,0.0,0.0,0.0,0.0,0.5075748784123917,2.0,0.015873015873015928,-0.030721966205837337,2.0,1.0461945909010097,0.0,0.0,0.0,0.0,-7.105427357601002e-15
mn,energy_gated_da_tpp,114,-0.027281746031746046,-20.0,-11.0,-0.08730158730158727,0.20036429872495432,3.0,-5.437977920448503,-8.0,-0.06349206349206349,0.09861325115562414,-3.0,-1.7681481375959436,3.0,0.023809523809523836,-0.047213114754098395,3.0,0.8266954566424971,4.0,0.031746031746031744,-0.08326827998959141,4.0,1.2520803665483555
mn,energy_gated_da_tpp,115,-0.04107142857142854,-31.0,-14.0,-0.1111111111111111,0.27674820854954274,-2.0,-6.596175848516623,-9.0,-0.0714285714285714,0.10445379370375751,-3.0,-3.3529431003284316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mn,structural_group_gate,111,0.003373015873015861,3.0,0.0,0.0,0.0,1.0,0.5746097606165321,3.0,0.023809523809523836,-0.03306240528998505,2.0,1.0168791911623956,2.0,0.015873015873015817,-0.03172924378635633,2.0,0.5163908418443626,0.0,0.0,0.0,0.0,-7.105427357601002e-15
mn,structural_group_gate,112,0.01121031746031742,3.0,2.0,0.015873015873015872,-0.043010752688172005,3.0,1.1576238326878325,6.0,0.04761904761904756,-0.07139138841377246,4.0,2.0340411900797832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mn,structural_group_gate,113,0.0005952380952380931,3.0,0.0,0.0,0.0,1.0,0.2089464263441272,0.0,0.0,0.0,0.0,-7.105427357601002e-15,-1.0,-0.007936507936507908,0.015735641227379915,-1.0,-0.31030461479812743,0.0,0.0,0.0,0.0,-7.105427357601002e-15
mn,structural_group_gate,114,0.005456349206349187,0.0,-1.0,-0.007936507936507908,0.015649452269170583,2.0,-1.2011026299350078,-2.0,-0.015873015873015928,0.02337814143775585,-1.0,-0.06478957259923135,0.0,0.0,0.0,0.0,7.105427357601002e-15,4.0,0.031746031746031744,-0.08326827998959141,4.0,1.2520803665483555
mn,structural_group_gate,115,-0.0010912698412698374,0.0,-2.0,-0.015873015873015817,0.03265972647479076,-2.0,-0.552439586333044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
