stage,config_id,seed,M0,G0,alpha,beta,gamma,mc_passes,AUTC,AUTC_160,recovery_at_80,recovery_at_160,recovery_at_240,recovery_at_320,correction_rounds,effective_replacements,sequence_sha256,runtime_seconds,run_config_sha256,run_metrics_sha256,summary_sha256,run_path
threshold,m0_0p75_g0_0p40,0,0.75,0.4,0.1,0.2,0.1,30,0.8035256410256411,0.3217948717948718,30,52,73,78,39,234,1ab8df01a12737c0eb94f06ef56ae0e4c27627f4d29d4a229ad8145e335c4d30,3461.7098286151886,510591e494551c4306e6d5e80c70b7fca78c300398db46d163bf5d7a2b86bc43,b7cd02528356c40cf1622bf201b79f3859437b6f8c8fe635d61bf2a3f925f7e1,147fcd52c0ce9951b689a70274f0c4b9ace060055425d12c9614d08c2afe4b5a,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p40\seed_0\attempt_1
threshold,m0_0p75_g0_0p40,1,0.75,0.4,0.1,0.2,0.1,30,0.780448717948718,0.3076923076923077,27,47,65,78,40,244,a6f66cb1f2375bc5d464dbcfcf626f824de42b402bc1148728f9daa0dcf21591,5987.127938747406,8299d0d1a709e7053bc8a052bbe1fb6df9cba2d172bf016946bcde56749f15b8,c7ea1b8ba17829922e2e5fe2432410c5df1a61f8b3a9d05cff11dd0d90d0e1a4,4e5f16730da8f35d0c0cac60e488227163981db626147cfbdbd1c801c269c8ee,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p40\seed_1\attempt_1
threshold,m0_0p75_g0_0p40,2,0.75,0.4,0.1,0.2,0.1,30,0.7939102564102564,0.2846153846153846,23,51,75,78,39,262,dc95dcb21d5ab5d7c368ae13d63393264c772cbb1af5840a7c173abe7c226ba1,5926.001311302185,b9b7e6b7f0c87dc69d011d47986e2a3b4b6d944c78a6602a5ed0f3a24ab1e88d,0b5000172ffb8cc14f5532353b40aff60ee24a81ed5de5d5e47ad12ac5b0f9ab,2cc1f3a72f4defb314ee0b08dda84097e06e8521d99d274d480c282122f5e517,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p40\seed_2\attempt_1
threshold,m0_0p75_g0_0p40,3,0.75,0.4,0.1,0.2,0.1,30,0.7987179487179488,0.3102564102564102,24,56,70,78,38,234,1ebd55488b84dd7919bfe10e1cc8b9836e25c69966ce5ab179021d07e168e1a1,5840.498112678528,3831c98276646fdd056d722015c61744875004cace297abb13e1e0dc24fca0da,6e8c0d67c81b5389fb5216bfedac1bf2e342cedd2f1244018c4ede5db50b8a78,39146eab74105df9ab60379ac59f8131bc6b8434eaeabf238571bf97927c7a78,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p40\seed_3\attempt_1
threshold,m0_0p75_g0_0p40,4,0.75,0.4,0.1,0.2,0.1,30,0.7871794871794872,0.2948717948717949,27,48,70,78,40,257,4576376d385717b2b64ecbc88a1e7f05e27ca703cdc7b47abc3caf5b31fa928f,5849.999645233154,0d7474067995badc8ca87938b40576f1b16a6e543364d04c78bf9f14d40a2a00,f60d71c4797e0616737f3fa9ca0ccf3a66a124924df756d9d60e4cf5d992b81a,317f47908f467634713ea2372752070d5f0f331b065418dd67073a65a5f903d8,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p40\seed_4\attempt_1
threshold,m0_0p75_g0_0p50,0,0.75,0.5,0.1,0.2,0.1,30,0.8035256410256411,0.3217948717948718,30,52,73,78,36,243,e32134bf8931a495d6a64aeb10acf2f234f3a18b461c080bf97dbb90ca8692fe,3913.8583111763,9b71357678a407127a58e10ddaf573f2d2f752f48887521923c0ce4f9806d88d,ce35c08cdd0603289959e045407b279b102c9ae0ccaa064d5a25d75e1d97d63b,ee1e6b62dc74315761ea4850f792b12609152c772c95a7598e89d112f957bfa0,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p50\seed_0\attempt_1
threshold,m0_0p75_g0_0p50,1,0.75,0.5,0.1,0.2,0.1,30,0.7801282051282051,0.3051282051282051,27,49,66,78,36,234,29125b2007dfd6fe3240f24a965eb750fd19b23596ad40f09de5d11dc1d9e6ef,5955.579582929611,39e9dfc80ad05f681c207094b2c0f94ca568865167d242c750e0b1aa3fdabdd5,62b1e754f59ed52dcc953f1059715ed528e2f2f9ade5ec9c4017c1d94dcc9ca1,e96a9f7372fac98838a5aeeaa2b4a9bd44399c78fd97c7cfdd49096240ca817a,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p50\seed_1\attempt_1
threshold,m0_0p75_g0_0p50,2,0.75,0.5,0.1,0.2,0.1,30,0.7849358974358974,0.3038461538461538,28,49,69,77,34,224,751853eb5b626555dc154b87719f814eb3b7170c7ce1f39a766555d9ef7e8bf7,5839.164928436279,33bddb12f05851f1a23ae05d17e921b8c1674a5d832dcbb8c4baf6a22127fb26,a3f463de85aa30764e8372c307f39b9b4b1cead439a5471c609a8ad174ed4ae9,176ed7aa6d8120a713481d81e672304bd844253b6d6a95ed3a19d8db6ee2c7ad,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p50\seed_2\attempt_1
threshold,m0_0p75_g0_0p50,3,0.75,0.5,0.1,0.2,0.1,30,0.7948717948717948,0.3051282051282051,24,55,70,78,34,224,a33a636de0fd96a975a388ef712e4324322920a0ac0b5221f9df98c3ba7afa7c,5868.4348084926605,ee5d045bc43752482bdb95372a775fcef286541cd675c8a742e3c31fc5b7b39d,fad495f0ed06db771101a6195e76a13d2a600ac2dd16b196ff762b61dbf370bf,76e2eca7517ff2b38ca6fd9752bd04c47f7fa5ebb6a64f0652b76e6e80fc691c,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p50\seed_3\attempt_1
threshold,m0_0p75_g0_0p50,4,0.75,0.5,0.1,0.2,0.1,30,0.7932692307692307,0.308974358974359,26,51,70,78,33,229,24c1ba5369a3326b7b37b5f7a16a207232fff16fa12070407397372df9dfdad2,5886.095441102982,314e937e3bad4273c77cf50534c2a08776a2a982c565f41af3109e4731feb6c8,8ce06e7d9ab356c7405aa09aa3ee702c57317dc7bf33ce0c1cadf02ab065c7d8,f241330b8528665c4d101bcb9d1577294d6abe1bc08a3bb11edb618c474b2ac6,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_0p75_g0_0p50\seed_4\attempt_1
