config_id,stage,M0,G0,alpha,beta,gamma,mc_passes,seed_count,mean_AUTC,sd_AUTC,min_AUTC,max_AUTC,mean_AUTC_160,sd_AUTC_160,min_AUTC_160,max_AUTC_160,mean_recovery_at_80,sd_recovery_at_80,mean_correction_rounds,sd_correction_rounds,mean_effective_replacements,unique_sequences,mean_runtime_seconds
alpha_0p05,weight,1.0,0.5,0.05,0.2,0.1,30,5,0.7901923076923076,0.009927105291114877,0.7766025641025641,0.8025641025641026,0.3007692307692308,0.02048475644347095,0.2679487179487179,0.3217948717948718,25.6,2.7928480087537886,36.2,1.3038404810405297,211.6,5,8856.318992137909
alpha_0p20,weight,1.0,0.5,0.2,0.2,0.1,30,5,0.7224999999999999,0.02155243174834177,0.6958333333333333,0.7442307692307693,0.19769230769230767,0.04628187371228103,0.1512820512820512,0.2512820512820513,16.2,4.8166378315169185,35.6,2.5099800796022267,424.8,5,8861.613347768784
baseline,weight,1.0,0.5,0.1,0.2,0.1,30,5,0.7913461538461538,0.009102225526386497,0.7801282051282051,0.8035256410256411,0.308974358974359,0.007420408271019397,0.3038461538461538,0.3217948717948718,27.0,2.23606797749979,34.8,1.0954451150103321,230.8,5,8850.331486749648
beta_0p10,weight,1.0,0.5,0.1,0.1,0.1,30,5,0.7919230769230768,0.006019329755336942,0.7826923076923077,0.7990384615384616,0.3069230769230769,0.005632277599099686,0.2987179487179487,0.3128205128205128,27.6,1.5165750888103102,35.2,1.4832396974191324,227.8,5,8881.784951257705
beta_0p40,weight,1.0,0.5,0.1,0.4,0.1,30,5,0.7908974358974359,0.014890226752083667,0.7727564102564103,0.8115384615384615,0.3151282051282051,0.029976431680217776,0.2769230769230769,0.3551282051282051,27.2,2.949576240750525,35.4,1.51657508881031,238.0,5,8834.82921705246
gamma_0p05,weight,1.0,0.5,0.1,0.2,0.05,30,5,0.7984615384615386,0.0047290577822879975,0.7929487179487179,0.8035256410256411,0.32923076923076916,0.008666894246746448,0.3192307692307692,0.3371794871794872,30.0,1.224744871391589,34.8,1.4832396974191324,195.0,5,8882.338465547562
gamma_0p20,weight,1.0,0.5,0.1,0.2,0.2,30,5,0.7822435897435898,0.007780609632865517,0.7769230769230769,0.7958333333333333,0.2899999999999999,0.012074445823560096,0.2743589743589744,0.3038461538461538,25.0,1.7320508075688772,35.6,1.5165750888103102,269.8,5,8890.893177461625
m0_0p75_g0_0p40,threshold,0.75,0.4,0.1,0.2,0.1,30,5,0.7927564102564103,0.009157360346776269,0.780448717948718,0.8035256410256411,0.3038461538461538,0.01439098994913055,0.2846153846153846,0.3217948717948718,26.2,2.7748873851023212,39.2,0.8366600265340756,246.2,5,5413.067367315292
m0_0p75_g0_0p50,threshold,0.75,0.5,0.1,0.2,0.1,30,5,0.7913461538461538,0.009102225526386497,0.7801282051282051,0.8035256410256411,0.308974358974359,0.007420408271019397,0.3038461538461538,0.3217948717948718,27.0,2.23606797749979,34.6,1.3416407864998738,230.8,5,5492.626614427567
m0_0p75_g0_0p60,threshold,0.75,0.6,0.1,0.2,0.1,30,5,0.7899358974358974,0.005554219924918277,0.783974358974359,0.7977564102564103,0.3038461538461538,0.011715171078523774,0.2923076923076923,0.3217948717948718,26.2,2.2803508501982757,31.0,2.0,221.6,5,5470.820250511169
m0_1p00_g0_0p40,threshold,1.0,0.4,0.1,0.2,0.1,30,5,0.7927564102564103,0.009157360346776269,0.780448717948718,0.8035256410256411,0.3038461538461538,0.01439098994913055,0.2846153846153846,0.3217948717948718,26.2,2.7748873851023212,39.4,0.8944271909999159,249.6,5,5535.7634421348575
m0_1p00_g0_0p50,threshold,1.0,0.5,0.1,0.2,0.1,30,5,0.7913461538461538,0.009102225526386497,0.7801282051282051,0.8035256410256411,0.308974358974359,0.007420408271019397,0.3038461538461538,0.3217948717948718,27.0,2.23606797749979,34.8,1.0954451150103321,230.8,5,5521.950128889084
m0_1p00_g0_0p60,threshold,1.0,0.6,0.1,0.2,0.1,30,5,0.7899358974358974,0.005554219924918277,0.783974358974359,0.7977564102564103,0.3038461538461538,0.011715171078523774,0.2923076923076923,0.3217948717948718,26.2,2.2803508501982757,31.4,1.3416407864998738,223.4,5,5488.174515295029
m0_1p25_g0_0p40,threshold,1.25,0.4,0.1,0.2,0.1,30,5,0.7927564102564103,0.009157360346776269,0.780448717948718,0.8035256410256411,0.3038461538461538,0.01439098994913055,0.2846153846153846,0.3217948717948718,26.2,2.7748873851023212,39.4,0.8944271909999159,249.6,5,5500.71349401474
m0_1p25_g0_0p50,threshold,1.25,0.5,0.1,0.2,0.1,30,5,0.7913461538461538,0.009102225526386497,0.7801282051282051,0.8035256410256411,0.308974358974359,0.007420408271019397,0.3038461538461538,0.3217948717948718,27.0,2.23606797749979,35.2,1.0954451150103321,232.6,5,5494.038419008255
m0_1p25_g0_0p60,threshold,1.25,0.6,0.1,0.2,0.1,30,5,0.7899358974358974,0.005554219924918277,0.783974358974359,0.7977564102564103,0.3038461538461538,0.011715171078523774,0.2923076923076923,0.3217948717948718,26.2,2.2803508501982757,32.4,1.5165750888103102,226.4,5,5491.824448013305
