method,display_name,seed,AUTC_160,AUTC_640,recovery_at_80,recovery_at_160,recovery_at_320,final_recovery,sequence_sha256,run_config_sha256,run_metrics_sha256,summary_sha256,run_path
energy_gated_da_tpp,Energy-Gated DA-TPP,0,0.3217948717948718,0.8035256410256411,30,52,78,78,e32134bf8931a495d6a64aeb10acf2f234f3a18b461c080bf97dbb90ca8692fe,4750e7f916638df1cafc836bef4a32153d2108a7a72814b6964c8380ef3ea6d4,a64f0b789a0d972e3b318ec05af651ace7e8d1558f5b749a459b3757802a2f8b,40425df6a87a8443ef98c753a265f6666db4e8a7c8588bf03c966e3306ee9350,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_0\attempt_1
energy_gated_da_tpp,Energy-Gated DA-TPP,1,0.3051282051282051,0.7801282051282051,27,49,78,78,29125b2007dfd6fe3240f24a965eb750fd19b23596ad40f09de5d11dc1d9e6ef,a74e3962b43cf1bcb3e9a555d06b514270a6b1a17f1d96a60d42b772b0728351,70e944328e9840ad64f111e5ea924a2c770686b2b13d97e1a97fb1279a461fcf,e641b12e105d2945e4f7da3977a76bd7f60d9963fa8aa06ff9d2f20514c9cee5,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_1\attempt_1
energy_gated_da_tpp,Energy-Gated DA-TPP,2,0.3038461538461538,0.7849358974358974,28,49,77,78,751853eb5b626555dc154b87719f814eb3b7170c7ce1f39a766555d9ef7e8bf7,9d4d4046503b55ebfd428b11c89ca0be6ba75cc9630e169c1a3c652e81d4aa3b,aa064dc0c1b98de7c07baf28710342cd09a6c3009beab1d87d3c1335c4ec2c50,fa07f49696e6486b99cb90a64b4658637b8ad5790f43a6e2b96b151eefebba87,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_2\attempt_1
energy_gated_da_tpp,Energy-Gated DA-TPP,3,0.3051282051282051,0.7948717948717948,24,55,78,78,a33a636de0fd96a975a388ef712e4324322920a0ac0b5221f9df98c3ba7afa7c,acd0daf71561dc4feb316a3ef67b635faffff7641b7a2ef1aa5271dadb3497bf,d81fb750c081b7b63367347755ffb8d89ff2f7bb22309e4a1b200bbf2f2d29c7,ddfd3ed12c9c3b9a2f08904c27d439ec5ba4d5e6c8d4da00ac494f8207a7b21c,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_3\attempt_1
energy_gated_da_tpp,Energy-Gated DA-TPP,4,0.308974358974359,0.7932692307692307,26,51,78,78,00335e4f8324c3c420305da3c7a249a798514694d17c996ff75f835fef12462e,e6a2d04149092e323970bcda7f1e06383ddf5cef2039549fe272bfcf4eee9407,36db1fd670ba8b5543777eb163cc39f91a7b1090da9ef3160ce57da5f9be6f4b,7337f999478a1dd1f371efdb389ed045fa0ea93404e03f9840338ec5c5f53aa3,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_4\attempt_1
predicted_target_greedy,Predicted-Target Greedy,0,0.35,0.8028846153846154,34,53,78,78,98e78bc2547084670d1cf45ed4ec669fbc691437fc54291e454994be93a1d0d8,041d3b65367dd9dc148b072a7f840c4acbdfe780b836d9e3258bc77095e2bbcf,bc5f53e34c4f43b635f209d243fbd0ee8c69bade206d3b469096058a4731fbb4,8aa9747a1fa89a11e9b8424e310f0276b6204d0b6107e23a5cf742f26268190e,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\predicted_target_greedy\seed_0\attempt_1
predicted_target_greedy,Predicted-Target Greedy,1,0.2705128205128205,0.7708333333333334,24,42,78,78,fa2ca387c78448ae1f7446c4d9d32198cd98635da2dcf84c4c3b1ed472e7e9d2,bbe3834101249f43386087926db902a9a91afe7577a8287aae3de2d766dba531,924f5b168bdfc50e70e0021c2ba1ed4ee8f75e8e428806ecfb5c2952fa4fb132,73caa74612e5bf95787211a67f7e26a5211e10c9c8e45e47ce9eeb0ba7527f29,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\predicted_target_greedy\seed_1\attempt_1
predicted_target_greedy,Predicted-Target Greedy,2,0.2858974358974359,0.7814102564102564,25,50,78,78,94d4a4b110fa66a076f3f61512c412f5e68b83e694276c43b23ce3f8e82446e2,ca8e72bcd13556b1e0dddcedf4871b9488f5a210120f949b113fe4b40a66727d,d8bb5036a23453430a251184baec0ea705c1ee9c3f0146b6f39eb6fff60181f4,414239f303bbf887a4aff00af6e14a429e8221a6c572e49bacada917afcde293,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\predicted_target_greedy\seed_2\attempt_1
predicted_target_greedy,Predicted-Target Greedy,3,0.3307692307692307,0.7993589743589744,29,54,78,78,363886176aa3685847a64c7d93c576806db44d2a734efb18b8d54dbd809a2ca2,32217fcf74bc21f7b5314d7fb8ed96a648a05290a0c11bcb58ac699220b9d7b6,dc36b000642d57a7327f8929da9b23263f34502d11363f0dff8ef57904616799,8d7d2c0d3c85f7f2fa2c31635e72040206303d96c41856566cdd4d9f1b8ca4cc,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\predicted_target_greedy\seed_3\attempt_1
predicted_target_greedy,Predicted-Target Greedy,4,0.3423076923076923,0.8032051282051282,31,54,78,78,0701d8f0b416058e453afd86830aa7e80fb00981997871920e00995988ab0eb4,2750bc12be0c9ea4b6acc523edce9cfc52b0fe834fb0d3a5fe395c8a762e0fba,a911d1c7abeb71630c9bafcfbc4cb76dd5e02ce261c950e17332d577e3767610,f84630d15c9354788bf2b9c2c21f985a700b04e288b441e9f33327f3af8751e0,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\predicted_target_greedy\seed_4\attempt_1
