"source","relative_path","bytes","last_write_utc","sha256"
"gpu_mn_mg_cgcnn_20260803","CODE_INVENTORY.md","1851","2026-07-30T08:47:29.2845139Z","87cd96e22e84e405ab4ca1cb4cfa3991ba5f8e97eefd311fc8566e8b38da8b5f"
"gpu_mn_mg_cgcnn_20260803","environment.yml","330","2026-07-30T08:47:29.2835080Z","93f12d8a41e1f5609a3f3cf6e752ed31fbfaac7e885266b7d94f851c2fccd174"
"gpu_mn_mg_cgcnn_20260803","EXCLUSIONS.md","648","2026-07-30T08:47:29.2855185Z","3a5175cc070cacd57747fe4ff1a0d444d70d2c5df95be92c2f01ada60422753d"
"gpu_mn_mg_cgcnn_20260803","README.md","4287","2026-07-30T08:47:29.2800013Z","811527401a610a44b9fe883a2d0c6af803e7369ef8b575beb7135522b0d0bf23"
"gpu_mn_mg_cgcnn_20260803","requirements.txt","175","2026-07-30T08:47:29.2820020Z","22589996a3350270205d5fa250900ea0e3e3e6040cb3b489074bb073ab7d456b"
"gpu_mn_mg_cgcnn_20260803","VALIDATION_REPORT.md","1336","2026-07-30T09:04:32.8410136Z","c65742f9e559f2e56da37b60808a5145d0e17faa07068770a5438c0e45431c00"
"gpu_mn_mg_cgcnn_20260803","data/source_tables/CGCNN_HIDDEN_EVALUABILITY_REPORT.md","6339","2026-07-28T08:53:00.0000000Z","896f940cdee65eb40d4a9bf5141001190814b488938a4321fbd338d16798f077"
"gpu_mn_mg_cgcnn_20260803","data/source_tables/CGCNN_HIDDEN_EVALUATOR_PROTOCOL.yaml","1366","2026-07-28T08:53:00.0000000Z","ad4ad2848637aec58b214b10285482b619e36f5d75488a4b4b520a4518970925"
"gpu_mn_mg_cgcnn_20260803","data/source_tables/corrected_formal_histories.csv","4541842","2026-07-29T14:12:24.1991608Z","1d078b18bdc4cf9a25ccdc2c90958fdc5fc72cf6706e5eae169ed18f379f30e4"
"gpu_mn_mg_cgcnn_20260803","data/source_tables/corrected_formal_paired_statistics.json","1465","2026-07-29T14:12:24.2031609Z","15bdcdb6da96a94c9fe51442a42e4832891463f27778b0475ca97fcb4c439725"
"gpu_mn_mg_cgcnn_20260803","data/source_tables/corrected_formal_per_seed.csv","8135","2026-07-29T14:12:24.2011668Z","5b8060d042ddf6fc4ee3ef608a4fbc1025bd4521140c6b8545cc5279f39a4843"
